Year,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2015,K-Fast Holding AB,Real Estate Operations,Real Estate,124.75,209.12,0.0,0.0,6.24,244.23,-0.76,-0.37216084117139686
2016,K-Fast Holding AB,Real Estate Operations,Real Estate,132.59,164.57,0.0,0.0,8.55,375.38,0.47,-0.1078355727018757
2017,K-Fast Holding AB,Real Estate Operations,Real Estate,126.76,82.41,6.97,0.0,12.3,754.29,8.81,0.03286594155418689
2018,K-Fast Holding AB,Real Estate Operations,Real Estate,116.87,47.48,12.08,0.0,15.36,957.51,0.0,0.043811552881954256
2019,K-Fast Holding AB,Real Estate Operations,Real Estate,174.3,46.81,39.18,0.0,33.13,2098.96,0.0,0.026289209894423904
2020,K-Fast Holding AB,Real Estate Operations,Real Estate,220.15,36.440000000000005,34.39,0.0,49.13,3351.68,0.0,0.02989247183502005
2021,K-Fast Holding AB,Real Estate Operations,Real Estate,1255.46,936.17,40.79,0.0,75.77,4124.8,0.0,0.04914904965089218
2022,K-Fast Holding AB,Real Estate Operations,Real Estate,1335.9,984.16,52.16,0.0,129.79,4847.8,18.17,0.03489335117150335
2023,K-Fast Holding AB,Real Estate Operations,Real Estate,1089.63,621.25,55.34,0.0,344.76,5080.03,54.87,0.013297240452589162
2024,K-Fast Holding AB,Real Estate Operations,Real Estate,1173.21,592.6,69.05,0.0,435.99,5360.9,92.73,0.013856825637236118
