Year,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,Orron Energy AB,Electric Utilities & IPPs,Utilities,2264.95,1335.82,119.27,0.0,48.72,2162.23,2.68,0.35158043521439686
2005,Orron Energy AB,Electric Utilities & IPPs,Utilities,3619.21,1783.04,89.07,0.0,38.87,3124.57,2.59,0.5462560278335614
2006,Orron Energy AB,Electric Utilities & IPPs,Utilities,3841.35,2047.08,101.65,0.0,36.38,8151.62,1470.61,0.17212641975924498
2007,Orron Energy AB,Electric Utilities & IPPs,Utilities,4753.5,2829.55,149.12,0.0,74.63,8162.69,1132.12,0.1829192850633848
2008,Orron Energy AB,Electric Utilities & IPPs,Utilities,5468.66,2917.28,119.46,0.0,92.18,10164.73,1241.4,0.20513004849146907
2009,Orron Energy AB,Electric Utilities & IPPs,Utilities,3153.16,2251.03,159.03,0.0,49.05,6575.45,548.4,0.09742625125458843
2010,Orron Energy AB,Electric Utilities & IPPs,Utilities,4824.06,2582.87,247.43,0.0,60.69,5358.48,450.4,0.3327784357741941
2011,Orron Energy AB,Electric Utilities & IPPs,Utilities,7046.24,2791.56,375.49,0.0,30.2,5981.87,414.92,0.60170648090683
2012,Orron Energy AB,Electric Utilities & IPPs,Utilities,8000.04,4654.77,184.91,0.0,39.54,6577.69,376.62,0.44876055280825844
2013,Orron Energy AB,Electric Utilities & IPPs,Utilities,6653.56,4232.53,242.16,0.0,29.98,7322.02,362.76,0.27962934527728844
2014,Orron Energy AB,Electric Utilities & IPPs,Utilities,4951.26,6212.41,329.16,0.0,133.05,3224.17,255.54,-0.4952596624431345
2015,Orron Energy AB,Electric Utilities & IPPs,Utilities,4590.21,10930.87,318.48,0.0,575.69,-4403.99,213.04,1.7262983333134496
2016,Orron Energy AB,Electric Utilities & IPPs,Utilities,7976.39,9779.06,251.89,0.0,1152.8,-2060.79,-981.16,1.054376304672989
2017,Orron Energy AB,Electric Utilities & IPPs,Utilities,16506.7,9529.58,262.02,0.0,950.56,-2879.02,0.0,-2.002257712693903
2018,Orron Energy AB,Electric Utilities & IPPs,Utilities,21496.81,9747.52,200.26,0.0,722.07,-3315.53,0.0,-3.265529191411328
2019,Orron Energy AB,Electric Utilities & IPPs,Utilities,25942.89,8330.02,274.5,0.0,821.74,-14034.91,0.0,-1.176824789043891
2020,Orron Energy AB,Electric Utilities & IPPs,Utilities,0.0,0.0,154.34,0.0,8.47,-15175.16,0.0,0.010728717193097141
2021,Orron Energy AB,Electric Utilities & IPPs,Utilities,0.0,0.0,166.74,0.0,1.72,-12499.35,0.0,0.013477500830043163
2022,Orron Energy AB,Electric Utilities & IPPs,Utilities,139.29,0.0,168.57,0.0,7.07,3684.17,87.02,-0.009638867307136475
2023,Orron Energy AB,Electric Utilities & IPPs,Utilities,319.41,0.0,207.61,0.0,54.76,3922.59,30.2,0.014430313778369206
2024,Orron Energy AB,Electric Utilities & IPPs,Utilities,298.62,0.0,230.07,0.0,56.94,3961.93,31.77,0.002907078648871977
