Year,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2002,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,0.0,0.0,43.48,0.0,0.0,1395.04,0.0,-0.031167565087739418
2003,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,0.0,0.0,43.89,0.0,0.0,1832.83,0.0,-0.023946574423159814
2004,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,0.0,0.0,51.379999999999995,0.0,168.84,2119.05,0.0,-0.10392392817536159
2005,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,0.0,0.0,53.55,0.0,145.11,2413.31,0.0,-0.0823184754548732
2006,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,0.0,0.0,61.78,0.0,162.72,3229.62,0.0,-0.06951282194190028
2007,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,0.0,0.0,69.34,0.0,221.89,3660.87,0.0,-0.07955212831922467
2008,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,0.0,0.0,70.99,0.0,312.19,3569.35,0.0,-0.10735287937579671
2009,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,0.0,0.0,68.31,0.0,261.71,3573.85,0.0,-0.09234299145179568
2010,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,0.0,0.0,70.53999999999999,0.0,235.99,4517.02,0.0,-0.06786111197205236
2012,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,0.0,0.0,78.21000000000001,0.0,336.89,5254.32,0.0,-0.07900165958677813
2013,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,1537.89,423.28,111.91,0.0,423.28,6497.28,0.0,0.08917885638297876
2014,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,1704.89,458.37,128.6,0.0,448.27,6677.88,0.0,0.1002788310062475
2015,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,1826.16,485.7,140.55,0.0,417.82,9289.3,0.0,0.08419256564003748
2016,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,1993.37,507.67,144.34,0.0,450.72,10870.57,0.0,0.08193130627004838
2017,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,2276.58,613.93,148.16,0.0,479.33,13600.78,0.0,0.07611034073045811
2018,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,2513.48,695.8,169.5,0.0,451.38,15155.1,0.0,0.07897011567063233
2019,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,2775.93,784.48,184.25,0.0,312.68,16771.98,0.0,0.08910814346308545
2020,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,3146.18,872.01,209.81,0.0,334.68,20253.32,0.0,0.08540229453738943
2021,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,3066.75,866.91,224.49,0.0,312.69,21383.47,0.0,0.0777544523877556
2022,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,3168.73,953.95,220.43,0.0,379.11,22006.78,0.0,0.0733973802619011
2023,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,3862.67,1112.72,257.78,0.0,972.39,22542.47,0.0,0.06741852157283564
2024,Wihlborgs Fastigheter AB,Real Estate Operations,Real Estate,4244.95,1198.02,270.52,0.0,1177.68,23806.58,0.0,0.0671549630396302
