Year,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2013,13.17,0.0,7.51,0.0,0.18,74.83,0.0,0.07323266069758119
2014,210.0,0.0,99.55,0.0,0.0,332.11,0.0,0.3325705338592635
2015,330.56,0.0,144.85,0.0,0.0,332.92,0.0,0.5578216989066442
2016,231.43,0.0,92.49,0.0,0.0,285.72,0.0,0.48628027439451205
2017,257.35,0.0,115.32,0.0,0.0,233.5,0.0,0.6082655246252678
2018,294.57,0.0,166.8,0.0,0.0,220.76,0.0,0.5787733285015401
2019,482.06,0.0,227.87,0.0,0.43,415.78,0.0,0.6103227668478522
2020,724.78,0.0,292.65,0.0,0.0,554.11,6.18,0.7712613111067483
2021,1295.63,0.0,482.42,0.0,1.93,587.86,1.0,1.377712868933193
2022,1613.06,0.0,1188.8,0.0,10.35,672.99,-2.64,0.617453569031103
2023,2650.85,1307.67,2155.0799999999995,0.0,9.37,1021.58,2.67,-0.8018257261410785
2024,3326.53,1606.09,3069.86,0.0,13.92,1126.25,4.02,-1.206207366381484
