Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2014,ATORX.ST,Alligator Bioscience AB,Biotechnology & Medical Research,Health Care,0.0,0.0,70.0,38.9,0.0,65.68,0.0,-0.4735079171741778
2015,ATORX.ST,Alligator Bioscience AB,Biotechnology & Medical Research,Health Care,277.08,0.0,74.53,47.32,0.0,415.45,0.0,0.6014442171139728
2016,ATORX.ST,Alligator Bioscience AB,Biotechnology & Medical Research,Health Care,57.19,0.0,89.12,58.9,1.81,641.24,0.0,0.03923647932131494
2017,ATORX.ST,Alligator Bioscience AB,Biotechnology & Medical Research,Health Care,55.07,0.0,113.17,85.2,5.98,618.36,0.0,0.03415486124587619
2018,ATORX.ST,Alligator Bioscience AB,Biotechnology & Medical Research,Health Care,25.25,0.0,164.53,130.63,5.23,457.0,0.0,-0.030371991247264783
2019,ATORX.ST,Alligator Bioscience AB,Biotechnology & Medical Research,Health Care,4.06,0.0,193.9,161.55,0.96,242.38,0.0,-0.12067827378496575
2020,ATORX.ST,Alligator Bioscience AB,Biotechnology & Medical Research,Health Care,4.45,0.0,142.72,112.84,0.8999999999999999,120.34,0.0,-0.21879674256273884
2021,ATORX.ST,Alligator Bioscience AB,Biotechnology & Medical Research,Health Care,12.97,0.0,145.86,110.37,0.0399999999999999,275.01,0.0,-0.08203338060434169
2022,ATORX.ST,Alligator Bioscience AB,Biotechnology & Medical Research,Health Care,33.92,0.0,207.28000000000003,177.62,0.0,83.82,0.0,0.050823192555475745
2023,ATORX.ST,Alligator Bioscience AB,Biotechnology & Medical Research,Health Care,57.83,0.0,298.98,263.34,0.8999999999999999,11.94,0.0,1.7830820770519227
2024,ATORX.ST,Alligator Bioscience AB,Biotechnology & Medical Research,Health Care,58.75,0.0,244.21,208.8,20.15,-134.26,0.0,-0.023759868911068113
