Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
1996,BAVA.CO,Bavarian Nordic A/S,Pharmaceuticals,Health Care,0.0,0.0,8.18,0.0,0.0,2.59,0.0,-3.158301158301158
1997,BAVA.CO,Bavarian Nordic A/S,Pharmaceuticals,Health Care,0.0,0.0,9.59,0.0,1.77,29.14,0.0,-0.3898421413864104
1998,BAVA.CO,Bavarian Nordic A/S,Pharmaceuticals,Health Care,0.0,0.0,10.52,0.0,1.53,238.34,0.0,-0.050558026348913314
1999,BAVA.CO,Bavarian Nordic A/S,Pharmaceuticals,Health Care,0.0,0.0,14.76,0.0,0.96,145.96,0.0,-0.10770073992874758
2000,BAVA.CO,Bavarian Nordic A/S,Pharmaceuticals,Health Care,0.0,0.0,18.88,0.0,2.57,69.06,0.0,-0.3105994787141616
2001,BAVA.CO,Bavarian Nordic A/S,Pharmaceuticals,Health Care,0.0,0.0,23.7,0.0,0.8,47.32,0.0,-0.5177514792899408
2002,BAVA.CO,Bavarian Nordic A/S,Pharmaceuticals,Health Care,122.37,114.12,31.73,0.0,1.1,192.5,0.0,-0.12768831168831168
2003,BAVA.CO,Bavarian Nordic A/S,Pharmaceuticals,Health Care,565.11,444.94,46.32,0.0,0.0,390.95,0.0,0.18889883616830802
2004,BAVA.CO,Bavarian Nordic A/S,Pharmaceuticals,Health Care,185.38,158.06,63.47,0.0,5.26,349.54,0.0,-0.11846998912856899
2005,BAVA.CO,Bavarian Nordic A/S,Pharmaceuticals,Health Care,266.23,284.36,204.05,122.99,17.54,672.74,0.0,-0.17351428486488096
2006,BAVA.CO,Bavarian Nordic A/S,Pharmaceuticals,Health Care,189.12,147.04,261.94,127.73,0.0,757.92,0.0,-0.12155636478784036
2007,BAVA.CO,Bavarian Nordic A/S,Pharmaceuticals,Health Care,357.21,69.33,363.18,261.97,12.02,1295.54,0.0,0.13480865121879682
2008,BAVA.CO,Bavarian Nordic A/S,Pharmaceuticals,Health Care,230.71,217.34,251.59,143.2,25.41,1324.44,0.0,-0.09092899640602821
2009,BAVA.CO,Bavarian Nordic A/S,Pharmaceuticals,Health Care,87.68,328.52,332.9,192.26,1.82,785.07,0.0,-0.4882367177449144
2010,BAVA.CO,Bavarian Nordic A/S,Pharmaceuticals,Health Care,337.65,955.68,396.91,202.78,14.56,847.04,0.0,-0.9760105780128446
2011,BAVA.CO,Bavarian Nordic A/S,Pharmaceuticals,Health Care,547.81,844.06,641.3499999999999,273.82,16.46,1256.72,0.0,-0.5412820676045579
2012,BAVA.CO,Bavarian Nordic A/S,Pharmaceuticals,Health Care,1021.07,1031.58,554.03,341.61,31.77,984.07,0.0,-0.25882305120570676
2013,BAVA.CO,Bavarian Nordic A/S,Pharmaceuticals,Health Care,1269.91,1015.3,740.1800000000001,520.12,40.55,1091.46,0.0,-0.005497223901929461
2014,BAVA.CO,Bavarian Nordic A/S,Pharmaceuticals,Health Care,1364.36,1110.22,814.45,537.0,15.56,1520.08,0.0,-0.025571022577759183
2015,BAVA.CO,Bavarian Nordic A/S,Pharmaceuticals,Health Care,1224.06,995.82,756.3599999999999,463.94,31.130000000000003,1726.95,0.0,-0.05518978545991488
2016,BAVA.CO,Bavarian Nordic A/S,Pharmaceuticals,Health Care,1256.17,743.14,866.0999999999999,577.92,43.69,2466.5,0.0,0.0734482059598622
2017,BAVA.CO,Bavarian Nordic A/S,Pharmaceuticals,Health Care,1718.94,729.2,944.86,650.37,141.78,3315.42,0.0,0.16693812548636372
2018,BAVA.CO,Bavarian Nordic A/S,Pharmaceuticals,Health Care,645.03,657.42,816.75,497.73,66.56,2893.36,0.0,-0.13754596731827354
2019,BAVA.CO,Bavarian Nordic A/S,Pharmaceuticals,Health Care,873.69,935.72,873.8699999999999,539.77,75.61,2458.08,0.0,-0.19191401418993684
2020,BAVA.CO,Bavarian Nordic A/S,Pharmaceuticals,Health Care,2665.37,3439.22,1350.18,491.27,327.18,6891.09,0.0,-0.2844165436817688
2021,BAVA.CO,Bavarian Nordic A/S,Pharmaceuticals,Health Care,2593.81,3628.72,1286.76,545.53,286.47,9929.9,0.0,-0.20771709684891085
2022,BAVA.CO,Bavarian Nordic A/S,Pharmaceuticals,Health Care,4276.26,3934.6,2478.28,1605.69,483.16,10083.18,0.0,-0.10057243845691537
2023,BAVA.CO,Bavarian Nordic A/S,Pharmaceuticals,Health Care,10815.68,7532.62,4838.16,3412.21,208.18,15515.72,0.0,0.10627479743125041
2024,BAVA.CO,Bavarian Nordic A/S,Pharmaceuticals,Health Care,8907.08,9029.7,3050.45,1343.98,192.7,18003.7,0.0,-0.11229858306903584
