Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2012,BRAV.ST,Bravida Holding AB,Construction & Engineering,Industrials,4267.88,3405.02,653.16,0.0,530.16,2890.82,1.71,-0.11078882500786501
2013,BRAV.ST,Bravida Holding AB,Construction & Engineering,Industrials,9999.91,7992.71,1465.69,0.0,749.62,3484.26,3.77,-0.05966405105460682
2014,BRAV.ST,Bravida Holding AB,Construction & Engineering,Industrials,11022.98,9344.73,1031.57,0.0,760.12,3157.3,12.46,-0.03578819847559435
2015,BRAV.ST,Bravida Holding AB,Construction & Engineering,Industrials,13582.43,11550.71,1283.09,0.0,1186.52,3707.98,11.51,-0.11772850578977191
2016,BRAV.ST,Bravida Holding AB,Construction & Engineering,Industrials,14525.09,12335.33,1262.8,0.0,132.56,3856.81,10.43,0.20541781735811596
2017,BRAV.ST,Bravida Holding AB,Construction & Engineering,Industrials,16745.61,14252.12,1454.46,0.0,105.55,4655.01,10.01,0.20010203600413282
2018,BRAV.ST,Bravida Holding AB,Construction & Engineering,Industrials,18078.52,15453.6,1494.6,0.0,74.92,5096.91,14.64,0.20647357455175047
2019,BRAV.ST,Bravida Holding AB,Construction & Engineering,Industrials,18987.63,16288.01,1561.52,0.0,99.58,5238.72,8.44,0.19792039884432738
2020,BRAV.ST,Bravida Holding AB,Construction & Engineering,Industrials,21643.57,18517.86,1746.06,0.0,109.52,6113.8,21.93,0.20700552338515532
2021,BRAV.ST,Bravida Holding AB,Construction & Engineering,Industrials,21924.28,18618.0,1790.94,0.0,91.2,6640.68,15.59,0.21395466229585017
2022,BRAV.ST,Bravida Holding AB,Construction & Engineering,Industrials,24991.65,21221.48,2158.73,0.0,122.57,7431.29,37.65,0.19934153976334018
2023,BRAV.ST,Bravida Holding AB,Construction & Engineering,Industrials,29284.02,24907.79,2659.38,0.0,328.44,8284.67,37.25,0.16683770091517336
2024,BRAV.ST,Bravida Holding AB,Construction & Engineering,Industrials,30157.03,25793.09,2803.86,0.0,329.5,9046.21,29.81,0.13558586252564436
