Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2008,DEDIC.ST,Dedicare AB (publ),Professional & Commercial Services,Industrials,231.45,0.0,212.92,0.0,0.0,25.0,0.0,0.7412000000000001
2009,DEDIC.ST,Dedicare AB (publ),Professional & Commercial Services,Industrials,281.3,0.0,260.34,0.0,0.0,39.39,0.0,0.5321147499365331
2010,DEDIC.ST,Dedicare AB (publ),Professional & Commercial Services,Industrials,278.73,0.0,261.02,0.0,0.0,0.0,0.0,
2011,DEDIC.ST,Dedicare AB (publ),Professional & Commercial Services,Industrials,352.44,0.0,333.26,0.0,0.0,31.7,0.0,0.6050473186119876
2012,DEDIC.ST,Dedicare AB (publ),Professional & Commercial Services,Industrials,468.13,0.0,439.62,0.0,0.9,44.0,0.0,0.6274999999999998
2013,DEDIC.ST,Dedicare AB (publ),Professional & Commercial Services,Industrials,422.84,0.0,406.81,0.0,0.26,45.34,0.0,0.34781649757388555
2014,DEDIC.ST,Dedicare AB (publ),Professional & Commercial Services,Industrials,457.55,0.0,428.24,0.0,0.0,63.35,0.0,0.4626677190213102
2015,DEDIC.ST,Dedicare AB (publ),Professional & Commercial Services,Industrials,548.06,0.0,509.39,0.0,1.03,106.48,0.0,0.3534936138241919
2016,DEDIC.ST,Dedicare AB (publ),Professional & Commercial Services,Industrials,638.37,0.0,568.95,0.0,0.68,115.4,0.0,0.5956672443674172
2017,DEDIC.ST,Dedicare AB (publ),Professional & Commercial Services,Industrials,757.83,150.0,531.91,0.0,0.0,109.53,0.0,0.6931434310234645
2018,DEDIC.ST,Dedicare AB (publ),Professional & Commercial Services,Industrials,760.43,178.63,533.6899999999999,0.0,1.08,99.98,0.0,0.4703940788157633
2019,DEDIC.ST,Dedicare AB (publ),Professional & Commercial Services,Industrials,722.12,180.9,502.36,0.0,2.12,87.29,0.0,0.4208958643601789
2020,DEDIC.ST,Dedicare AB (publ),Professional & Commercial Services,Industrials,905.98,221.9,627.46,0.0,4.78,141.41,0.0,0.3665935930980836
2021,DEDIC.ST,Dedicare AB (publ),Professional & Commercial Services,Industrials,1252.64,271.81,879.39,0.0,3.6,173.9,0.0,0.5626221966647509
2022,DEDIC.ST,Dedicare AB (publ),Professional & Commercial Services,Industrials,1679.86,348.35,1202.8,0.0,15.18,247.14,0.0,0.4593752528930963
2023,DEDIC.ST,Dedicare AB (publ),Professional & Commercial Services,Industrials,1961.39,394.97,1417.77,0.0,28.49,312.03,0.0,0.38509117713040447
2024,DEDIC.ST,Dedicare AB (publ),Professional & Commercial Services,Industrials,1748.95,287.79,1394.04,0.0,18.27,307.71,0.0,0.15875337168112874
