Year,CompanyName,Industry,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2003,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,70.06,27.62,11.4,0.0,2.75,11.81,0.0,2.395427603725656
2004,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,108.32,35.49,19.15,0.0,2.11,91.97,0.0,0.5607263238012394
2005,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,141.47,85.33,27.76,0.0,0.77,292.17,0.0,0.09449977752678235
2006,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,296.55,145.87,37.39,0.0,4.47,1176.45,0.0,0.09249861872582771
2007,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,573.77,315.78,110.78,0.0,62.23,976.19,0.0,0.08705272539157338
2008,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,1218.39,664.31,166.69,0.0,94.74,1508.04,0.0,0.19405983926155815
2009,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,1015.19,791.05,159.38,0.0,87.19,1178.17,0.0,-0.019037999609563892
2010,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,565.66,431.31,114.77,0.0,0.0,773.93,0.0,0.02529944568630234
2011,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,457.85,379.01,137.13,0.0,0.0,294.66,0.0,-0.1978212176746079
2012,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,949.74,603.06,97.94,0.0,0.0,293.73,0.0,0.846832124740408
2013,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,1041.94,751.31,113.82,0.0,0.0,349.82,0.0,0.505431364701847
2014,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,815.13,680.94,193.21,0.0,0.0,-305.76,0.0,0.19302721088435396
2015,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,758.94,562.44,149.95,0.0,0.0,264.98,0.0,0.17567363574609407
2016,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,605.15,351.91,111.74,0.0,0.0,190.61,0.0,0.74235349666859
2017,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,158.8,214.77,99.21,0.0,21.89,128.57,0.0,-1.3772264136268182
2018,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,161.83,153.85,55.81,0.0,4.74,324.03,0.0,-0.1622380643767552
2019,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,397.11,378.78,64.73,0.0,5.22,413.27,0.0,-0.12490623563287914
2020,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,437.95,400.32,52.48,0.0,4.9,302.14,6.54,-0.06398211740313593
2021,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,177.95,180.6,47.81,0.0,5.32,241.44,8.19,-0.22345070704642875
2022,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,193.72,182.89,37.36,0.0,15.53,281.55,10.53,-0.14400164338537383
2023,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,365.45,201.13,41.88,0.0,25.32,271.65,0.0,0.35751886618810974
2024,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,380.91,182.17,45.8,0.0,19.06,3213.33,0.0,0.04166394363479632
