Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2009,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,1366.4,0.0,189.4,0.0,1221.2,6197.0,259.0,-0.006846344485749697
2010,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,1421.6,0.0,374.4,0.0,1247.9,6832.3,120.1,-0.02886772912950927
2011,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,1434.7,0.0,372.0,0.0,1379.2,7272.2,119.2,-0.042820034093676435
2012,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,1500.3,0.0,141.5,0.0,1424.8000000000002,7987.1,98.0,-0.008163164339340296
2013,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,1632.3,0.0,131.7,0.0,1373.6,8016.8,114.6,0.01561846668470374
2014,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,1772.3,0.0,141.3,0.0,1385.4,10778.2,285.8,0.022198120028922623
2015,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,1760.0,0.0,143.0,0.0,1227.0,12994.0,359.0,0.029206919793304875
2016,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,1899.0,0.0,182.0,0.0,589.0,14732.0,392.0,0.07458344353345676
2017,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,2075.0,161.0,368.0,0.0,628.0,18505.0,433.0,0.04847396768402154
2018,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,2243.0,184.0,357.0,0.0,552.0,20524.0,1746.0,0.05163897620116749
2019,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,2338.0,189.0,399.0,0.0,622.0,22570.0,1947.0,0.04600889178937064
2020,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,2353.0,211.0,442.0,0.0,590.0,27136.0,2069.0,0.03800719054956343
2021,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,2508.0,234.0,509.0,0.0,594.0,31263.0,2308.0,0.03488129635697477
2022,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,3158.0,263.0,521.0,0.0,1138.0,29693.0,1978.0,0.03902623851472956
2023,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,3077.0,255.0,456.0,0.0,1648.0,23779.0,1775.0,0.02809736244814902
2024,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,3099.0,264.0,493.0,0.0,1475.0,23802.0,1755.0,0.033924169503462845
