Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,HAVI.OL,Havila Shipping ASA,Freight & Logistics Services,Industrials,227.65,138.55999999999997,18.14,0.0,0.0,242.82,0.0,0.2921917469730666
2005,HAVI.OL,Havila Shipping ASA,Freight & Logistics Services,Industrials,472.12,220.77,20.35,0.0,0.0,646.35,0.0,0.35739150614991877
2006,HAVI.OL,Havila Shipping ASA,Freight & Logistics Services,Industrials,666.01,248.87,27.14,0.0,0.0,989.43,0.0,0.3941663381947182
2007,HAVI.OL,Havila Shipping ASA,Freight & Logistics Services,Industrials,526.64,183.76,27.37,0.0,0.0,862.62,16.86,0.35874607722745255
2008,HAVI.OL,Havila Shipping ASA,Freight & Logistics Services,Industrials,810.52,362.99,39.25,0.0,0.0,1103.13,22.66,0.36266088702155813
2009,HAVI.OL,Havila Shipping ASA,Freight & Logistics Services,Industrials,848.53,431.49,42.97,0.0,0.0099999999999909,1686.95,15.82,0.21967734926032287
2010,HAVI.OL,Havila Shipping ASA,Freight & Logistics Services,Industrials,1030.2,687.6100000000001,66.82,0.0,0.0,1679.92,15.12,0.16269232584481777
2011,HAVI.OL,Havila Shipping ASA,Freight & Logistics Services,Industrials,1279.03,846.48,84.73,0.0,0.0099999999999909,1801.25,0.0,0.19309368494101314
2012,HAVI.OL,Havila Shipping ASA,Freight & Logistics Services,Industrials,1332.16,820.12,85.36,0.0,382.95,2002.44,0.0,0.0218383572042109
2013,HAVI.OL,Havila Shipping ASA,Freight & Logistics Services,Industrials,1436.11,760.14,88.36,0.0,383.85,2021.61,0.0,0.10079095374478751
2014,HAVI.OL,Havila Shipping ASA,Freight & Logistics Services,Industrials,1698.72,836.3000000000001,102.5,0.0,362.51,2022.1,0.0,0.19653330695811286
2015,HAVI.OL,Havila Shipping ASA,Freight & Logistics Services,Industrials,1543.7,818.3900000000001,98.28,0.0,323.33,502.41,0.0,0.6044863756692741
2016,HAVI.OL,Havila Shipping ASA,Freight & Logistics Services,Industrials,1061.32,619.11,88.13,0.0,317.32,-699.94,0.0,-0.052518787324627725
2017,HAVI.OL,Havila Shipping ASA,Freight & Logistics Services,Industrials,571.6,516.49,64.87,0.0,205.09,423.14,0.0,-0.507751571583873
2018,HAVI.OL,Havila Shipping ASA,Freight & Logistics Services,Industrials,568.62,457.19000000000005,53.88,0.0,182.17,-712.54,0.0,0.17489544446627564
2019,HAVI.OL,Havila Shipping ASA,Freight & Logistics Services,Industrials,708.35,500.79,83.12,0.0,212.24,-1034.57,0.0,0.08486617628579991
2020,HAVI.OL,Havila Shipping ASA,Freight & Logistics Services,Industrials,663.68,452.28,59.97,0.0,87.58,137.14,0.0,0.46558261630450626
2021,HAVI.OL,Havila Shipping ASA,Freight & Logistics Services,Industrials,515.43,409.8200000000001,52.42,0.0,0.08,19.22,0.0,2.763267429760658
2022,HAVI.OL,Havila Shipping ASA,Freight & Logistics Services,Industrials,658.49,427.05,46.56,0.0,0.0099999999999997,-93.5,0.0,-1.9772192513368985
2023,HAVI.OL,Havila Shipping ASA,Freight & Logistics Services,Industrials,665.29,431.16,61.32,0.0,0.0,19.53,0.0,8.8484383000512
2024,HAVI.OL,Havila Shipping ASA,Freight & Logistics Services,Industrials,551.48,324.77,57.75,0.0,0.0100000000000002,327.17,0.0,0.5163982027692027
