Year,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,0.0,0.0,4.73,1.83,0.0,20.95,0.0,-0.13842482100238665
2005,0.0,0.0,10.66,3.7,0.0,3.44,0.0,-2.0232558139534884
2006,0.12,0.0,12.66,8.47,0.0,11.63,0.0,-0.349957007738607
2007,10.18,0.0,17.61,10.67,1.69,-0.74,0.0,-2.094594594594595
2008,2.25,0.0,8.06,4.26,2.23,-9.78,0.0,0.3865030674846627
2009,0.07,0.0,11.29,4.99,2.42,-8.19,0.0,1.056166056166056
2010,0.14,0.0,11.23,6.28,0.27,9.6,0.0,-0.5291666666666667
2011,1.32,0.0,7.63,13.48,0.0,19.37,0.0,0.3701600413009809
2012,4.51,0.0,13.06,10.75,0.0,18.32,0.0,0.12008733624454145
2013,2.53,0.0,20.1,17.34,0.01,49.88,0.0,-0.004811547714514871
2014,1.51,0.85,31.83,51.3,0.0,243.35,0.0,0.08272036161906718
2015,0.35,0.14,29.45,102.57,0.0,749.68,0.0,0.0978150677622452
2016,38.56,32.69,41.43,81.36,0.0,562.37,0.0,0.08144104415242634
2017,17.47,13.69,57.040000000000006,56.26,0.06,337.06,0.0,0.00872248264403961
2018,3.59,1.5,56.08,45.85,0.01,123.24,0.0,-0.06613112625770852
2019,3.72,0.55,63.1,38.58,0.0,156.36,0.0,-0.13654387311332822
2020,10.3,2.59,81.78999999999999,17.83,0.59,107.34,0.0,-0.5295323271846468
2021,24.41,10.78,88.16,23.03,0.27,332.23,0.0,-0.15582578334286487
2022,39.3,31.17,98.24,31.22,0.32,223.76,0.0,-0.26461387200572045
2023,43.66,41.23,105.76,25.25,0.06,114.87,0.0,-0.6802472360059199
2024,9.04,18.09,81.89,26.4,18.29,53.57,0.0,-1.5462012320328544
