Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
1995,JYSK.CO,Jyske Bank A/S,Banking Services,Financials,2929.92,0.0,1408.52,0.0,2191.71,4416.11,0.0,-0.15178743283115684
1996,JYSK.CO,Jyske Bank A/S,Banking Services,Financials,2977.94,0.0,1438.93,0.0,1645.29,4844.54,0.0,-0.02193809938611302
1997,JYSK.CO,Jyske Bank A/S,Banking Services,Financials,2679.56,0.0,1598.31,0.0,1615.75,5136.68,0.0,-0.10405553781820163
1998,JYSK.CO,Jyske Bank A/S,Banking Services,Financials,2765.96,0.0,1925.66,0.0,2308.87,6178.5,0.0,-0.2376903779234442
1999,JYSK.CO,Jyske Bank A/S,Banking Services,Financials,3759.08,0.0,2232.41,0.0,2110.57,5846.31,33.01,-0.09931420640482233
2000,JYSK.CO,Jyske Bank A/S,Banking Services,Financials,3867.0,0.0,2335.36,0.0,4040.81,6523.19,34.17,-0.3826494198884917
2001,JYSK.CO,Jyske Bank A/S,Banking Services,Financials,3676.9,0.0,2645.81,0.0,4692.06,6618.84,37.5,-0.5499974460439221
2002,JYSK.CO,Jyske Bank A/S,Banking Services,Financials,3927.95,0.0,2637.3,0.0,3787.81,6524.67,0.0,-0.3827258696608411
2003,JYSK.CO,Jyske Bank A/S,Banking Services,Financials,4422.8,0.0,2899.67,0.0,3003.5,8836.95,33.66,-0.1668848027362267
2004,JYSK.CO,Jyske Bank A/S,Banking Services,Financials,5365.63,0.0,3395.31,0.0,1546.41,8613.93,95.43,0.048672922005750144
2005,JYSK.CO,Jyske Bank A/S,Banking Services,Financials,5584.61,0.0,3577.81,0.0,2017.87,10062.39,86.17,-0.0010907951472918487
2006,JYSK.CO,Jyske Bank A/S,Banking Services,Financials,3823.23,0.0,4094.05,0.0,0.0,10574.72,60.84,-0.025463633320671426
2007,JYSK.CO,Jyske Bank A/S,Banking Services,Financials,5689.43,0.0,3579.68,0.0,5731.5,10271.63,52.6,-0.3508009798309414
2008,JYSK.CO,Jyske Bank A/S,Banking Services,Financials,6421.22,0.0,4050.52,0.0,8091.12,13930.9,58.54,-0.40890986343985175
2009,JYSK.CO,Jyske Bank A/S,Banking Services,Financials,7832.54,0.0,3806.34,0.0,3767.12,13919.68,41.25,0.018557502974372045
2010,JYSK.CO,Jyske Bank A/S,Banking Services,Financials,6977.23,0.0,4076.87,0.0,1675.31,13921.79,32.96,0.08778731256382233
2011,JYSK.CO,Jyske Bank A/S,Banking Services,Financials,6884.18,0.0,4415.08,0.0,2300.66,14374.85,34.34,0.01168976188113284
2012,JYSK.CO,Jyske Bank A/S,Banking Services,Financials,6928.11,0.0,4668.29,0.0,1825.94,15362.43,35.44,0.028177923310172097
2013,JYSK.CO,Jyske Bank A/S,Banking Services,Financials,8075.02,0.0,4662.77,0.0,1419.15,19504.01,36.89,0.10199632565542018
2014,JYSK.CO,Jyske Bank A/S,Banking Services,Financials,9092.23,0.0,5658.96,0.0,5217.19,33459.92,0.0,-0.05331513046056297
2015,JYSK.CO,Jyske Bank A/S,Banking Services,Financials,12715.99,0.0,6281.24,0.0,7105.22,38643.09,0.0,-0.017350320587716985
2016,JYSK.CO,Jyske Bank A/S,Banking Services,Financials,11892.42,0.0,6634.35,0.0,6337.38,37950.57,0.0,-0.028439889045144787
2017,JYSK.CO,Jyske Bank A/S,Banking Services,Financials,12126.61,0.0,7051.9,0.0,5784.79,42361.14,0.0,-0.01676253283079726
2018,JYSK.CO,Jyske Bank A/S,Banking Services,Financials,11205.74,0.0,6815.95,0.0,6532.49,42175.15,0.0,-0.050804798560289646
2019,JYSK.CO,Jyske Bank A/S,Banking Services,Financials,11087.21,0.0,7082.0,0.0,6234.0,42762.75,0.0,-0.05211989406668189
2020,JYSK.CO,Jyske Bank A/S,Banking Services,Financials,12187.39,0.0,7450.57,0.0,5672.1,46920.51,0.0,-0.019933287170152254
2021,JYSK.CO,Jyske Bank A/S,Banking Services,Financials,12419.13,0.0,7183.33,0.0,5103.23,47007.22,0.0,0.002820205066370649
2022,JYSK.CO,Jyske Bank A/S,Banking Services,Financials,12486.25,0.0,7061.52,0.0,7330.24,52634.31,0.0,-0.03620281143611458
2023,JYSK.CO,Jyske Bank A/S,Banking Services,Financials,22716.12,0.0,10438.42,0.0,23469.59,63883.45,0.0,-0.17519232289427075
2024,JYSK.CO,Jyske Bank A/S,Banking Services,Financials,22140.69,0.0,10687.8,0.0,25903.78,72061.78,0.0,-0.20053473561158217
