Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,KSL.HE,Keskisuomalainen Oyj,Media & Publishing,Communication Services,825.77,218.61,303.95,0.0,10.78,183.43,54.8,1.227511228644587
2005,KSL.HE,Keskisuomalainen Oyj,Media & Publishing,Communication Services,783.41,203.09,294.13,0.0,11.81,221.01,64.79,0.9600419874037787
2006,KSL.HE,Keskisuomalainen Oyj,Media & Publishing,Communication Services,802.11,206.94,300.05,0.0,11.03,296.83,0.0,0.9570798099922518
2007,KSL.HE,Keskisuomalainen Oyj,Media & Publishing,Communication Services,839.41,218.38,303.81,0.0,17.32,355.75,0.0,0.8430077301475755
2008,KSL.HE,Keskisuomalainen Oyj,Media & Publishing,Communication Services,866.88,220.2,325.36,0.0,17.27,425.98,0.0,0.713765904502559
2009,KSL.HE,Keskisuomalainen Oyj,Media & Publishing,Communication Services,852.05,232.51,343.81,1.04,15.35,408.68,0.0,0.6396691788196143
2010,KSL.HE,Keskisuomalainen Oyj,Media & Publishing,Communication Services,815.78,203.91,311.4,5.35,11.92,445.04,0.0,0.6603900772964229
2011,KSL.HE,Keskisuomalainen Oyj,Media & Publishing,Communication Services,846.77,223.13,370.98,4.44,12.82,435.29,0.0,0.5611890923292516
2012,KSL.HE,Keskisuomalainen Oyj,Media & Publishing,Communication Services,794.06,211.39,384.32,3.76,11.57,427.91,0.0,0.4452805496482904
2013,KSL.HE,Keskisuomalainen Oyj,Media & Publishing,Communication Services,1171.22,360.44,583.6,4.49,19.51,486.78,2.38,0.43372311718047263
2014,KSL.HE,Keskisuomalainen Oyj,Media & Publishing,Communication Services,1317.47,422.54,645.12,4.88,24.12,563.36,3.51,0.40674228659128203
2015,KSL.HE,Keskisuomalainen Oyj,Media & Publishing,Communication Services,1339.93,420.14,660.62,4.59,22.78,635.68,7.56,0.3746346620235062
2016,KSL.HE,Keskisuomalainen Oyj,Media & Publishing,Communication Services,1412.11,423.59,724.95,4.64,17.25,656.17,6.17,0.3788990548660808
2017,KSL.HE,Keskisuomalainen Oyj,Media & Publishing,Communication Services,1624.0,456.81,954.64,9.33,12.93,806.18,6.76,0.2570300391172782
2018,KSL.HE,Keskisuomalainen Oyj,Media & Publishing,Communication Services,1594.73,455.41,947.43,12.48,10.63,782.9,4.84,0.2459440932287303
2019,KSL.HE,Keskisuomalainen Oyj,Media & Publishing,Communication Services,2275.26,634.65,1010.52,14.65,11.13,764.92,2.15,0.826013271279023
2020,KSL.HE,Keskisuomalainen Oyj,Media & Publishing,Communication Services,2217.5,635.3,1011.57,14.06,10.54,969.73,-1.69,0.5931056567910417
2021,KSL.HE,Keskisuomalainen Oyj,Media & Publishing,Communication Services,2150.65,547.17,1017.79,12.51,10.97,905.66,0.09,0.6483356334529395
2022,KSL.HE,Keskisuomalainen Oyj,Media & Publishing,Communication Services,2230.77,693.47,1021.68,11.01,9.86,869.26,-0.89,0.5951034697191289
2023,KSL.HE,Keskisuomalainen Oyj,Media & Publishing,Communication Services,2379.53,774.75,1105.0,11.51,23.79,646.73,-2.19,0.7563533682936671
2024,KSL.HE,Keskisuomalainen Oyj,Media & Publishing,Communication Services,2354.79,694.54,1093.78,12.2,36.59,557.54,-2.44,0.9765447667087014
