Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2014,LUMO.HE,Kojamo Oyj,Real Estate Operations,Real Estate,2979.13,1225.08,323.4,1.67,788.03,14272.41,0.0,0.04514234106223127
2015,LUMO.HE,Kojamo Oyj,Real Estate Operations,Real Estate,3317.57,1283.56,355.1,2.68,767.45,16689.65,0.0,0.05477286821473189
2016,LUMO.HE,Kojamo Oyj,Real Estate Operations,Real Estate,3264.79,1201.89,347.38,2.79,826.6500000000001,16884.46,0.0,0.05280950649295267
2017,LUMO.HE,Kojamo Oyj,Real Estate Operations,Real Estate,3144.29,1128.96,347.08,1.87,824.8,20070.28,0.0,0.042117997357286496
2018,LUMO.HE,Kojamo Oyj,Real Estate Operations,Real Estate,3445.0,1199.22,370.62,0.96,917.9,23363.29,0.0,0.04101391542030252
2019,LUMO.HE,Kojamo Oyj,Real Estate Operations,Real Estate,3694.79,1260.15,381.0,3.94,985.48,30413.34,0.0,0.03525097868238082
2020,LUMO.HE,Kojamo Oyj,Real Estate Operations,Real Estate,4116.64,1354.34,411.77,7.51,1151.67,34670.93,0.0,0.03479485551728782
2021,LUMO.HE,Kojamo Oyj,Real Estate Operations,Real Estate,3980.33,1313.91,379.03,12.19,1151.32,42681.95,0.0,0.026902707116240005
2022,LUMO.HE,Kojamo Oyj,Real Estate Operations,Real Estate,4171.75,1345.5,435.04,12.11,1275.85,40287.9,0.0,0.027985325618858272
2023,LUMO.HE,Kojamo Oyj,Real Estate Operations,Real Estate,5044.36,1654.08,520.18,31.94,1846.86,40555.84,0.0,0.026017954504209507
2024,LUMO.HE,Kojamo Oyj,Real Estate Operations,Real Estate,5256.71,1738.29,457.81,15.11,2949.0600000000004,42704.63,0.0,0.0029659547454222147
