Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,METSB.HE,Metsa Board Oyj,Containers & Packaging,Materials,46204.49,26658.37,12592.86,0.0,1221.63,19713.2,304.8,0.28632380857228484
2005,METSB.HE,Metsa Board Oyj,Containers & Packaging,Materials,41977.11,24580.76,11733.73,0.0,985.15,18132.45,359.3,0.25294901780523765
2006,METSB.HE,Metsa Board Oyj,Containers & Packaging,Materials,37034.2,20753.31,10384.7,0.0,1093.97,15158.22,518.16,0.30633475330401505
2007,METSB.HE,Metsa Board Oyj,Containers & Packaging,Materials,28030.05,0.0,0.0,0.0,0.0,14509.45,412.29,1.8784706073152324
2008,METSB.HE,Metsa Board Oyj,Containers & Packaging,Materials,26650.16,17747.56,8120.24,82.36,1358.86,12902.12,553.36,-0.036724070787515675
2009,METSB.HE,Metsa Board Oyj,Containers & Packaging,Materials,21224.57,15717.7,6178.87,61.09,951.27,7597.14,66.35,-0.20384707228690851
2010,METSB.HE,Metsa Board Oyj,Containers & Packaging,Materials,20847.8,16182.05,3825.43,0.0,0.0,7741.11,38.94,0.10800958862732248
2011,METSB.HE,Metsa Board Oyj,Containers & Packaging,Materials,19365.84,15114.44,5283.86,38.18,1176.61,5672.55,39.46,-0.3800571077431586
2012,METSB.HE,Metsa Board Oyj,Containers & Packaging,Materials,15751.66,11665.77,3316.8500000000004,38.12,1086.6799999999998,6243.99,40.37,-0.0444786740415891
2013,METSB.HE,Metsa Board Oyj,Containers & Packaging,Materials,15767.9,11819.1,3223.39,39.82,999.5,7084.05,0.0,-0.0330700658521609
2014,METSB.HE,Metsa Board Oyj,Containers & Packaging,Materials,16783.39,12112.05,3681.08,50.14,709.47,7605.32,0.0,0.04351296197924612
2015,METSB.HE,Metsa Board Oyj,Containers & Packaging,Materials,17956.41,12594.08,3496.46,75.14,499.12,9877.47,0.0,0.1459776643209243
2016,METSB.HE,Metsa Board Oyj,Containers & Packaging,Materials,15978.43,11605.56,3342.81,58.52,482.99,9556.82,0.0,0.063367312557943
2017,METSB.HE,Metsa Board Oyj,Containers & Packaging,Materials,17247.86,12036.92,3213.33,51.32,654.98,11493.21,0.0,0.12128465415667171
2018,METSB.HE,Metsa Board Oyj,Containers & Packaging,Materials,18666.19,13196.24,3354.75,60.49,365.82,13106.86,0.0,0.13808570473782422
2019,METSB.HE,Metsa Board Oyj,Containers & Packaging,Materials,19018.38,13682.44,3406.33,63.01,293.38,13166.71,0.0,0.12905577779111113
2020,METSB.HE,Metsa Board Oyj,Containers & Packaging,Materials,20261.52,13140.23,3585.84,70.77,246.64,14496.94,0.0,0.23174407840551184
2021,METSB.HE,Metsa Board Oyj,Containers & Packaging,Materials,21177.96,14846.22,3459.03,60.97,150.4,17013.51,1463.68,0.15063329434832892
2022,METSB.HE,Metsa Board Oyj,Containers & Packaging,Materials,25028.5,18414.06,3568.1400000000003,61.57,85.8,21828.25,1815.88,0.12781481069508577
2023,METSB.HE,Metsa Board Oyj,Containers & Packaging,Materials,22152.04,16306.89,3934.42,83.27,278.34,21218.02,1740.39,0.07472904264711717
2024,METSB.HE,Metsa Board Oyj,Containers & Packaging,Materials,22525.77,17332.97,4216.75,85.99,397.39,20509.8,1938.02,0.029608665785809004
