Year,CompanyName,Industry,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,Otello Corporation ASA,Media & Publishing,99.33,0.0,106.6,0.0,0.01,262.42,0.0,-0.027741787973477615
2005,Otello Corporation ASA,Media & Publishing,153.95,0.0,150.97,0.0,0.01,289.95,0.0,0.010243145369891326
2006,Otello Corporation ASA,Media & Publishing,213.78,4.64,236.62,81.91,0.02,499.47,0.0,0.10893547159989589
2007,Otello Corporation ASA,Media & Publishing,315.47,2.14,295.94,136.22,0.01,532.17,0.0,0.2886295732566662
2008,Otello Corporation ASA,Media & Publishing,497.11,3.18,404.74,0.0,0.01,598.21,0.0,0.1490780829474599
2009,Otello Corporation ASA,Media & Publishing,612.74,0.96,544.19,0.0,0.64,602.93,0.0,0.11104108271275259
2010,Otello Corporation ASA,Media & Publishing,692.24,0.0,548.1,0.0,10.18,621.54,0.0,0.21552916948225373
2011,Otello Corporation ASA,Media & Publishing,895.28,19.61,1072.88,0.0,0.0,702.25,0.0,-0.28082591669633344
2012,Otello Corporation ASA,Media & Publishing,1256.0,144.79,1312.98,19.77,0.58,799.96,0.0,-0.22823641182059104
2013,Otello Corporation ASA,Media & Publishing,1763.9,342.08,1575.2299999999998,84.64,24.69,1904.82,0.0,-0.04906500351739247
2014,Otello Corporation ASA,Media & Publishing,3031.79,868.93,2467.4300000000003,72.52,23.33,2744.47,0.0,-0.09305257481408075
2015,Otello Corporation ASA,Media & Publishing,3662.17,1988.31,2177.78,129.01,18.54,-8.84,0.0,44.50791855203624
2016,Otello Corporation ASA,Media & Publishing,4468.46,2603.66,1969.74,161.21,50.38,4487.79,0.0,0.001312450003231035
2017,Otello Corporation ASA,Media & Publishing,3463.35,2063.13,1772.18,123.99,34.72,3840.88,0.0,-0.07360032075982595
2018,Otello Corporation ASA,Media & Publishing,2241.91,1310.63,1145.37,93.62,8.95,3133.26,10.37,-0.04116896708582125
2019,Otello Corporation ASA,Media & Publishing,2118.58,1210.62,1026.73,95.02,12.32,2960.08,16.68,-0.012117201252368348
2020,Otello Corporation ASA,Media & Publishing,0.94,2.82,136.45999999999998,96.93,0.0,2631.7,-3.43,-0.015755611105403924
2021,Otello Corporation ASA,Media & Publishing,0.86,0.0,73.91,25.78,0.86,3093.79,0.0,-0.01555697057654204
2022,Otello Corporation ASA,Media & Publishing,1.92,0.0,34.59,0.0,0.0,1052.14,0.0,-0.031051000817381717
2023,Otello Corporation ASA,Media & Publishing,0.0,0.0,39.1,0.0,0.04,1104.97,0.0,-0.035421776156818734
2024,Otello Corporation ASA,Media & Publishing,0.0,0.0,36.85,0.0,0.01,897.4,0.0,-0.04107421439714731
