Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2010,SDSD.OL,SD Standard ETC PLC,Investment Holding Companies,Financials,0.0,0.0,0.51,0.0,0.0,237.9,0.0,-0.0021437578814627995
2011,SDSD.OL,SD Standard ETC PLC,Investment Holding Companies,Financials,0.0,0.0,5.0,0.0,0.31,2350.69,0.0,-0.002258911213303328
2012,SDSD.OL,SD Standard ETC PLC,Investment Holding Companies,Financials,0.0,0.0,35.34,0.0,0.31,2167.08,0.0,-0.01645070786496115
2013,SDSD.OL,SD Standard ETC PLC,Investment Holding Companies,Financials,0.0,0.0,57.04,0.0,0.09,430.37,0.0,-0.1327462416060599
2014,SDSD.OL,SD Standard ETC PLC,Investment Holding Companies,Financials,0.0,0.0,8.3,0.0,0.04,410.03,0.0,-0.020339975123771434
2015,SDSD.OL,SD Standard ETC PLC,Investment Holding Companies,Financials,0.0,0.0,7.109999999999999,0.0,0.12,82.92,0.0,-0.08719247467438494
2016,SDSD.OL,SD Standard ETC PLC,Investment Holding Companies,Financials,1.62,0.0,5.37,0.0,0.09,78.62,0.0,-0.048842533706436014
2017,SDSD.OL,SD Standard ETC PLC,Investment Holding Companies,Financials,6.03,0.0,7.17,0.0,0.02,824.74,0.0,-0.0014065038678856363
2018,SDSD.OL,SD Standard ETC PLC,Investment Holding Companies,Financials,4.74,0.0,6.17,0.0,0.02,961.3,0.0,-0.001508374076771039
2019,SDSD.OL,SD Standard ETC PLC,Investment Holding Companies,Financials,62.55,0.0,7.140000000000001,0.0,0.04,1034.27,0.0,0.05353534376903516
2020,SDSD.OL,SD Standard ETC PLC,Investment Holding Companies,Financials,247.44,0.0,8.17,0.0,0.04,741.63,0.0,0.32257325081239974
2021,SDSD.OL,SD Standard ETC PLC,Investment Holding Companies,Financials,128.39,0.0,12.1,0.0,0.15,874.54,0.0,0.1328012440826034
2022,SDSD.OL,SD Standard ETC PLC,Investment Holding Companies,Financials,402.88,0.0,27.750000000000004,0.0,0.47,1367.61,0.0,0.27395236946205426
2023,SDSD.OL,SD Standard ETC PLC,Investment Holding Companies,Financials,49.42,0.0,25.88,0.0,0.45,1443.06,0.0,0.016000720690754373
2024,SDSD.OL,SD Standard ETC PLC,Investment Holding Companies,Financials,152.35,0.0,17.48,0.0,1.06,1328.51,0.0,0.10072186133337348
