Year,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,2142.2,900.0,249.8,149.6,2.4,2563.8,68.0,0.4330116270233299
2005,2413.1,1108.7,288.8,145.6,2.0,2165.9,75.2,0.5172459952701798
2006,3965.0,2078.1,308.1,131.9,3.0,1971.6,65.8,0.838176106802788
2007,3489.5,2135.9,747.5,0.0,0.0,1623.8,56.3,0.360752336170466
2008,3621.9,1794.5,371.9,170.3,32.8,2019.2,65.2,0.7642487046632125
2009,3321.3,1586.3,389.9,144.1,23.5,1844.8,57.9,0.7703263783045148
2010,3050.2,1311.8,389.5,173.0,14.4,1832.3,68.4,0.7931288472667963
2011,3689.8,1469.4,395.1,0.0,30.6,1066.2,75.8,1.5715411558669004
2012,4073.1,1605.5,432.9,26.0,35.4,1066.1,73.6,1.7770465912082127
2013,4421.0,1899.6,441.6,43.5,35.7,1066.1,82.6,1.8173587533733793
2014,4749.0,2055.1,456.5,42.8,36.6,1066.1,115.4,1.8989420228523066
2015,6142.9,2749.2,535.0,45.8,19.5,1065.9,160.4,2.352605398352768
2016,6609.9,2829.3,606.5,47.3,15.9,1065.8,177.7,2.5778045838359467
2017,7432.1,3243.2,704.8000000000001,48.6,19.1,1065.8,143.3,2.9059631130593013
2018,8595.8,3613.8,890.5,55.7,28.6,1066.0,159.3,3.361299273647269
2019,9346.3,3625.7,811.2,59.4,20.3,1065.8,170.3,4.003316883747269
2020,9941.3,3829.6,685.0,64.5,14.2,1065.9,162.7,4.457919583265504
2021,10908.7,4343.8,790.8000000000001,103.6,18.5,1066.0,171.3,4.735472399579731
2022,12188.0,5056.2,930.6,156.4,34.4,1066.0,191.9,5.026790682884172
2023,14692.74,8441.48,4893.78,0.0,0.0,6610.36,268.44,0.19734255974879347
2024,15658.58,6314.09,1344.39,235.88,182.43,2351.04,388.31,2.939949258035665
