Year,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2011,Scatec ASA,Electric Utilities & IPPs,Utilities,864.86,693.69,0.0,0.0,36.37,213.15,9.56,0.6052714292128775
2012,Scatec ASA,Electric Utilities & IPPs,Utilities,366.71,0.0,0.0,0.0,29.29,152.01,10.52,2.0760474989232756
2013,Scatec ASA,Electric Utilities & IPPs,Utilities,132.16,0.0,0.0,0.0,44.8,103.98,294.64,0.21915608850534343
2014,Scatec ASA,Electric Utilities & IPPs,Utilities,455.1,0.0,93.63,0.0,190.8,629.77,546.81,0.14505600979108946
2015,Scatec ASA,Electric Utilities & IPPs,Utilities,867.71,0.0,94.27,0.0,395.54,807.14,618.26,0.26511856321032695
2016,Scatec ASA,Electric Utilities & IPPs,Utilities,1012.94,0.0,139.49,0.0,496.32,684.73,628.01,0.2872846108140226
2017,Scatec ASA,Electric Utilities & IPPs,Utilities,1121.05,0.0,148.11,0.0,482.09,1309.92,577.3,0.26009156325176713
2018,Scatec ASA,Electric Utilities & IPPs,Utilities,1151.0,0.0,163.0,0.0,500.0,1884.0,591.0,0.19717171717171716
2019,Scatec ASA,Electric Utilities & IPPs,Utilities,1810.0,0.0,212.0,0.0,704.0,2975.0,663.0,0.245739417262232
2020,Scatec ASA,Electric Utilities & IPPs,Utilities,2771.0,0.0,377.0,0.0,1131.0,8795.0,673.0,0.13339670468948037
2021,Scatec ASA,Electric Utilities & IPPs,Utilities,3038.0,0.0,444.0,0.0,1303.0,9271.0,649.0,0.13014112903225805
2022,Scatec ASA,Electric Utilities & IPPs,Utilities,3002.0,0.0,0.0,0.0,1424.0,8263.0,540.0,0.17925707145291378
2023,Scatec ASA,Electric Utilities & IPPs,Utilities,3399.0,0.0,0.0,0.0,1727.0,8687.0,1884.0,0.15816857440166493
2024,Scatec ASA,Electric Utilities & IPPs,Utilities,4368.0,0.0,0.0,0.0,2564.0,10628.0,2136.0,0.14133500470072077
