FormationYear,Method,PortfolioNum,Portfolio,n_firms,total_marketcap,avg_theta_obs,avg_theta_post_mean,avg_p_q5,avg_sigma_acc
2011,Method1_Raw,1,Q1,65,535274.47,-0.6651320626156536,-0.46351970932880204,0.09969791636775721,0.08935112384666857
2011,Method1_Raw,2,Q2,64,380291.48,0.05819580131910903,0.06918267708964461,0.17679329005309619,0.0763870189135463
2011,Method1_Raw,3,Q3,65,646445.24,0.16369084887467747,0.15746693831577233,0.23465520289797887,0.0682048333627346
2011,Method1_Raw,4,Q4,64,1497818.03,0.2784963967247076,0.2598371621546605,0.3508253356324192,0.05978970560981878
2011,Method1_Raw,5,Q5,65,2678959.44,0.7730820381510342,0.6501417452447855,0.6823423783303122,0.08147397032803994
2011,Method2_PostMean,1,Q1,65,545294.63,-0.6631472679747984,-0.4658059071280511,0.08660806745658708,0.0822301700473191
2011,Method2_PostMean,2,Q2,64,371243.7,0.056250054375571804,0.07148932540799649,0.18597515618187266,0.0816520804945012
2011,Method2_PostMean,3,Q3,65,670637.9500000001,0.16491184180458004,0.15684296788556604,0.25214841055185505,0.07538267472388888
2011,Method2_PostMean,4,Q4,64,1451005.1,0.28959056973485703,0.254930277094396,0.340305628143732,0.0705707231727335
2011,Method2_PostMean,5,Q5,65,2700607.28,0.7608685695300735,0.6556121465739703,0.6792562787727491,0.06561786637842505
2011,Method3_ProbQ5,1,Q1,65,984722.79,-0.5283461215032877,-0.37612808984732693,0.029516641253297383,0.045090346288444785
2011,Method3_ProbQ5,2,Q2,64,371038.86,0.0022857158442820373,0.03752385389459533,0.16637221958576004,0.06757348514115491
2011,Method3_ProbQ5,3,Q3,65,605738.13,0.12134015195787373,0.13504439169040763,0.2851022467888575,0.0841648828618368
2011,Method3_ProbQ5,4,Q4,64,1103958.96,0.2417086733613199,0.22263746450010666,0.38048481528032047,0.10299466574557126
2011,Method3_ProbQ5,5,Q5,65,2673329.92,0.7699184826577142,0.6529718313790537,0.6831341758991831,0.07591237089092907
2012,Method1_Raw,1,Q1,68,555169.86,-0.5854224991858419,-0.38184291460678405,0.03667615052580628,0.08518562148913078
2012,Method1_Raw,2,Q2,67,678040.76,0.05342148372392234,0.06234577590141306,0.08956593789565585,0.07206356965923318
2012,Method1_Raw,3,Q3,67,390199.69,0.16338115279749116,0.15266783162104838,0.1565724760251315,0.0655922976266375
2012,Method1_Raw,4,Q4,67,509730.08,0.2772685364469602,0.2465527252138946,0.301924484388323,0.06832663196613713
2012,Method1_Raw,5,Q5,68,2684795.22,0.5866131410508617,0.48643045610055013,0.7038103982061031,0.07425767295369874
2012,Method2_PostMean,1,Q1,68,555756.67,-0.5835498084053272,-0.3829870998530842,0.027892544697044476,0.07913650211365351
2012,Method2_PostMean,2,Q2,67,670878.35,0.05152637619759063,0.06349222185980342,0.09939597586691505,0.07858961037742548
