FormationYear,Method,PortfolioNum,Portfolio,n_firms,total_marketcap,avg_theta_obs,avg_theta_post_mean,avg_p_q5,avg_sigma_acc
2010,Method1_Raw,1,Q1,63,501070.10000000003,-0.5379163118699314,-0.7135472143395868,0.016905636610099386,0.09508363837390008
2010,Method1_Raw,2,Q2,62,477072.39,0.03459740512129471,0.019905541621841796,0.0812726424066379,0.07984915271716486
2010,Method1_Raw,3,Q3,62,988980.02,0.14222386428949813,0.13765640927428963,0.13650532422963293,0.07138956271293306
2010,Method1_Raw,4,Q4,62,689406.95,0.26763504026353463,0.24756297272967304,0.2759924315347193,0.0633200456933811
2010,Method1_Raw,5,Q5,63,2103071.69,0.6704510193622414,0.5495352589381481,0.6949826370142457,0.08751923197708902
2010,Method2_PostMean,1,Q1,63,498832.22000000003,-0.5372447907229981,-0.7140370417422465,0.02016612578241957,0.09760627542648588
2010,Method2_PostMean,2,Q2,62,474072.85,0.03401939228848234,0.020375779089018435,0.08263179247379342,0.0815798335680121
2010,Method2_PostMean,3,Q3,62,994012.68,0.14285611067315798,0.13766149668095676,0.1339903898301581,0.06863190351779153
2010,Method2_PostMean,4,Q4,62,511731.2,0.27094265179977634,0.23977557324493393,0.2705402567714878,0.07526774243129251
2010,Method2_PostMean,5,Q5,63,2280952.2,0.666471015748649,0.5572210962753397,0.6982252186978644,0.07424922126729269
2010,Method3_ProbQ5,1,Q1,63,1187753.01,-0.456393560679097,-0.6002944026642192,0.001465942754530521,0.0589337454846895
2010,Method3_ProbQ5,2,Q2,62,479284.47000000003,0.0064817682216180795,-0.027701376094208273,0.03664607664009371,0.07092490223436697
2010,Method3_ProbQ5,3,Q3,62,395731.77999999997,0.12086270845156545,0.10556818375942241,0.1623747811702033,0.08340862679751342
2010,Method3_ProbQ5,4,Q4,62,409198.1,0.2376545150088353,0.20475632737205696,0.30661987565438503,0.10919214377880583
2010,Method3_ProbQ5,5,Q5,63,2287633.79,0.6671243588939965,0.5568397630165752,0.6987404135966574,0.07547946574555602
2011,Method1_Raw,1,Q1,65,535274.47,-0.6651320626156536,-0.8716394462080027,0.05903003495243151,0.09069966927407513
2011,Method1_Raw,2,Q2,64,380291.48,0.05819580131910903,0.047302694067855436,0.1651191010871041,0.0769491693646777
2011,Method1_Raw,3,Q3,65,646445.24,0.16369084887467747,0.15757506918597455,0.23418963452338362,0.0682949156966832
2011,Method1_Raw,4,Q4,64,1497818.03,0.2784963967247076,0.2597362741602294,0.352052175572342,0.06064392698465632
2011,Method1_Raw,5,Q5,65,2678959.44,0.7730820381510342,0.6522760404449759,0.681432380577538,0.08228341291551747
2011,Method2_PostMean,1,Q1,65,484586.0,-0.6638267278161329,-0.8719617932709774,0.06670595246420633,0.09509524168223561
2011,Method2_PostMean,2,Q2,64,430979.95,0.056870070663346,0.047630077803689136,0.1573232473642078,0.0724849161376397
2011,Method2_PostMean,3,Q3,65,672739.51,0.1645405318809659,0.15699494468757044,0.2448759526766972,0.07231023088676335
2011,Method2_PostMean,4,Q4,64,1449875.92,0.2900377414896089,0.25462561662871563,0.3444519883201722,0.0729878199455803
2011,Method2_PostMean,5,Q5,65,2700607.28,0.7608685695300735,0.6578881969744088,0.6782293237186685,0.06611411081006602
2011,Method3_ProbQ5,1,Q1,65,930434.7400000001,-0.5863991851152948,-0.7622304100107481,0.018475287202073247,0.05463971807185722
2011,Method3_ProbQ5,2,Q2,64,369966.10000000003,0.03175281922398324,0.0010593168691127254,0.14005158026116243,0.06894365449680502
2011,Method3_ProbQ5,3,Q3,65,611313.14,0.13324417434471783,0.11890676787212047,0.2726246754069033,0.08672444476276024
2011,Method3_ProbQ5,4,Q4,64,1154273.44,0.2586376620523048,0.23133023536195219,0.3784742344924524,0.09192579845180959
2011,Method3_ProbQ5,5,Q5,65,2672801.24,0.7703852178440478,0.655036269004795,0.6822183883978105,0.07699557624621284
2012,Method1_Raw,1,Q1,68,555169.86,-0.5854224991858419,-0.7759566130486666,0.01369756270413426,0.08523798335378507
2012,Method1_Raw,2,Q2,67,678040.76,0.05342148372392234,0.044826260883273995,0.07501611257317482,0.0713601417620475
2012,Method1_Raw,3,Q3,67,390199.69,0.16338115279749116,0.1533968483238081,0.15209669340089108,0.06614581577717335
2012,Method1_Raw,4,Q4,67,509730.08,0.2772685364469602,0.2490381884085471,0.2999860830311134,0.06839589540285453
