Ticker,Year,FormationYear,PROF,PROF_w,sigma_acc,sigma_mean,sigma_raw,MarketCap,theta_obs,theta_post_mean,theta_conservative,theta_post_sd,theta_post_sd_between,theta_conservative_sd_between,p_q5,p_q5_sd_mc,p_median,p_median_sd_mc,p_q1,p_q1_sd_mc,lambda_i,mu_t,var_obs_t,obs_var_i,tau2_t,q5_cutoff_obs,median_cutoff_obs,q1_cutoff_obs,n_sigma_draws_used,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,d_ACT,d_CHE,d_LCT,d_STD,d_TXP,WCA,AT_lag,AvgAT,WCA_scaled,CFO,CFO_lag1,dREV,CFO_lag1_scaled,CFO_scaled,dREV_scaled,PPE_scaled,CFO_lead1,CFO_lead1_scaled,usable,sector_idx,firm_idx_x,FiscalYear,ForecastDate,ForecastCutoffDate,ForecastWindowStart,cfo_forecast,forecast_timing_valid,has_analyst_cfo_forecast,CFO_lead1_analyst_scaled,firm_idx_y,sigma_median,sigma_std,sigma_q05,sigma_q95,n_draws
AAK.ST,2016,2017,0.1813706249321451,0.1813706249321451,0.0282099744921931,0.0282099744921931,0.0282099744921931,24041.77,0.1813706249321451,0.1873051258984663,0.1666944827035725,0.07976331816691583,0.005277392784961613,0.01305110026056235,0.02071612370758724,0.03174083892741038,0.3761821213603422,0.06456716666115885,0.05362093312619782,0.05802032299336751,0.8532385777142704,0.22180700714959173,0.06755014326694087,0.009199602831235769,0.043608002773103394,0.3582684679702547,0.1997095908620521,0.0555225413078564,8000,AAK AB (publ),Food & Tobacco,Consumer Staples,9240.42,555.71,5478.44,205.79,338.55,4897.12,16295.9,1191.11,21659.0,16066.76,4113.42,0.0,175.76999999999998,7133.25,51.21,1382.8199999999997,75.34000000000003,1036.8199999999997,-94.57000000000002,13.069999999999991,189.15999999999983,14543.05,15419.475,0.0122676031447244,1191.11,1659.8,2427.9000000000015,0.1076430942039207,0.0772471176872104,0.1574567227483427,0.317593173567842,1064.21,0.0690172655035272,True,2,3,2016.0,2017-04-21,2017-06-30,2017-02-03,934.076182807641,True,True,0.0605776904082428,3,0.0245804200665642,0.0165547560896729,0.0091403200451055,0.0601526686371827,8000
ABB.ST,2016,2017,-1.3951189381112248,-1.3951189381112248,0.024851611673071,0.024851611673071,0.024851611673071,389616.79,-1.3951189381112248,-1.2049496355999771,-1.4068801015132117,0.1598491083314736,0.14306989345547794,0.008848265059627314,0.0,0.0,0.0,0.0,1.0,0.0,0.882388365980127,0.22180700714959173,0.06755014326694087,0.006371120448921691,0.043608002773103394,0.3582684679702547,0.1997095908620521,0.0555225413078564,8000,Abb Ltd,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,181826.12,14717.45,130841.91,8662.91,0.0,40965.29,338587.67,32266.61,284026.77,404377.95,55826.35,10915.06,2191.41,115692.62,4335.77,-19367.73000000001,-1521.2599999999984,-9215.880000000005,-4190.16,0.0,-12820.750000000007,365578.77,352083.22,-0.0364139762184633,32266.61,30784.13,-2052.8099999999977,0.0874342435291292,0.0916448389673327,-0.005830468148979,0.1163511569793073,31401.58,0.0891879482356472,True,5,4,2016.0,2017-06-27,2017-06-30,2017-02-08,34367.572859375,True,True,0.0976120726780873,4,0.0225807548668352,0.0110737029277331,0.0113808591511579,0.0459151563377632,8000
AFRY.ST,2016,2017,0.2035227729486608,0.2035227729486608,0.0340452303628506,0.0340452303628506,0.0340452303628506,12441.57,0.2035227729486608,0.2070254734405047,0.1843658290299182,0.09096399080560431,0.0021782840890856078,0.011913455412685561,0.04517394233719164,0.04057050426499697,0.519942562353641,0.008550977366645767,0.051182973425040676,0.043750554470805364,0.8084305608125725,0.22180700714959173,0.06755014326694087,0.01166647511896236,0.043608002773103394,0.3582684679702547,0.1997095908620521,0.0555225413078564,8000,Afry AB,Professional & Commercial Services,Industrials,3741.12,312.0,2683.74,0.0,0.0,451.4,9869.15,610.78,10870.25,2890.88,7028.839999999999,0.0,44.18,4435.29,18.02,504.6199999999999,35.389999999999986,5.269999999999982,-305.81,-56.51,101.63999999999992,8703.54,9286.345,0.0109451027287915,610.78,499.85,1452.0400000000009,0.0538263439490994,0.0657718402665418,0.1563629178110441,0.0486090060190527,604.25,0.0650686572596645,True,5,16,2016.0,2017-06-29,2017-06-30,2017-02-03,809.066603626392,True,True,0.0871243318686083,16,0.0317978654231341,0.0143442985495914,0.0145903526834477,0.0601291930617071,8000
AKRBP.OL,2016,2017,0.1084963458102089,0.1084963458102089,0.0328535972024073,0.0328535972024073,0.0328535972024073,52180.38,0.1084963458102089,0.12908880656086644,0.09032289195578291,0.09005501436505763,0.015697775337815207,0.013853749640377635,0.007431629345440251,0.013692469655764733,0.12667886515844362,0.080394851255442,0.23600162627379442,0.08925943083062984,0.818265461455742,0.22180700714959173,0.06755014326694087,0.011851501085503646,0.043608002773103394,0.3582684679702547,0.1997095908620521,0.0555225413078564,8000,Aker BP ASA,Oil & Gas,Energy,10176.89,995.73,7641.49,705.52,800.31,38363.79,79937.13,7520.08,10585.96,7416.35,184.66,0.0,689.84,21153.8,0.0,5868.509999999999,194.85,4151.19,705.52,800.31,3028.2999999999993,45868.03,62902.58,0.0481426993932522,7520.08,5534.91,1243.619999999999,0.0879917803053547,0.1195512171360856,0.0197705722086438,0.6098921538671387,17816.75,0.283243548992744,True,3,22,2016.0,2017-06-26,2017-06-30,2017-02-06,14584.324417225,True,True,0.2318557429158708,22,0.0292174087127342,0.0175987282647339,0.0114669863770483,0.0668699780912968,8000
ALFA.ST,2016,2017,0.2469172721173697,0.2469172721173697,0.0240075589245026,0.0240075589245026,0.0240075589245026,59984.95,0.2469172721173697,0.24410990312268302,0.23573710735889788,0.06948377250701217,0.0022358634538900534,0.008904181045771826,0.051584592821598635,0.05251126405942186,0.7884711996479885,0.08467795467435102,0.008259893050767858,0.01624660038701555,0.8881983524152824,0.22180700714959173,0.06755014326694087,0.006040913057331775,0.043608002773103394,0.3582684679702547,0.1997095908620521,0.0555225413078564,8000,Alfa Laval AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,18924.64,2483.65,14367.02,1022.29,1191.09,5110.48,50619.34,4889.16,34991.02,24137.46,6676.33,807.17,236.65,19117.15,110.95,-1238.4599999999991,520.3000000000002,-1972.9799999999996,-1090.7200000000005,-79.44000000000005,-955.94,54313.51,52466.425,-0.018220033097357,4889.16,5593.22,-3010.340000000004,0.1066057006933481,0.0931864520976986,-0.0573765031636899,0.0974047688593228,4321.73,0.0823713451030825,True,5,25,2016.0,2017-06-30,2017-06-30,2017-01-31,4988.89690507369,True,True,0.0950874183837318,25,0.0217068477709811,0.0112428752347677,0.010294690916587,0.0457455979837278,8000
ALKb.CO,2016,2017,0.2992233948738372,0.2992233948738372,0.0608195569807282,0.0608195569807282,0.0608195569807282,10409.38,0.2992233948738372,0.27017498198595097,0.26170109017608306,0.12826049749125,0.0179264161101109,0.02315584159513969,0.28951694924047744,0.08094692776985568,0.8115510979437176,0.08442616234639358,0.03235599071311297,0.030980300459437688,0.6247769530224522,0.22180700714959173,0.06755014326694087,0.043949700770163795,0.043608002773103394,0.3582684679702547,0.1997095908620521,0.0555225413078564,8000,ALK-Abello A/S,Pharmaceuticals,Health Care,2385.51,357.03,986.73,20.79,204.19,1989.35,5867.8,505.34,3749.52,1257.74,1902.84,480.39,17.47,3515.3,0.0,409.6200000000001,130.62999999999997,-195.46000000000004,-770.34,110.28,-185.6099999999999,5469.72,5668.76,-0.0327426103768725,505.34,219.49,668.27,0.0387192260741326,0.0891447159519894,0.1178864513579689,0.3509321262498324,-485.52,-0.0856483604880079,True,4,29,2016.0,2017-06-23,2017-06-30,2017-02-07,248.740821579637,True,True,0.0438792295986489,29,0.0525318011695363,0.038269050082585,0.0168726315101714,0.135649152873934,8000
ASPO.HE,2016,2017,0.1429244557273632,0.1429244557273632,0.0148353116418835,0.0148353116418835,0.0148353116418835,2300.72,0.1429244557273632,0.1469145212999046,0.1378662197796131,0.046938992290176285,0.004374090332146564,0.005545067005665128,0.0009836802082468232,0.004917259421952762,0.08635504675083557,0.08074182123934547,0.03362454547212591,0.0493893358765023,0.9494176405224981,0.22180700714959173,0.06755014326694087,0.0024936012009798936,0.043608002773103394,0.3582684679702547,0.1997095908620521,0.0555225413078564,8000,Aspo Oyj,Freight & Logistics Services,Industrials,1264.79,205.46,671.55,79.85,4.87,1028.96,2812.44,150.48,4248.44,3109.23,961.19,0.0,29.39,1039.92,0.0,10.960000000000036,-23.870000000000005,-107.54000000000008,-38.43000000000001,-0.3200000000000003,103.62000000000012,2926.13,2869.285,0.0361135265405841,150.48,223.52,260.6599999999994,0.0779009404782027,0.0524451213455617,0.0908449317512897,0.3586119887010179,162.66,0.056690081326881,True,5,51,2016.0,2017-05-10,2017-06-30,2017-02-15,295.978311420189,True,True,0.1031540301574047,51,0.0129028336458298,0.0083241895685746,0.0055520717387756,0.0304542080902181,8000
ASSAb.ST,2016,2017,0.2480525558710924,0.2480525558710924,0.0293954114955855,0.0293954114955855,0.0293954114955855,178413.47,0.2480525558710924,0.24398204677944194,0.23254322461327054,0.08178379028911942,0.0035960839680340426,0.01370169092746504,0.07527103296979891,0.06934842578969223,0.769319907325693,0.09380058261479404,0.01669257478478916,0.02759944831790685,0.8449066874217942,0.22180700714959173,0.06755014326694087,0.010065405227323188,0.043608002773103394,0.3582684679702547,0.1997095908620521,0.0555225413078564,8000,Assa Abloy AB,Homebuilding & Construction Supplies,Consumer Discretionary,24679.99,711.24,20969.22,3725.94,1082.98,7649.14,90357.68,8420.27,70006.59,43519.31,16923.03,2177.98,633.36,44779.6,4.74,263.65999999999985,186.90999999999997,-414.16999999999825,-1061.0399999999995,-115.33999999999992,-685.4600000000013,90189.72,90273.7,-0.0075931306681791,8420.27,8195.73,4896.779999999999,0.0907875715740021,0.0932748962322359,0.0542437055310682,0.0847327626983274,8955.26,0.0992012069960575,True,1,52,2016.0,2017-06-30,2017-06-30,2017-02-02,9824.48682962717,True,True,0.108830000649438,52,0.0251045259763844,0.0175796981546548,0.0103256708426877,0.0629773680513834,8000
ATCOa.ST,2016,2017,0.418593131336046,0.418593131336046,0.0249840643970648,0.0249840643970648,0.0249840643970648,229347.37,0.418593131336046,0.39526668256790926,0.4067394252556156,0.07355994290454937,0.017218507491178058,0.008749858539173762,0.8299902196749132,0.07998138028435736,0.9953641245080852,0.010256495269738255,0.00014331594338327556,0.0007256321387944664,0.8814629391956852,0.22180700714959173,0.06755014326694087,0.006392480200731905,0.043608002773103394,0.3582684679702547,0.1997095908620521,0.0555225413078564,8000,Atlas Copco AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,57848.37,10865.83,31335.29,1426.27,2846.85,9286.88,109902.52,17951.14,99527.14,60132.04,20585.73,3040.14,740.39,50360.45,68.28,2025.7099999999991,1592.2299999999996,927.380000000001,342.03,-2500.0400000000004,-2651.9100000000017,107806.52,108854.52,-0.0243619649418324,17951.14,17316.98,4898.539999999994,0.1590837018067784,0.1649094589733159,0.0450007955572262,0.0853146015434177,20703.24,0.1901918266692095,True,5,53,2016.0,2017-06-29,2017-06-30,2017-01-27,20413.9958202785,True,True,0.1875346638823863,53,0.0229600905334208,0.0109202153812183,0.0111412238276066,0.0457629653607136,8000
ATEA.OL,2016,2017,0.1934375,0.1934375,0.0274463696452669,0.0274463696452669,0.0274463696452669,7889.25,0.1934375,0.19744958133933743,0.1792952686310113,0.07822729843113581,0.003635469810480278,0.01281470908652756,0.02481105159916561,0.03578824503470727,0.45233616096049106,0.03687772157703029,0.04123083708338968,0.04963385597680807,0.8585776863101113,0.22180700714959173,0.06755014326694087,0.0087809164560076,0.043608002773103394,0.3582684679702547,0.1997095908620521,0.0555225413078564,8000,Atea ASA,Software & IT Services,Information Technology,8251.0,880.0,8908.0,98.0,118.0,682.0,13456.0,1404.0,31188.0,24249.0,6261.0,0.0,59.0,3200.0,0.0,-1.0,250.0,118.0,-27.0,-4.0,-400.0,13731.0,13593.5,-0.0294258285209842,1404.0,1287.0,3284.0,0.0946776032662669,0.1032846581086548,0.241586052157281,0.0501710376282782,1238.0,0.0910729392724463,True,6,54,2016.0,2017-06-29,2017-06-30,2017-02-08,1047.16667,True,True,0.0770343671607753,54,0.0243118550293972,0.0165131022268854,0.0076528631849479,0.0589820193985963,8000
