PortfolioStrategy,FactorModel,Method1_ObservedQuality_alpha_annualized,Method2_LatentQuality_alpha_annualized,Method3_ConservativeQuality_alpha_annualized,Method4_ProbabilisticQuality_alpha_annualized,Method1_ObservedQuality_p_value,Method2_LatentQuality_p_value,Method3_ConservativeQuality_p_value,Method4_ProbabilisticQuality_p_value,Method1_ObservedQuality_t_stat,Method2_LatentQuality_t_stat,Method3_ConservativeQuality_t_stat,Method4_ProbabilisticQuality_t_stat,Method2_LatentQuality_minus_Method1_ObservedQuality_alpha_difference_annualized,Method3_ConservativeQuality_minus_Method1_ObservedQuality_alpha_difference_annualized,Method4_ProbabilisticQuality_minus_Method1_ObservedQuality_alpha_difference_annualized,Method2_LatentQuality_minus_Method1_ObservedQuality_p_value,Method3_ConservativeQuality_minus_Method1_ObservedQuality_p_value,Method4_ProbabilisticQuality_minus_Method1_ObservedQuality_p_value,Method2_LatentQuality_minus_Method1_ObservedQuality_t_stat,Method3_ConservativeQuality_minus_Method1_ObservedQuality_t_stat,Method4_ProbabilisticQuality_minus_Method1_ObservedQuality_t_stat
LongShort,CAPM,0.022453438566848193,0.0197313497887628,0.03830969668046853,0.019856320134662212,0.4354107810909822,0.531528718835887,0.23931282925855446,0.4921736197443678,0.7822285335515842,0.6272433263280698,1.1817750010645232,0.6886782444765334,-0.002722088778085388,0.015856258113620347,-0.002597118432185991,0.949064976042882,0.713918156866586,0.9490987809069393,-0.0639387141030646,0.36697323690586797,-0.06389622084690705
LongShort,FF3,0.04387101263969685,0.03929919525336646,0.060122598171475236,0.04075416712814571,0.08499441074846903,0.13569103434853158,0.03643442112869466,0.12016430275997969,1.7349733137097918,1.5008674700187645,2.1127691328001164,1.5638308571622628,-0.004571817386340283,0.016251585531772104,-0.0031168455115600895,0.8998754752706946,0.6683821585233987,0.9314210171206809,-0.1259353260269493,0.42883238716335437,-0.08613624938279874
LongShort,FF3+MOM,0.006143585106983965,0.006923782747749644,0.006622357266453065,0.004345376775027766,0.8283523479992272,0.8244517188817908,0.8233115590117799,0.8810535890776847,0.21723297232022545,0.22225124071332583,0.22371914770492426,0.149915239282067,0.0007801976407655811,0.00047877215946881546,-0.0017982083319564683,0.9852958494201067,0.990684663724466,0.9646351661381305,0.01844691589779974,0.011686045248273791,-0.04437861934522764
LongShort,FF5,0.011621698758143015,0.008401710313081985,0.02667030520645302,0.006813507322675003,0.5591660934936407,0.7093129386284946,0.26503294980861236,0.7407234067902646,0.5855342322045326,0.37356638481288945,1.1192218101403253,0.3315762872801655,-0.0032199884450616577,0.015048606448309501,-0.004808191435468682,0.914897767760241,0.6280964430440543,0.8667883329490891,-0.1069629981604858,0.4849621163072109,-0.16789912302113383
LongShort,FF5+MOM,-0.01181471904232928,-0.009505792920466811,-0.012175676338244169,-0.01484091858436885,0.6602945279154104,0.7623498195221203,0.6742752189435186,0.5892629943450833,-0.4404865240375183,-0.3030130524503953,-0.4212118837589856,-0.5412077879149635,0.002308926121860025,-0.00036095729591720943,-0.003026199542042061,0.9554361302008427,0.9926916877259966,0.9371316275503143,0.05593391423309325,-0.009168288394462603,-0.07894960005494105
Q5,CAPM,0.01837254466562687,0.0174764559350702,0.017601154412395237,0.0163084250862641,0.13923037610437428,0.18024411245266814,0.15962698048256163,0.20953115114298715,1.4871868952420586,1.3467761238260518,1.4139003099055363,1.2606940859729436,-0.0008960887305565352,-0.0007713902532315853,-0.0020641195793627692,0.959814505826925,0.9646414154842358,0.9074519561434253,-0.05043180693949209,-0.04436989009198433,-0.11635910489849094
Q5,FF3,0.02039648060645316,0.01843296903744063,0.018939167303691103,0.0179769276340621,0.059143751664439304,0.13389610133959806,0.10357854285101964,0.11697762672919998,1.9029606013554836,1.507847650790042,1.6386605188305177,1.5775399347882073,-0.001963511569048476,-0.0014573133027979412,-0.0024195529724275328,0.9028129175236215,0.9255571587029745,0.8761103904768381,-0.12222184702908494,-0.09352207825224138,-0.1560476222951996
Q5,FF3+MOM,0.025354622802316457,0.024172621523902364,0.02459566558812455,0.023387442586334708,0.06460490698597221,0.07957490980831028,0.06872271091523219,0.09970507617148372,1.8631016936950435,1.766384530291567,1.834785053756435,1.657590723588695,-0.0011820012784133915,-0.0007589572141918008,-0.0019671802159818425,0.951396742078761,0.9684602081097888,0.9203791909516505,-0.061009128938282475,-0.0395759822857063,-0.1000489172236857
Q5,FF5,0.01637465388303762,0.01368297614781196,0.014175628181087672,0.014014857716770964,0.14762192386013595,0.2760988009652643,0.23035584078848936,0.2453842006216964,1.4563347336533867,1.0935523548067507,1.2048844696313707,1.1667102991958989,-0.002691677735226883,-0.0021990257019512682,-0.002359796166267955,0.8724649952348265,0.8921995402548482,0.8856650025195325,-0.16068076338778994,-0.1356493843116081,-0.1439276040414322
Q5,FF5+MOM,0.02127229700722487,0.01956025347708689,0.020031094927745074,0.019488423051526788,0.11843772364588934,0.15282521866054544,0.13429660384983144,0.17490307974838792,1.5714444474939735,1.4377887407193373,1.506484614042897,1.3638446386175993,-0.0017120435301398174,-0.0012412020794815848,-0.0017838739557003158,0.9292164002040753,0.9480485160285208,0.9280123441571053,-0.08891433255783811,-0.06521867280715006,-0.09043090938739905
