PortfolioStrategy,FactorModel,Comparison,alpha_difference_annualized,alpha_difference_monthly,t_stat,p_value
Q5,CAPM,Method2_LatentQuality minus Method1_ObservedQuality,-0.0008960887305565352,-7.467406087971126e-05,-0.05043180693949209,0.959814505826925
Q5,CAPM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0007713902532315853,-6.42825211026321e-05,-0.04436989009198433,0.9646414154842358
Q5,CAPM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.0020641195793627692,-0.00017200996494689744,-0.11635910489849094,0.9074519561434253
Q5,FF3,Method2_LatentQuality minus Method1_ObservedQuality,-0.001963511569048476,-0.000163625964087373,-0.12222184702908494,0.9028129175236215
Q5,FF3,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0014573133027979412,-0.00012144277523316177,-0.09352207825224138,0.9255571587029745
Q5,FF3,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.0024195529724275328,-0.00020162941436896106,-0.1560476222951996,0.8761103904768381
Q5,FF3+MOM,Method2_LatentQuality minus Method1_ObservedQuality,-0.0011820012784133915,-9.85001065344493e-05,-0.061009128938282475,0.951396742078761
Q5,FF3+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0007589572141918008,-6.32464345159834e-05,-0.0395759822857063,0.9684602081097888
Q5,FF3+MOM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.0019671802159818425,-0.00016393168466515354,-0.1000489172236857,0.9203791909516505
Q5,FF5,Method2_LatentQuality minus Method1_ObservedQuality,-0.002691677735226883,-0.00022430647793557357,-0.16068076338778994,0.8724649952348265
Q5,FF5,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0021990257019512682,-0.00018325214182927235,-0.1356493843116081,0.8921995402548482
Q5,FF5,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.002359796166267955,-0.0001966496805223296,-0.1439276040414322,0.8856650025195325
Q5,FF5+MOM,Method2_LatentQuality minus Method1_ObservedQuality,-0.0017120435301398174,-0.0001426702941783181,-0.08891433255783811,0.9292164002040753
Q5,FF5+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0012412020794815848,-0.0001034335066234654,-0.06521867280715006,0.9480485160285208
Q5,FF5+MOM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.0017838739557003158,-0.00014865616297502632,-0.09043090938739905,0.9280123441571053
