PortfolioStrategy,FactorModel,Method,alpha_annualized,alpha_monthly,t_stat,p_value,r_squared,n_obs
LongShort,CAPM,Method1_ObservedQuality,0.022453438566848193,0.0018711198805706829,0.7822285335515842,0.4354107810909822,0.0008972095954191683,141
LongShort,FF3,Method1_ObservedQuality,0.04387101263969685,0.0036559177199747377,1.7349733137097918,0.08499441074846903,0.2850570514474132,141
LongShort,FF3+MOM,Method1_ObservedQuality,0.006143585106983965,0.0005119654255819971,0.21723297232022545,0.8283523479992272,0.31044800715126675,141
LongShort,FF5,Method1_ObservedQuality,0.011621698758143015,0.000968474896511918,0.5855342322045326,0.5591660934936407,0.43619439021805373,141
LongShort,FF5+MOM,Method1_ObservedQuality,-0.01181471904232928,-0.0009845599201941068,-0.4404865240375183,0.6602945279154104,0.44676540641526996,141
LongShort,CAPM,Method2_LatentQuality,0.0197313497887628,0.0016442791490635666,0.6272433263280698,0.531528718835887,0.004258025106716912,141
LongShort,FF3,Method2_LatentQuality,0.03929919525336646,0.0032749329377805385,1.5008674700187645,0.13569103434853158,0.25089004341487164,141
LongShort,FF3+MOM,Method2_LatentQuality,0.006923782747749644,0.0005769818956458037,0.22225124071332583,0.8244517188817908,0.26988197010435055,141
LongShort,FF5,Method2_LatentQuality,0.008401710313081985,0.0007001425260901654,0.37356638481288945,0.7093129386284946,0.40929667871510245,141
LongShort,FF5+MOM,Method2_LatentQuality,-0.009505792920466811,-0.000792149410038901,-0.3030130524503953,0.7623498195221203,0.4155653874993266,141
LongShort,CAPM,Method3_ConservativeQuality,0.040960308665877916,0.003413359055489826,1.2468576761257302,0.21454663359348136,0.00029088769584439955,141
LongShort,FF3,Method3_ConservativeQuality,0.061475321733793595,0.005122943477816133,1.8828228531206557,0.06184474864539968,0.2450702105425635,141
LongShort,FF3+MOM,Method3_ConservativeQuality,0.011810075437568911,0.0009841729531307427,0.35711285029259415,0.7215608486992684,0.2870737215154988,141
LongShort,FF5,Method3_ConservativeQuality,0.024412191968798732,0.0020343493307332277,0.9502895181132747,0.34366332861092186,0.42157919613000727,141
LongShort,FF5+MOM,Method3_ConservativeQuality,-0.009420268598195674,-0.0007850223831829729,-0.32699640951315423,0.7441808403404513,0.44260812681825557,141
LongShort,CAPM,Method4_ProbabilisticQuality,0.019856320134662212,0.0016546933445551843,0.6886782444765334,0.4921736197443678,0.0006618923971316582,141
LongShort,FF3,Method4_ProbabilisticQuality,0.04075416712814571,0.003396180594012143,1.5638308571622628,0.12016430275997969,0.2725000716247661,141
LongShort,FF3+MOM,Method4_ProbabilisticQuality,0.004345376775027766,0.0003621147312523138,0.149915239282067,0.8810535890776847,0.29619327679720153,141
LongShort,FF5,Method4_ProbabilisticQuality,0.006813507322675003,0.0005677922768895835,0.3315762872801655,0.7407234067902646,0.43644636343863663,141
LongShort,FF5+MOM,Method4_ProbabilisticQuality,-0.01484091858436885,-0.0012367432153640708,-0.5412077879149635,0.5892629943450833,0.44548856696611683,141
