PortfolioStrategy,FactorModel,Method,MethodLabel,alpha_annualized,alpha_monthly
LongShort,CAPM,Method1_ObservedQuality,Observed Quality,0.022453438566848203,0.0018711198805706835
LongShort,CAPM,Method2_LatentQuality,Latent Quality,0.011133812691534944,0.0009278177242945786
LongShort,CAPM,Method3_ConservativeQuality,Conservative Quality,0.024878665121930967,0.002073222093494247
LongShort,CAPM,Method4_ProbabilisticQuality,Probabilistic Quality,0.01985632013466222,0.001654693344555185
LongShort,FF3,Method1_ObservedQuality,Observed Quality,0.04387101263969685,0.0036559177199747377
LongShort,FF3,Method2_LatentQuality,Latent Quality,0.030693094651917996,0.002557757887659833
LongShort,FF3,Method3_ConservativeQuality,Conservative Quality,0.04705985831073487,0.003921654859227906
LongShort,FF3,Method4_ProbabilisticQuality,Probabilistic Quality,0.04075416712814572,0.0033961805940121432
LongShort,FF3+MOM,Method1_ObservedQuality,Observed Quality,0.006143585106983972,0.0005119654255819977
LongShort,FF3+MOM,Method2_LatentQuality,Latent Quality,-0.0009508353075581346,-7.923627562984455e-05
LongShort,FF3+MOM,Method3_ConservativeQuality,Conservative Quality,-0.003612510733078547,-0.0003010425610898789
LongShort,FF3+MOM,Method4_ProbabilisticQuality,Probabilistic Quality,0.004345376775027833,0.0003621147312523194
LongShort,FF5,Method1_ObservedQuality,Observed Quality,0.011621698758143001,0.0009684748965119168
LongShort,FF5,Method2_LatentQuality,Latent Quality,-0.002324831448717797,-0.00019373595405981642
LongShort,FF5,Method3_ConservativeQuality,Conservative Quality,0.016688715145167447,0.0013907262620972871
LongShort,FF5,Method4_ProbabilisticQuality,Probabilistic Quality,0.006813507322674988,0.0005677922768895823
LongShort,FF5+MOM,Method1_ObservedQuality,Observed Quality,-0.011814719042329294,-0.0009845599201941078
LongShort,FF5+MOM,Method2_LatentQuality,Latent Quality,-0.01912490587549013,-0.001593742156290844
LongShort,FF5+MOM,Method3_ConservativeQuality,Conservative Quality,-0.020268815831675537,-0.0016890679859729615
LongShort,FF5+MOM,Method4_ProbabilisticQuality,Probabilistic Quality,-0.01484091858436881,-0.0012367432153640675
Q5,CAPM,Method1_ObservedQuality,Observed Quality,0.01837254466562693,0.001531045388802244
Q5,CAPM,Method2_LatentQuality,Latent Quality,0.01626578093767274,0.0013554817448060614
Q5,CAPM,Method3_ConservativeQuality,Conservative Quality,0.017723754956135974,0.0014769795796779979
Q5,CAPM,Method4_ProbabilisticQuality,Probabilistic Quality,0.016308425086264115,0.001359035423855343
Q5,FF3,Method1_ObservedQuality,Observed Quality,0.02039648060645323,0.0016997067172044359
Q5,FF3,Method2_LatentQuality,Latent Quality,0.01760344950041723,0.001466954125034769
Q5,FF3,Method3_ConservativeQuality,Conservative Quality,0.01921706835876429,0.0016014223632303574
Q5,FF3,Method4_ProbabilisticQuality,Probabilistic Quality,0.017976927634062112,0.0014980773028385095
Q5,FF3+MOM,Method1_ObservedQuality,Observed Quality,0.025354622802316516,0.0021128852335263763
Q5,FF3+MOM,Method2_LatentQuality,Latent Quality,0.024177386398885066,0.002014782199907089
Q5,FF3+MOM,Method3_ConservativeQuality,Conservative Quality,0.024429362697115882,0.0020357802247596567
Q5,FF3+MOM,Method4_ProbabilisticQuality,Probabilistic Quality,0.023387442586334718,0.0019489535488612267
Q5,FF5,Method1_ObservedQuality,Observed Quality,0.01637465388303768,0.00136455449025314
Q5,FF5,Method2_LatentQuality,Latent Quality,0.012203482384911438,0.0010169568654092864
Q5,FF5,Method3_ConservativeQuality,Conservative Quality,0.014012452326550597,0.0011677043605458832
Q5,FF5,Method4_ProbabilisticQuality,Probabilistic Quality,0.014014857716770976,0.0011679048097309147
Q5,FF5+MOM,Method1_ObservedQuality,Observed Quality,0.021272297007224897,0.0017726914172687413
Q5,FF5+MOM,Method2_LatentQuality,Latent Quality,0.01893037044829409,0.0015775308706911743
Q5,FF5+MOM,Method3_ConservativeQuality,Conservative Quality,0.01942011098326809,0.0016183425819390074
Q5,FF5+MOM,Method4_ProbabilisticQuality,Probabilistic Quality,0.019488423051526815,0.0016240352542939013
