PortfolioStrategy,FactorModel,Comparison,alpha_difference_annualized,alpha_difference_monthly,t_stat,p_value
LongShort,CAPM,Method2_LatentQuality minus Method1_ObservedQuality,-0.011319625875313263,-0.0009433021562761053,-0.2655886134282462,0.7907529001805305
LongShort,CAPM,Method3_ConservativeQuality minus Method1_ObservedQuality,0.002425226555082761,0.00020210221292356342,0.056340370065762736,0.9551111303704811
LongShort,CAPM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.002597118432185991,-0.00021642653601549922,-0.06389622084690705,0.9490987809069393
LongShort,FF3,Method2_LatentQuality minus Method1_ObservedQuality,-0.01317791798778855,-0.0010981598323157125,-0.35712438290221915,0.7212735856260304
LongShort,FF3,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0031888456710312853,0.0002657371392526071,0.08438063334392683,0.9328154226912533
LongShort,FF3,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.0031168455115600895,-0.0002597371259633408,-0.08613624938279874,0.9314210171206809
LongShort,FF3+MOM,Method2_LatentQuality minus Method1_ObservedQuality,-0.007094420414541961,-0.0005912017012118301,-0.1639828078359451,0.8698664619063976
LongShort,FF3+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.009756095840062838,-0.0008130079866719032,-0.23860809413293485,0.8115891567310196
LongShort,FF3+MOM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.0017982083319564683,-0.0001498506943297057,-0.04437861934522764,0.9646351661381305
LongShort,FF5,Method2_LatentQuality minus Method1_ObservedQuality,-0.013946530206861475,-0.0011622108505717895,-0.45616406639960005,0.6486387018763087
LongShort,FF5,Method3_ConservativeQuality minus Method1_ObservedQuality,0.005067016387023919,0.00042225136558532656,0.1613052539437788,0.8719736179828299
LongShort,FF5,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.004808191435468682,-0.00040068261962239015,-0.16789912302113383,0.8667883329490891
LongShort,FF5+MOM,Method2_LatentQuality minus Method1_ObservedQuality,-0.007310186833163274,-0.0006091822360969395,-0.17560257368656093,0.8607387858541355
LongShort,FF5+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.008454096789348726,-0.0007045080657790605,-0.21255245490761035,0.8318376370492142
LongShort,FF5+MOM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.003026199542042061,-0.00025218329517017173,-0.07894960005494105,0.9371316275503143
