PortfolioStrategy,FactorModel,Method1_Raw_alpha_annualized,Method2_PostMean_alpha_annualized,Method3_ProbQ5_alpha_annualized,Method1_Raw_p_value,Method2_PostMean_p_value,Method3_ProbQ5_p_value,Method1_Raw_t_stat,Method2_PostMean_t_stat,Method3_ProbQ5_t_stat,Method2_PostMean_minus_Method1_Raw_alpha_difference_annualized,Method3_ProbQ5_minus_Method1_Raw_alpha_difference_annualized,Method2_PostMean_minus_Method1_Raw_p_value,Method3_ProbQ5_minus_Method1_Raw_p_value,Method2_PostMean_minus_Method1_Raw_t_stat,Method3_ProbQ5_minus_Method1_Raw_t_stat
LongShort,CAPM,0.11113918902494307,0.08300768432067727,0.02647952850343436,0.00667389093317361,0.039249686212028845,0.22905859903867665,2.742836828722092,2.075897141117418,1.2066723210454862,-0.028131504704265807,-0.08465966052150867,0.6226545491257887,0.06752065426493759,-0.4924940529148995,-1.8334301488936886
LongShort,FF3,0.10193086606734608,0.07413467516813152,0.02009424047719729,0.0018598762790069667,0.020034283261308294,0.26148132239230115,3.156526906137635,2.3456886246368476,1.126283132257045,-0.02779619089920683,-0.08183662559014386,0.5399952956877412,0.026991240529718796,-0.6133810245286968,-2.2203406059882216
LongShort,FF3+MOM,0.056907644001038565,0.04156889089500756,-0.004212841683124626,0.10887956583039138,0.2311036354303695,0.8501448118590322,1.6109393004099877,1.2014305594388461,-0.18919546153076894,-0.015338753106051905,-0.061120485684174594,0.7570664698129044,0.14268240030931545,-0.3095619812474384,-1.4689667851184693
LongShort,FF5,0.08721238739727898,0.05963978717970557,0.009165842781902297,0.003863422977734121,0.028510063690387666,0.6470600839037592,2.925824722344781,2.2073898218890022,0.4585954733319845,-0.027572600217566905,-0.07804654461537704,0.49240220307080684,0.02905593371047477,-0.6871724952072928,-2.1912141414448714
LongShort,FF5+MOM,0.058882586394466835,0.04391276278719038,-0.006744444285631308,0.06620681779167881,0.14733007893715633,0.7751150323071163,1.8479447192890306,1.4551224283203172,-0.2861086495712821,-0.014969823607272822,-0.0656270306800747,0.7322215391995011,0.09547307653615245,-0.34243028349846794,-1.6714764913384341
Q5,CAPM,0.03824153384034263,0.031505667718264185,0.03624473163135832,0.033767820392849535,0.046512320046425915,0.03574549620011047,2.138322665868024,2.0037975667171883,2.114859853622412,-0.006735866122078528,-0.0019968022089843357,0.7775727247965074,0.9358260902842284,-0.2826843557246392,-0.08057031523266096
Q5,FF3,0.034051095083255045,0.02752892362921791,0.03220860733300039,0.03351080546096452,0.05909021760112765,0.04130233079302359,2.14162480683528,1.8990429767699302,2.0545874469532546,-0.006522171454053753,-0.0018424877502709533,0.761575724538762,0.9341768171198583,-0.30363264187720235,-0.08264623300518247
Q5,FF3+MOM,0.01716608953251842,0.013626059477348795,0.01711752244153718,0.353994066791842,0.4109624867736619,0.34165116529836936,0.9291792401208064,0.8240472597791202,0.9533347250183245,-0.003540030055159009,-4.856709097141726e-05,0.8863973401836469,0.9984949285921827,-0.14296179917722243,-0.0018875897309671339
Q5,FF5,0.028923592307445574,0.02208002577842853,0.02685885202726637,0.08516087326897814,0.15307066779959677,0.10958033451748794,1.7307160133137969,1.4346339064877562,1.6077762430512033,-0.006843566529039509,-0.0020647402802009968,0.7630895624355842,0.9303276128037168,-0.30164722011313166,-0.08749188444762002
Q5,FF5+MOM,0.013273869685798079,0.00919318854121748,0.012733147958869116,0.4671491892774853,0.5718363119121026,0.4743870303245097,0.7286302795074272,0.5663587909791367,0.7168234611561027,-0.004080681144579053,-0.0005407217269279702,0.8670974055971075,0.9830356604290929,-0.16746279845589773,-0.02127762718757355
