PortfolioStrategy,FactorModel,Comparison,alpha_difference_annualized,alpha_difference_monthly,t_stat,p_value
LongShort,CAPM,Method2_PostMean minus Method1_Raw,-0.02898230631085657,-0.0024151921925713807,-0.48237462311549717,0.6298175807436155
LongShort,CAPM,Method3_ProbQ5 minus Method1_Raw,-0.08105400377052313,-0.00675450031421026,-1.6989074289749304,0.09015510311917918
LongShort,FF3,Method2_PostMean minus Method1_Raw,-0.028371130509227613,-0.0023642608757689677,-0.58579168531996,0.5583669521719758
LongShort,FF3,Method3_ProbQ5 minus Method1_Raw,-0.07874268635515295,-0.00656189052959608,-2.0358783656938746,0.04246309892043665
LongShort,FF3+MOM,Method2_PostMean minus Method1_Raw,-0.018253740003583777,-0.001521145000298648,-0.3625814676160407,0.7171223638960791
LongShort,FF3+MOM,Method3_ProbQ5 minus Method1_Raw,-0.058921330251520805,-0.0049101108542934,-1.4123950326441748,0.15866522672743
LongShort,FF5,Method2_PostMean minus Method1_Raw,-0.027609610668202857,-0.0023008008890169048,-0.6416213602814397,0.5215141981862086
LongShort,FF5,Method3_ProbQ5 minus Method1_Raw,-0.07356338303699844,-0.0061302819197498705,-2.006432285199443,0.04553349259143902
LongShort,FF5+MOM,Method2_PostMean minus Method1_Raw,-0.017610536117379325,-0.001467544676448277,-0.39140322723264404,0.6957245134450358
LongShort,FF5+MOM,Method3_ProbQ5 minus Method1_Raw,-0.0628290929137526,-0.005235757742812717,-1.6088111796569098,0.10851050781035698
