PortfolioStrategy,FactorModel,Method1_Raw_alpha_annualized,Method2_PostMean_alpha_annualized,Method3_ProbQ5_alpha_annualized,Method1_Raw_p_value,Method2_PostMean_p_value,Method3_ProbQ5_p_value,Method1_Raw_t_stat,Method2_PostMean_t_stat,Method3_ProbQ5_t_stat,Method2_PostMean_minus_Method1_Raw_alpha_difference_annualized,Method3_ProbQ5_minus_Method1_Raw_alpha_difference_annualized,Method2_PostMean_minus_Method1_Raw_p_value,Method3_ProbQ5_minus_Method1_Raw_p_value,Method2_PostMean_minus_Method1_Raw_t_stat,Method3_ProbQ5_minus_Method1_Raw_t_stat
LongShort,CAPM,0.1162389781170754,0.1124451171255347,0.09675004728411271,0.0005187692462342852,0.00044113525805533627,0.0009395510458889422,3.5313913701391138,3.576881672306535,3.3607626949330327,-0.003793860991540695,-0.019488930832962686,0.9338715392202246,0.6579381807244564,-0.08302983085885349,-0.44311019702689053
LongShort,FF3,0.10851018992063285,0.10560924385358306,0.08923115213656482,0.00017347443379223115,0.0001253780121308612,0.00016449020599251796,3.8315678415943317,3.917002973061916,3.845657908849184,-0.002900946067047626,-0.01927903778406703,0.941252542648706,0.6011766033807189,-0.07374495463737096,-0.5231520478187451
LongShort,FF3+MOM,0.07676264783438017,0.07721546174223907,0.06141138452541675,0.017349186918089732,0.012775299445815458,0.016787235479670315,2.4005900468356556,2.514159875541722,2.4129986208015666,0.00045281390784552775,-0.015351263308974785,0.9918896995314919,0.7085761883604924,0.010171726987754169,-0.3740538935325528
LongShort,FF5,0.10101698196430223,0.09874444699186513,0.08576534225888365,7.248742470000735e-05,5.6031762082575653e-05,0.00016215574892508577,4.059087450689595,4.124191343892371,3.850290092020323,-0.002272534972436786,-0.015251639705421744,0.9478243070148469,0.6499523383898427,-0.06548338995741672,-0.45419643408579585
LongShort,FF5+MOM,0.08691366405437954,0.08769157969167297,0.06989468662781767,0.0009621277626468139,0.0004025158877094537,0.00181213679549308,3.3552424654879474,3.6041555037515334,3.1652506041655424,0.0007779156372950853,-0.01701897742655295,0.9825983769043314,0.6186702897235903,0.021826178975519132,-0.49815567446122716
Q5,CAPM,0.07377732826525146,0.06907388329896863,0.07566221573006097,0.007062914796607922,0.005514879822020369,0.00407826648934595,2.7234298255280533,2.8074318862993213,2.9073914684654603,-0.004703444966282784,0.0018848874648095051,0.8977868896325849,0.959982036049589,-0.1285434867722742,0.05020923097193461
Q5,FF3,0.07270937574340935,0.06778954018990845,0.07456722601485645,5.5718752312916564e-05,0.00010018692292845799,2.295576841815361e-05,4.1245640046802965,3.97521357317463,4.34298418579061,-0.004919835553521615,0.0018578502714264172,0.8412323273563884,0.9398707061334279,-0.2004560235132808,0.07548282562272869
Q5,FF3+MOM,0.06631555251736988,0.061667764354785715,0.06750109670223406,4.4597270096202735e-05,0.00013736210588977116,1.82323891857461e-05,4.180729939283337,3.8935626218280106,4.399032196774033,-0.004647788162565093,0.001185544184883279,0.835823607081017,0.9571378464544749,-0.2073830273296666,0.05378164876230169
Q5,FF5,0.07087326716466577,0.06596828690232168,0.07284223367562759,2.1554129227885355e-05,6.696215280310724e-05,7.075070284967566e-06,4.359404850101209,4.079215751452677,4.6224871629731465,-0.004904980262371815,0.0019689665109340476,0.8307914613016831,0.9307353351157974,-0.21383682440554375,0.08697858216155115
Q5,FF5+MOM,0.06786325050843779,0.06303304156426734,0.06930624136044311,3.0868148366280934e-06,1.2345185824713667e-05,6.375532402014272e-07,4.8123865275033895,4.493082963006701,5.158441814122008,-0.004830208944170487,0.0014429908520051868,0.8078445116821982,0.9407396535737025,-0.2433818105255193,0.07439077135536394
