Exchange,PortfolioStrategy,FactorModel,Comparison,alpha_difference_annualized,alpha_difference_monthly,t_stat,p_value
Copenhagen,LongShort,CAPM,Method2_PostMean minus Method1_Raw,-0.0416616369325338,-0.0034718030777111503,-0.39842597938058394,0.6905723167390456
Copenhagen,LongShort,CAPM,Method3_ProbQ5 minus Method1_Raw,-0.0809444926637067,-0.0067453743886422245,-0.912223221371357,0.3622685384284188
Copenhagen,LongShort,FF3,Method2_PostMean minus Method1_Raw,-0.042497012923652835,-0.0035414177436377363,-0.43433482179208965,0.6643308991307246
Copenhagen,LongShort,FF3,Method3_ProbQ5 minus Method1_Raw,-0.07600658702037337,-0.0063338822516977806,-0.9030781801278028,0.36710197913656617
Copenhagen,LongShort,FF3+MOM,Method2_PostMean minus Method1_Raw,-0.03539013041700799,-0.0029491775347506655,-0.3781078115997318,0.7055965871338481
Copenhagen,LongShort,FF3+MOM,Method3_ProbQ5 minus Method1_Raw,-0.07575653221277606,-0.0063130443510646716,-0.9557333877460497,0.3398665969873236
Copenhagen,LongShort,FF5,Method2_PostMean minus Method1_Raw,-0.04395038750209259,-0.003662532291841049,-0.4740059312451953,0.6358149415689458
Copenhagen,LongShort,FF5,Method3_ProbQ5 minus Method1_Raw,-0.0709708771313138,-0.0059142397609428165,-0.9058980450909311,0.36561659794182866
Copenhagen,LongShort,FF5+MOM,Method2_PostMean minus Method1_Raw,-0.036630326830928844,-0.0030525272359107373,-0.4162860204084702,0.6774780512411018
Copenhagen,LongShort,FF5+MOM,Method3_ProbQ5 minus Method1_Raw,-0.07270800344672525,-0.006059000287227104,-0.9810520057220631,0.32725257084012105
Helsinki,LongShort,CAPM,Method2_PostMean minus Method1_Raw,0.004227988085757941,0.0003523323404798284,0.08248355789737692,0.9343056224136113
Helsinki,LongShort,CAPM,Method3_ProbQ5 minus Method1_Raw,-0.0005054180792874617,-4.211817327395514e-05,-0.010081333771336586,0.991962042672105
Helsinki,LongShort,FF3,Method2_PostMean minus Method1_Raw,0.00489020410114741,0.0004075170084289508,0.11335713561683523,0.9098079206341045
Helsinki,LongShort,FF3,Method3_ProbQ5 minus Method1_Raw,-0.0013752534630083859,-0.00011460445525069882,-0.030532309412676366,0.975659830117632
Helsinki,LongShort,FF3+MOM,Method2_PostMean minus Method1_Raw,-0.003144450403970449,-0.0002620375336642041,-0.06715596071852743,0.9464934299261261
Helsinki,LongShort,FF3+MOM,Method3_ProbQ5 minus Method1_Raw,0.007261287477255355,0.0006051072897712796,0.1520770675044715,0.8792137757259637
Helsinki,LongShort,FF5,Method2_PostMean minus Method1_Raw,0.003966459370369109,0.0003305382808640924,0.09409893160622712,0.9250812308380743
Helsinki,LongShort,FF5,Method3_ProbQ5 minus Method1_Raw,-0.005016941807142372,-0.000418078483928531,-0.11300554713406011,0.910091317332127
Helsinki,LongShort,FF5+MOM,Method2_PostMean minus Method1_Raw,-0.004183695097747784,-0.0003486412581456487,-0.09412910378409708,0.9250575535320387
Helsinki,LongShort,FF5+MOM,Method3_ProbQ5 minus Method1_Raw,0.0008060277078769048,6.716897565640874e-05,0.017792510266205982,0.9858146351522752
Oslo,LongShort,CAPM,Method2_PostMean minus Method1_Raw,-0.008188629116448885,-0.0006823857597040737,-0.13151099977922082,0.8954507435697825
Oslo,LongShort,CAPM,Method3_ProbQ5 minus Method1_Raw,-0.0025802233805278995,-0.00021501861504399163,-0.03908068157436353,0.968849552418364
Oslo,LongShort,FF3,Method2_PostMean minus Method1_Raw,-0.0073384247744314995,-0.0006115353978692916,-0.12427990730120556,0.9011697831604233
Oslo,LongShort,FF3,Method3_ProbQ5 minus Method1_Raw,-0.006388439660096625,-0.0005323699716747188,-0.10532975917927655,0.916178533086861
Oslo,LongShort,FF3+MOM,Method2_PostMean minus Method1_Raw,-0.01156179115619263,-0.0009634825963493858,-0.16086272832393964,0.8723011561465384
Oslo,LongShort,FF3+MOM,Method3_ProbQ5 minus Method1_Raw,-0.03478053686327565,-0.002898378071939638,-0.47428785318690503,0.6356121739622678
Oslo,LongShort,FF5,Method2_PostMean minus Method1_Raw,-0.0071265609369054565,-0.0005938800780754547,-0.11430563147098802,0.9090663185170584
