PortfolioStrategy,FactorModel,Method1_Raw_alpha_annualized,Method2_PostMean_alpha_annualized,Method3_ProbQ5_alpha_annualized,Method1_Raw_p_value,Method2_PostMean_p_value,Method3_ProbQ5_p_value,Method1_Raw_t_stat,Method2_PostMean_t_stat,Method3_ProbQ5_t_stat,Method2_PostMean_minus_Method1_Raw_alpha_difference_annualized,Method3_ProbQ5_minus_Method1_Raw_alpha_difference_annualized,Method2_PostMean_minus_Method1_Raw_p_value,Method3_ProbQ5_minus_Method1_Raw_p_value,Method2_PostMean_minus_Method1_Raw_t_stat,Method3_ProbQ5_minus_Method1_Raw_t_stat
LongShort,CAPM,0.04876268945879844,0.06878895126784743,0.04638725526959831,0.12089040670952023,0.026996195732564843,0.019818818274890848,1.5580293092681574,2.228844490202516,2.3496250198084456,0.020026261809048995,-0.002375434189200108,0.6478727032888858,0.9491757623319448,0.45708282347040474,-0.06378399332309484
LongShort,FF3,0.04521868329128052,0.06531929582463714,0.047020743759565886,0.1513480440432864,0.031131838527833633,0.025647306786462876,1.4406460935404097,2.171683454165223,2.249391801204505,0.020100612533361355,0.0018020604682886581,0.6434727010223131,0.9621102671430626,0.46322276719267313,0.0475372681448629
LongShort,FF3+MOM,0.04057473684498544,0.04230285833097224,0.034227265511297414,0.18927804434074869,0.166919528027496,0.08676754496916428,1.3175148288734968,1.3875692172767444,1.721754908627507,0.0017281214859745332,-0.006347471333692219,0.9680283483918526,0.8635519067611792,0.040108096493083195,-0.17197282747154038
LongShort,FF5,0.03436181665948784,0.05603862532095272,0.04471220590790429,0.30246936681278913,0.07807178976844731,0.035632337065348185,1.0340199738566305,1.771759723136799,2.1164983065940666,0.021676808661471522,0.010350389248420577,0.6367814766013349,0.7939318139291505,0.47259193396992616,0.26139598408542497
LongShort,FF5+MOM,0.03784080454788904,0.039203683724954974,0.03248370980091174,0.23711755310673532,0.2150166524857815,0.10628017264813838,1.1860653276851367,1.2441547173724623,1.6230562083898907,0.001362879177062135,-0.005357094746965151,0.9756499885796996,0.8878079871498847,0.03054360215817773,-0.14117568150320448
Q4,CAPM,0.025466754330932026,0.028074449567100777,0.027716498805097318,0.28418231725261744,0.29749975030047127,0.2995309641392805,1.0740054484241697,1.0446765904831046,1.0402817744066555,0.0026076952361687236,0.002249744474165219,0.9425041117334998,0.9502049246665571,0.07217059999108587,0.06249069872172666
Q4,FF3,0.025841494232505615,0.029037530708600004,0.029209389886822257,0.25738452168891524,0.23208618340699383,0.24807863639502425,1.1360433592557069,1.1988732679318606,1.158625160752656,0.003196036476076851,0.0033678956542979033,0.9242108811205678,0.9218421149876952,0.095194713062909,0.09817945229552481
Q4,FF3+MOM,0.022870807743165966,0.01575653989666162,0.021611923445316483,0.2847951347250186,0.47844555167560054,0.34480970043608883,1.0726842734821787,0.7102311833414441,0.9471007411415325,-0.0071142678464885395,-0.0012588842978302345,0.8182831781614521,0.9681306825644667,-0.22991543362556102,-0.03997965065011794
Q4,FF5,0.023880874175111283,0.027506163736412743,0.02958669350241557,0.2985587441400803,0.2562922393418283,0.2400912147840808,1.0424443409910182,1.1387013073732724,1.1785291537409033,0.0036252895612797417,0.0057058193272795515,0.914247991892005,0.8679866146057185,0.10775517693784561,0.16633128336183392
Q4,FF5+MOM,0.019982631375210693,0.014081765551618716,0.02075083355494538,0.3586982314410063,0.5213103396953187,0.3565709183747252,0.9201392662146423,0.6425520113297545,0.9242292182020269,-0.005900865823594087,0.0007682021797373248,0.8493827777311345,0.98055075165335,-0.19003901066629347,0.024394919680729578
