SizeGroup,PortfolioStrategy,FactorModel,Comparison,alpha_difference_annualized,alpha_difference_monthly,t_stat,p_value
SmallCap,LongShort,CAPM,Method2_PostMean minus Method1_Raw,-0.0038774283757220807,-0.0003231190313101734,-0.07200301180082065,0.9426373921629363
SmallCap,LongShort,CAPM,Method3_ProbQ5 minus Method1_Raw,-0.03438499367101971,-0.0028654161392516423,-0.590836495265706,0.5549812219193555
SmallCap,LongShort,FF3,Method2_PostMean minus Method1_Raw,-0.0028909105821441307,-0.00024090921517867754,-0.057909186123016085,0.9538517283372483
SmallCap,LongShort,FF3,Method3_ProbQ5 minus Method1_Raw,-0.038232011591947515,-0.003186000965995626,-0.7430952519317223,0.45788804359415036
SmallCap,LongShort,FF3+MOM,Method2_PostMean minus Method1_Raw,-0.001094108162987325,-9.117568024894374e-05,-0.019755857338094315,0.9842486669588504
SmallCap,LongShort,FF3+MOM,Method3_ProbQ5 minus Method1_Raw,-0.054418711169679515,-0.004534892597473293,-1.027248444664119,0.3049674007291532
SmallCap,LongShort,FF5,Method2_PostMean minus Method1_Raw,-2.1874946214152022e-05,-1.8229121845126685e-06,-0.0005898210330913708,0.9995297070943245
SmallCap,LongShort,FF5,Method3_ProbQ5 minus Method1_Raw,-0.030125896310700596,-0.0025104913592250496,-0.729797082486473,0.4659735180795095
SmallCap,LongShort,FF5+MOM,Method2_PostMean minus Method1_Raw,9.225422075427592e-05,7.687851729522993e-06,0.0021952956825975647,0.9982495919855054
SmallCap,LongShort,FF5+MOM,Method3_ProbQ5 minus Method1_Raw,-0.05453819690293246,-0.004544849741911039,-1.3053344420371626,0.1925901125114189
LargeCap,LongShort,CAPM,Method2_PostMean minus Method1_Raw,-0.03306039742556159,-0.0027550331187967993,-0.5093450553770713,0.6108060263773907
LargeCap,LongShort,CAPM,Method3_ProbQ5 minus Method1_Raw,-0.04707951488423735,-0.00392329290701978,-0.9155024991741687,0.3605084772831133
LargeCap,LongShort,FF3,Method2_PostMean minus Method1_Raw,-0.032883272534474886,-0.002740272711206241,-0.5865763438822346,0.557840264198441
LargeCap,LongShort,FF3,Method3_ProbQ5 minus Method1_Raw,-0.044135863458850885,-0.003677988621570907,-1.0044536878360226,0.31580595089480745
LargeCap,LongShort,FF3+MOM,Method2_PostMean minus Method1_Raw,-0.02010101237993821,-0.0016750843649948508,-0.33916372446147397,0.7346767511730143
LargeCap,LongShort,FF3+MOM,Method3_ProbQ5 minus Method1_Raw,-0.0224151168906402,-0.00186792640755335,-0.4661557106333408,0.6413754276751584
LargeCap,LongShort,FF5,Method2_PostMean minus Method1_Raw,-0.03209556917577022,-0.002674630764647519,-0.6359099675765865,0.5252261268690575
LargeCap,LongShort,FF5,Method3_ProbQ5 minus Method1_Raw,-0.04169797756261702,-0.0034748314635514184,-0.9918388530885857,0.3219208388936383
LargeCap,LongShort,FF5+MOM,Method2_PostMean minus Method1_Raw,-0.018794404167578244,-0.001566200347298187,-0.34992785880406363,0.7265919392014504
LargeCap,LongShort,FF5+MOM,Method3_ProbQ5 minus Method1_Raw,-0.028618426426428336,-0.002384868868869028,-0.6366028516635696,0.5247772028930959
