PortfolioStrategy,FactorModel,Comparison,alpha_difference_annualized,alpha_difference_monthly,t_stat,p_value
LongShort,CAPM,Method2_LatentQuality minus Method1_ObservedQuality,-0.004029134090716032,-0.000335761174226336,-0.06697522271567405,0.9466372170336761
LongShort,CAPM,Method3_ConservativeQuality minus Method1_ObservedQuality,0.004676288910951698,0.0003896907425793082,0.07504086132770012,0.9402223222794783
LongShort,CAPM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,0.0031641602566498117,0.0002636800213874843,0.05072294879706259,0.9595733681698113
LongShort,FF3,Method2_LatentQuality minus Method1_ObservedQuality,-0.005009627004563175,-0.0004174689170469313,-0.10126027356187141,0.9193987007016684
LongShort,FF3,Method3_ConservativeQuality minus Method1_ObservedQuality,0.00442996158109326,0.000369163465091105,0.08688944212436248,0.9308063946232532
LongShort,FF3,Method4_ProbabilisticQuality minus Method1_ObservedQuality,0.0031108246626339875,0.0002592353885528323,0.06116334626641427,0.9512621446201446
LongShort,FF3+MOM,Method2_LatentQuality minus Method1_ObservedQuality,0.001653334348025259,0.00013777786233543825,0.02757670487063039,0.9780147097084828
LongShort,FF3+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0010893277132577716,9.077730943814763e-05,0.017297796568458205,0.9862084177479922
LongShort,FF3+MOM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,0.0019764431763597823,0.00016470359802998186,0.03174950619337712,0.9746890268668462
LongShort,FF5,Method2_LatentQuality minus Method1_ObservedQuality,-0.002204204464189334,-0.00018368370534911117,-0.04383083892951683,0.9650631474399587
LongShort,FF5,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0024211094694547575,0.00020175912245456312,0.04495884050754415,0.9641646352929567
LongShort,FF5,Method4_ProbabilisticQuality minus Method1_ObservedQuality,0.0022526078743769704,0.00018771732286474753,0.04201282719270402,0.9665113819648541
LongShort,FF5+MOM,Method2_LatentQuality minus Method1_ObservedQuality,0.003113105348074241,0.0002594254456728534,0.057298188510857495,0.9543391031703845
LongShort,FF5+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0004451797080535433,-3.709830900446194e-05,-0.007760312867009894,0.9938124796194285
LongShort,FF5+MOM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,0.0013795022325837208,0.00011495851938197674,0.02413052422380484,0.9807617183560591
