Gamma,ComparisonMethod,ComparisonMethodLabel,Scope,FirmYears,ReassignedFirmYears,ShareReassigned,UniqueFirmsReassigned
0.10,Method3_ConservativeQuality,Conservative Quality,All portfolios,7146,540,0.07556675062972293,311
0.10,Method3_ConservativeQuality,Conservative Quality,Observed Q1,1436,53,0.03690807799442897,44
0.10,Method3_ConservativeQuality,Conservative Quality,Observed Q2,1425,147,0.1031578947368421,102
0.10,Method3_ConservativeQuality,Conservative Quality,Observed Q3,1426,171,0.11991584852734923,130
0.10,Method3_ConservativeQuality,Conservative Quality,Observed Q4,1425,123,0.0863157894736842,91
0.10,Method3_ConservativeQuality,Conservative Quality,Observed Q5,1434,46,0.03207810320781032,36
0.15,Method3_ConservativeQuality,Conservative Quality,All portfolios,7146,810,0.11335012594458438,377
0.15,Method3_ConservativeQuality,Conservative Quality,Observed Q1,1436,77,0.05362116991643454,62
0.15,Method3_ConservativeQuality,Conservative Quality,Observed Q2,1425,221,0.1550877192982456,124
0.15,Method3_ConservativeQuality,Conservative Quality,Observed Q3,1426,258,0.18092566619915848,180
0.15,Method3_ConservativeQuality,Conservative Quality,Observed Q4,1425,184,0.12912280701754386,125
0.15,Method3_ConservativeQuality,Conservative Quality,Observed Q5,1434,70,0.04881450488145049,48
0.20,Method3_ConservativeQuality,Conservative Quality,All portfolios,7146,1032,0.14441645675902604,417
0.20,Method3_ConservativeQuality,Conservative Quality,Observed Q1,1436,102,0.07103064066852367,74
0.20,Method3_ConservativeQuality,Conservative Quality,Observed Q2,1425,285,0.2,149
0.20,Method3_ConservativeQuality,Conservative Quality,Observed Q3,1426,324,0.22720897615708274,205
0.20,Method3_ConservativeQuality,Conservative Quality,Observed Q4,1425,231,0.16210526315789472,146
0.20,Method3_ConservativeQuality,Conservative Quality,Observed Q5,1434,90,0.06276150627615062,59
0.30,Method3_ConservativeQuality,Conservative Quality,All portfolios,7146,1469,0.20556954939826477,462
0.30,Method3_ConservativeQuality,Conservative Quality,Observed Q1,1436,155,0.10793871866295264,97
0.30,Method3_ConservativeQuality,Conservative Quality,Observed Q2,1425,415,0.2912280701754386,188
0.30,Method3_ConservativeQuality,Conservative Quality,Observed Q3,1426,445,0.3120617110799439,242
0.30,Method3_ConservativeQuality,Conservative Quality,Observed Q4,1425,323,0.22666666666666666,181
0.30,Method3_ConservativeQuality,Conservative Quality,Observed Q5,1434,131,0.09135285913528592,74
