Exchange,Method,Portfolio,Date,n_firms,raw_weight_sum,ucits_weight_sum,max_raw_weight,max_ucits_weight,cash_weight,large_position_weight,n_large_positions,n_names_single_cap_binding,aggregate_cap_relaxed
Copenhagen,Method1_ObservedQuality,Q1,2010-07-31,11,1.0,1.0,0.9169286989190413,0.1,0.0,0.9654756209820303,10,1,True
Copenhagen,Method1_ObservedQuality,Q5,2010-07-31,11,1.0,1.0,0.6982674312780098,0.1,0.0,1.0,11,1,True
Copenhagen,Method2_LatentQuality,Q1,2010-07-31,11,0.9999999999999999,1.0,0.9191751985491065,0.1,0.0,0.9654756209820303,10,1,True
Copenhagen,Method2_LatentQuality,Q5,2010-07-31,11,1.0,1.0,0.6632579820846992,0.1,0.0,1.0,11,1,True
Copenhagen,Method3_ConservativeQuality,Q1,2010-07-31,11,1.0,1.0,0.9169286989190413,0.1,0.0,0.9654756209820303,10,1,True
Copenhagen,Method3_ConservativeQuality,Q5,2010-07-31,11,1.0,1.0,0.6632579820846992,0.1,0.0,1.0,11,1,True
Copenhagen,Method4_ProbabilisticQuality,Q1,2010-07-31,11,0.9999999999999999,1.0,0.8825914980434793,0.1,0.0,0.9654756209820303,10,1,True
Copenhagen,Method4_ProbabilisticQuality,Q5,2010-07-31,10,1.0,1.0,0.7020446501178114,0.1,0.0,1.0,10,1,True
Copenhagen,Method1_ObservedQuality,Q1,2010-08-31,12,1.0000000000000002,1.0,0.922556492381824,0.1,0.0,0.9460286722035104,10,1,True
Copenhagen,Method1_ObservedQuality,Q5,2010-08-31,11,1.0000000000000002,1.0,0.6772052995518064,0.1,0.0,1.0,11,2,True
Copenhagen,Method2_LatentQuality,Q1,2010-08-31,12,1.0,1.0,0.9245513790066013,0.1,0.0,0.9460286722035104,10,1,True
Copenhagen,Method2_LatentQuality,Q5,2010-08-31,11,1.0,1.0,0.642988708495521,0.1,0.0,1.0,11,2,True
