Exchange,PortfolioStrategy,FactorModel,Method,alpha_annualized,alpha_monthly,t_stat,p_value,r_squared,n_obs
Copenhagen,LongShort,CAPM,Method1_ObservedQuality,0.15858062840456874,0.013215052367047396,2.2210929192941453,0.027605927607786684,0.0038777984162073897,180
Copenhagen,LongShort,FF3,Method1_ObservedQuality,0.15240027910418807,0.01270002325868234,2.4004426208816487,0.017417897302135277,0.0907149963941335,180
Copenhagen,LongShort,FF3+MOM,Method1_ObservedQuality,0.11944672570530665,0.009953893808775554,2.020481747021797,0.044858077356704884,0.10369020052151023,180
Copenhagen,LongShort,FF5,Method1_ObservedQuality,0.14743807595900488,0.012286506329917074,2.422113260588768,0.01645687022968967,0.1506852555528687,180
Copenhagen,LongShort,FF5+MOM,Method1_ObservedQuality,0.13029732736374727,0.010858110613645605,2.269810452639021,0.024453202035102706,0.15408404036552037,180
Copenhagen,LongShort,CAPM,Method2_LatentQuality,0.11525420591995357,0.00960451715999613,1.5053492843979641,0.1341347103714614,0.00154478278666359,168
Copenhagen,LongShort,FF3,Method2_LatentQuality,0.11196831528180462,0.009330692940150384,1.632170815718258,0.10456214535719188,0.06687747187429649,168
Copenhagen,LongShort,FF3+MOM,Method2_LatentQuality,0.09927920699686463,0.008273267249738718,1.5133152887098205,0.13213612937238017,0.06885625730976652,168
Copenhagen,LongShort,FF5,Method2_LatentQuality,0.10992511363637415,0.009160426136364513,1.6756377053293907,0.09573820714387793,0.10722784631816196,168
Copenhagen,LongShort,FF5+MOM,Method2_LatentQuality,0.10976137791707713,0.009146781493089761,1.7094171037165669,0.08930040749973944,0.10722815919903195,168
Copenhagen,LongShort,CAPM,Method3_ConservativeQuality,0.13725901148376746,0.011438250956980622,1.943756509870806,0.05350160507290003,0.002714689026732442,180
Copenhagen,LongShort,FF3,Method3_ConservativeQuality,0.1316830415135598,0.010973586792796652,2.0549526307170285,0.04136127102160159,0.10555158668144637,180
Copenhagen,LongShort,FF3+MOM,Method3_ConservativeQuality,0.09285391487113566,0.007737826239261305,1.6916318482576902,0.09249611413175374,0.12143484194755805,180
Copenhagen,LongShort,FF5,Method3_ConservativeQuality,0.1291904049565351,0.010765867079711259,2.0384971061473967,0.0430136483129584,0.1353737096293932,180
Copenhagen,LongShort,FF5+MOM,Method3_ConservativeQuality,0.10163470727282453,0.008469558939402044,1.8633154542674584,0.06411287799480214,0.14311835430030218,180
Copenhagen,LongShort,CAPM,Method4_ProbabilisticQuality,0.16491907418892826,0.013743256182410688,2.2663232084471057,0.02463527260591758,0.005796622478780211,180
Copenhagen,LongShort,FF3,Method4_ProbabilisticQuality,0.15961047011052532,0.013300872509210443,2.438681212364233,0.015734112073833906,0.08489639984143427,180
Copenhagen,LongShort,FF3+MOM,Method4_ProbabilisticQuality,0.12651612710178597,0.010543010591815498,2.060595418253173,0.04082137052159651,0.09792297747689616,180
Copenhagen,LongShort,FF5,Method4_ProbabilisticQuality,0.15532922527502985,0.012944102106252488,2.477891137762462,0.014170053928399096,0.14331983175379293,180
Copenhagen,LongShort,FF5+MOM,Method4_ProbabilisticQuality,0.13789397794916722,0.011491164829097268,2.3282032867613847,0.021058066169007406,0.14682035875758181,180
Helsinki,LongShort,CAPM,Method1_ObservedQuality,0.05657274972225544,0.004714395810187954,1.5162621690947016,0.13114166816137773,0.006734809927258278,189
Helsinki,LongShort,FF3,Method1_ObservedQuality,0.0516547362717873,0.004304561355982275,1.5856816960313245,0.11451934534121166,0.1509460146201469,189
Helsinki,LongShort,FF3+MOM,Method1_ObservedQuality,0.05062891734115603,0.004219076445096336,1.4058364373211456,0.16145907694436024,0.1509629668170801,189
Helsinki,LongShort,FF5,Method1_ObservedQuality,0.05469982102460136,0.00455831841871678,1.785922740968731,0.07576761377855523,0.1978424168705999,189
Helsinki,LongShort,FF5+MOM,Method1_ObservedQuality,0.06380880066581462,0.005317400055484553,1.8457586841881877,0.06655169652095139,0.19912457329184963,189
Helsinki,LongShort,CAPM,Method2_LatentQuality,0.07118036993329666,0.005931697494441388,2.107594212853224,0.03639889223166848,0.002353625007692206,189
Helsinki,LongShort,FF3,Method2_LatentQuality,0.06619795103030959,0.005516495919192466,2.528037253768539,0.012306627695711336,0.15212620091131324,189
Helsinki,LongShort,FF3+MOM,Method2_LatentQuality,0.07258533446049575,0.00604877787170798,2.5779582753251615,0.010720932809716643,0.15288709206820594,189
Helsinki,LongShort,FF5,Method2_LatentQuality,0.06694639964648604,0.00557886663720717,2.6682572886320703,0.008309170485362838,0.1900931096463121,189
Helsinki,LongShort,FF5+MOM,Method2_LatentQuality,0.08219938186331449,0.0068499484886095415,3.010942636789394,0.002974509276247428,0.1942551191598636,189
Helsinki,LongShort,CAPM,Method3_ConservativeQuality,0.06577830241208449,0.005481525201007041,1.8929914732270794,0.05990357275086877,0.0029316539071950753,189
