Ticker,FormationYear,theta_obs,theta_post_mean,theta_conservative,p_q5,p_q1,sigma_acc,MarketCap,Method1_ObservedQuality_PortfolioNum,Method1_ObservedQuality_Portfolio,Method2_LatentQuality_PortfolioNum,Method2_LatentQuality_Portfolio,Method3_ConservativeQuality_PortfolioNum,Method3_ConservativeQuality_Portfolio,Method4_ProbabilisticQuality_PortfolioNum,Method4_ProbabilisticQuality_Portfolio
AAB.CO,2010,-0.5286506469500928,-0.3966086863722617,-0.6106981878508942,0.0005132331347696,0.9650491754782832,0.153863723090073,46.67,1,Q1,1,Q1,1,Q1,1,Q1
AAK.ST,2010,0.452191260105529,0.3719131989901393,0.3569362538905816,0.633793128365595,0.0439311916601051,0.1693402362974249,5195.33,5,Q5,5,Q5,5,Q5,5,Q5
ABB.ST,2010,-1.3306413948688984,-1.1863234379065888,-1.3705709779379087,0.0,0.999999999996968,0.1008644706241507,244254.6,1,Q1,1,Q1,1,Q1,1,Q1
ACG1V.HE,2010,-1.2423343224530168,-0.9292378937377714,-1.3345966983882278,1.0614767842476173e-08,0.9999875025375804,0.1658465973293492,53.81,1,Q1,1,Q1,1,Q1,1,Q1
ACTI.ST,2010,-0.1178012186332962,-0.0722664698821146,-0.1960112369392297,0.0362373589531149,0.6140361189093176,0.149323953856049,5221.41,1,Q1,1,Q1,1,Q1,1,Q1
ADDTb.ST,2010,0.4013059207623751,0.3913093265941857,0.3873355464886831,0.6677526821953599,3.198674180527994e-05,0.0576206627662323,1193.13,5,Q5,5,Q5,5,Q5,5,Q5
AFAGR.HE,2010,-0.1006441223832528,0.0072453785411089,-0.3006919766474835,0.1395934523354566,0.5558001070482046,0.3029622104533748,4536.01,1,Q1,2,Q2,1,Q1,1,Q1
AFGA.OL,2010,0.3347653090225401,0.3208904341891592,0.3095017519370769,0.4506946093560225,0.0057628373228972,0.0786445860689503,2107.01,4,Q4,5,Q5,5,Q5,,
AFK.OL,2010,0.056797323631971,0.0762794173685219,-0.0769028054367522,0.1936484047540021,0.3868602826200473,0.2146174259902784,2736.16,2,Q2,2,Q2,2,Q2,,
AFRY.ST,2010,0.2271955287605978,0.2183826626145975,0.1957525246803066,0.2242332274157333,0.0528723542732583,0.088469634476213,2566.5,4,Q4,4,Q4,4,Q4,,
AGATE.CO,2010,0.0901279155578415,0.0997390875162546,-0.0639259974398237,0.237354134822098,0.3600209645038147,0.2397181706847722,726.11,2,Q2,2,Q2,2,Q2,,
AGFEb.CO,2010,-0.8359167404783003,-0.3848866903075926,-1.025624437198818,0.0017987942382822,0.974070478141174,0.2876837514086129,248.02,1,Q1,1,Q1,1,Q1,1,Q1
AKAST.OL,2010,0.3014359311629946,0.2824700321841805,0.2607262400744241,0.3921330618904803,0.0348374459742471,0.1019555093019951,4308.16,4,Q4,4,Q4,4,Q4,,
AKVA.OL,2010,-0.1317019950124689,-0.1237657948733622,-0.14456532442252,2.56316686053637e-06,0.8010610972408618,0.055211441592982,344.46,1,Q1,1,Q1,1,Q1,1,Q1
ALFA.ST,2010,0.442248977475661,0.4211510744826176,0.4164542172048663,0.722751792500671,0.0006548289090103,0.0795234773647992,33806.22,5,Q5,5,Q5,5,Q5,5,Q5
ALKb.CO,2010,0.2651136606835459,0.2396746768539758,0.1972901154076348,0.359114510053131,0.1044362670935731,0.1368643589282804,4193.19,4,Q4,4,Q4,4,Q4,,
AMBUb.CO,2010,0.296143174760671,0.2839023575309235,0.2691005963143713,0.3556111644107664,0.0142122397071929,0.0815603289737617,1268.2,4,Q4,4,Q4,4,Q4,,
ANODb.ST,2010,0.1014981890023048,0.1041159583950253,0.0244203734916953,0.1667899525436389,0.2910346714737142,0.1479790737337817,435.05,3,Q3,3,Q3,2,Q2,,
ANOT.ST,2010,-0.0553134162770425,0.0256465580055082,-0.2453640089500974,0.1588101147701037,0.5131977946926964,0.2881786710308343,407.83,1,Q1,2,Q2,1,Q1,1,Q1
AOJb.CO,2010,0.8479012879513235,0.6525740803668056,0.7412842557871817,0.9469019391222466,0.0018326216346194,0.1825914310464645,283.52,5,Q5,5,Q5,5,Q5,5,Q5
APETIT.HE,2010,-0.0459806452746017,-0.0015304250504205,-0.1563721562014673,0.1000431263880654,0.5053698304849094,0.1870022110149839,820.01,1,Q1,2,Q2,1,Q1,1,Q1
AQ.ST,2010,0.1390188392970034,0.1351658153334865,0.0746289325057468,0.1839980202541766,0.2236775086926669,0.1326709802843239,672.99,3,Q3,3,Q3,3,Q3,,
ARRA.OL,2010,-0.1187142145880011,-0.0578810707659194,-0.2227925728092545,0.059378333986417,0.600361181332643,0.1796289780537302,18.04,1,Q1,1,Q1,1,Q1,1,Q1
ASPO.HE,2010,0.0557998702328599,0.0719651421009382,-0.0532712969989812,0.1684282397836317,0.3763424430654721,0.1854582445689735,1142.93,2,Q2,2,Q2,2,Q2,,
ASSAb.ST,2010,0.2857785758439517,0.2823859686165944,0.2778284871092808,0.2099030936025843,4.470667150149267e-05,0.0431320256350031,38660.27,4,Q4,4,Q4,4,Q4,,
ATCOa.ST,2010,0.4152508100352901,0.3720027729633248,0.3576189476066046,0.6085275477289558,0.0211689730443405,0.1242708313300114,70074.61,5,Q5,5,Q5,5,Q5,5,Q5
ATEA.OL,2010,0.0809811589050835,0.0831579568635848,0.0554484467817259,0.0346139978766305,0.2063033004435044,0.0790908200038099,4322.57,2,Q2,2,Q2,3,Q3,,
ATLA.CO,2010,0.1290395189555933,0.126147359996289,0.0461474086430005,0.2031591195857349,0.2634577219359436,0.1548594173733749,474.39,3,Q3,3,Q3,3,Q3,,
ATRAV.HE,2010,0.2776042299073878,0.2678104474788128,0.2534995680657724,0.3017189341546735,0.0141267652402497,0.0767011010607623,1698.75,4,Q4,4,Q4,4,Q4,,
ATRLJb.ST,2010,0.1145559804733623,0.1146434236053924,0.0482209295956645,0.1615218102975835,0.2587115823994762,0.1350519272842378,7005.12,3,Q3,3,Q3,3,Q3,,
AUSS.OL,2010,0.146994988358786,0.1401828280056042,0.0616074377683971,0.225833113806995,0.2454325481569601,0.1577952306102749,7318.1,3,Q3,3,Q3,3,Q3,,
AXFO.ST,2010,0.3508895361654028,0.2999433818990519,0.2644691820574663,0.496607779209959,0.0771609441481228,0.1590078753655822,8893.74,4,Q4,4,Q4,4,Q4,,
AZN.ST,2010,0.781804557254512,0.7621211557810057,0.769995484038319,0.9999869812885884,3.185845545746534e-16,0.0528286805663386,394961.01,5,Q5,5,Q5,5,Q5,5,Q5
AZT.OL,2010,-0.6333605887162715,-0.4950072907801938,-0.7073024336721417,5.4622770122358943e-05,0.9898281789395368,0.1442388178982989,120.55,1,Q1,1,Q1,1,Q1,1,Q1
BAVA.CO,2010,-0.2646515597335269,-0.2258324838573325,-0.305542279936499,0.0005601287686645,0.8800599228428441,0.1022076993229459,1272.1,1,Q1,1,Q1,1,Q1,1,Q1
BEIAb.ST,2010,0.2386938755107905,0.2227656918208534,0.1871507814380862,0.2952871186189184,0.0938448815165187,0.1164917718982953,1784.29,4,Q4,4,Q4,4,Q4,,
BEIJb.ST,2010,0.1497060076693651,0.1412124728310475,0.0515793606228849,0.2441992237387985,0.2572364675942048,0.1726893826756569,2717.8,3,Q3,3,Q3,3,Q3,,
BERGb.ST,2010,0.0721706269522535,0.0799612874169131,-0.0004481757831291,0.1330201202612766,0.3260112430470502,0.1426534313347851,677.17,2,Q2,2,Q2,2,Q2,,
