PortfolioStrategy,FactorModel,Comparison,alpha_difference_annualized,alpha_difference_monthly,t_stat,p_value
LongShort,CAPM,Method2_LatentQuality minus Method1_ObservedQuality,0.012789470065656273,0.0010657891721380227,0.31493036474199415,0.7529901558452783
LongShort,CAPM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.00866167691594319,-0.0007218064096619324,-0.21437156571697305,0.8303741447910322
LongShort,FF3,Method2_LatentQuality minus Method1_ObservedQuality,0.013030818101755513,0.001085901508479626,0.3269927218357765,0.7438582981600295
LongShort,FF3,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.008913718451797533,-0.0007428098709831277,-0.22489725633953758,0.8221833562134002
LongShort,FF3+MOM,Method2_LatentQuality minus Method1_ObservedQuality,0.0015320557230121667,0.0001276713102510139,0.036032215990167496,0.9712762079235908
LongShort,FF3+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.011350627055818465,-0.0009458855879848721,-0.2656427414397599,0.790663117485249
LongShort,FF5,Method2_LatentQuality minus Method1_ObservedQuality,0.013791353551468306,0.0011492794626223588,0.34387918402952483,0.7311346179624478
LongShort,FF5,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.006424313249542428,-0.0005353594374618689,-0.15798889431232668,0.8745526785375239
LongShort,FF5+MOM,Method2_LatentQuality minus Method1_ObservedQuality,0.0021279372625668536,0.00017732810521390446,0.05199359143316414,0.9585623207547807
LongShort,FF5+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.007904433770777156,-0.0006587028142314296,-0.19194512699290608,0.8478922206490958
