PortfolioStrategy,FactorModel,Method,alpha_annualized,alpha_monthly,t_stat,p_value,r_squared,n_obs
LongShort,CAPM,Method1_ObservedQuality,0.029949994011139326,0.0024958328342616107,1.0256728451923307,0.3063707537428917,0.0011632537738395232,189
LongShort,FF3,Method1_ObservedQuality,0.038438005882108245,0.003203167156842354,1.356177308754411,0.17669566670028347,0.13358292380946135,189
LongShort,FF3+MOM,Method1_ObservedQuality,0.01979830133245479,0.0016498584443712327,0.6442297525080338,0.5202287349412829,0.14075791130572246,189
LongShort,FF5,Method1_ObservedQuality,0.022136830146322752,0.001844735845526896,0.7764664536586532,0.43847604413616126,0.18188506654606562,189
LongShort,FF5+MOM,Method1_ObservedQuality,0.008898412884965708,0.0007415344070804756,0.3043411783638756,0.7612156762149609,0.1856664803128396,189
LongShort,CAPM,Method2_LatentQuality,0.0427394640767955,0.0035616220063996247,1.52281088204741,0.12949528560199575,0.007457403507731608,189
LongShort,FF3,Method2_LatentQuality,0.05146882398386525,0.004289068665322104,1.8635479244171393,0.06396996618417394,0.12833058468824032,189
LongShort,FF3+MOM,Method2_LatentQuality,0.02133035705546796,0.00177752975462233,0.7342247124670734,0.463746398699735,0.14540081965388707,189
LongShort,FF5,Method2_LatentQuality,0.03592818369780032,0.002994015308150027,1.2905422907696136,0.19849058600567115,0.1673732725559689,189
LongShort,FF5+MOM,Method2_LatentQuality,0.011026350147533323,0.0009188625122944435,0.38690626278573303,0.6992776193282237,0.17954910902902355,189
LongShort,CAPM,Method3_ConservativeQuality,0.026641986381095224,0.0022201655317579355,1.061884651300777,0.28965750858865524,0.004848622805508573,189
LongShort,FF3,Method3_ConservativeQuality,0.03404317846894346,0.0028369315390786216,1.3210230684905098,0.18812530664945903,0.10147141867596798,189
LongShort,FF3+MOM,Method3_ConservativeQuality,0.017709749277196544,0.0014758124397663787,0.659830862046006,0.5101874438600258,0.10703793048418708,189
LongShort,FF5,Method3_ConservativeQuality,0.020356307632073654,0.0016963589693394711,0.746626498110043,0.45624717751871646,0.15252178278017936,189
LongShort,FF5+MOM,Method3_ConservativeQuality,0.009875641002439324,0.0008229700835366104,0.36097026741613236,0.7185403193396738,0.15491645000727972,189
