PortfolioStrategy,FactorModel,Method,alpha_annualized,alpha_monthly,t_stat,p_value,r_squared,n_obs
Q4,CAPM,Method1_ObservedQuality,0.008508683584415762,0.0007090569653679801,0.328783720765335,0.7426870738478357,0.7796907678713851,189
Q4,FF3,Method1_ObservedQuality,0.004988461772298584,0.0004157051476915487,0.21064290546496972,0.8333977597527158,0.7963049965838847,189
Q4,FF3+MOM,Method1_ObservedQuality,0.012376541064180199,0.0010313784220150166,0.5854242279723487,0.5589797997679304,0.796888455548085,189
Q4,FF5,Method1_ObservedQuality,0.008159492502331724,0.0006799577085276437,0.3476901748640354,0.7284724570582399,0.7972867533645407,189
Q4,FF5+MOM,Method1_ObservedQuality,0.014408908961229504,0.001200742413435792,0.7053869961075896,0.4814712566670072,0.7977229327383919,189
Q4,CAPM,Method2_LatentQuality,0.012330886837163386,0.001027573903096949,0.49602893955036526,0.6204564872813547,0.7777434449340171,189
Q4,FF3,Method2_LatentQuality,0.00893961233050362,0.000744967694208635,0.40866967991959063,0.6832547500469506,0.7951871086852751,189
Q4,FF3+MOM,Method2_LatentQuality,0.00860959844341827,0.0007174665369515225,0.42578807602251595,0.6707599008530902,0.7951882945717988,189
Q4,FF5,Method2_LatentQuality,0.010544991776621163,0.0008787493147184303,0.4720537437865035,0.6374508214618113,0.7954927830730025,189
Q4,FF5+MOM,Method2_LatentQuality,0.009629930414153103,0.0008024942011794253,0.4898033294473437,0.6248629452303591,0.7955023092382072,189
Q4,CAPM,Method3_ConservativeQuality,0.011606993861708935,0.0009672494884757445,0.4673877165623015,0.6407666822842175,0.7735852227256015,189
Q4,FF3,Method3_ConservativeQuality,0.007953813998134555,0.0006628178331778796,0.36116150384040524,0.7183908199886768,0.7952349070230317,189
Q4,FF3+MOM,Method3_ConservativeQuality,0.011060504283939522,0.0009217086903282935,0.5483076572836955,0.5841452956258575,0.7953452019567158,189
Q4,FF5,Method3_ConservativeQuality,0.010047365904244931,0.000837280492020411,0.45872748692379345,0.6469742166890642,0.7959110281739281,189
Q4,FF5+MOM,Method3_ConservativeQuality,0.012233799024576008,0.0010194832520480006,0.6220004359731138,0.534719995469128,0.7959681064713202,189
