PortfolioStrategy,FactorModel,Comparison,alpha_difference_annualized,alpha_difference_monthly,t_stat,p_value
LongShort,CAPM,Method2_LatentQuality minus Method1_ObservedQuality,-0.005430854777924361,-0.00045257123149369674,-0.1017131032074633,0.9190389094688207
LongShort,CAPM,Method3_ConservativeQuality minus Method1_ObservedQuality,0.01255977533297609,0.0010466479444146742,0.2268631903072717,0.8206540740941197
LongShort,CAPM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,0.007797798208744723,0.0006498165173953936,0.14014369431958287,0.8886219007280334
LongShort,FF3,Method2_LatentQuality minus Method1_ObservedQuality,-0.0060636277342856724,-0.0005053023111904727,-0.1496763427505395,0.8811015265297795
LongShort,FF3,Method3_ConservativeQuality minus Method1_ObservedQuality,0.01322315647501259,0.0011019297062510492,0.31709436950526015,0.751350844701328
LongShort,FF3,Method4_ProbabilisticQuality minus Method1_ObservedQuality,0.00934279225551804,0.00077856602129317,0.21440767509417796,0.8303472715697933
LongShort,FF3+MOM,Method2_LatentQuality minus Method1_ObservedQuality,-0.004392711810378999,-0.00036605931753158323,-0.09367140124352862,0.9254211664254637
LongShort,FF3+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,0.019783587411409276,0.0016486322842841064,0.4038694138242296,0.686543337313452
LongShort,FF3+MOM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,0.010770215799425952,0.000897517983285496,0.22128421371047205,0.8249938730158954
LongShort,FF5,Method2_LatentQuality minus Method1_ObservedQuality,-0.004111521568768069,-0.0003426267973973391,-0.11296531978552372,0.9101199840922585
LongShort,FF5,Method3_ConservativeQuality minus Method1_ObservedQuality,0.014977908055856085,0.0012481590046546738,0.42144400644166163,0.6736782915035533
LongShort,FF5,Method4_ProbabilisticQuality minus Method1_ObservedQuality,0.008739429835845601,0.0007282858196538001,0.23252413594338553,0.8162609121618705
LongShort,FF5+MOM,Method2_LatentQuality minus Method1_ObservedQuality,-0.0035416963242391603,-0.00029514136035326335,-0.09173940104369242,0.9269555575648007
LongShort,FF5+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,0.020839871198871186,0.0017366559332392655,0.5556479768698445,0.5787928732182377
LongShort,FF5+MOM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,0.010436872163681665,0.0008697393469734721,0.2754901932503352,0.7830959795616845
