SizeGroup,PortfolioStrategy,FactorModel,Comparison,alpha_difference_annualized,alpha_difference_monthly,t_stat,p_value
SmallCap,Q5,CAPM,Method2_LatentQuality minus Method1_ObservedQuality,0.0007039905314178141,5.8665877618151174e-05,0.012114273574148234,0.9903409039606803
SmallCap,Q5,CAPM,Method3_ConservativeQuality minus Method1_ObservedQuality,0.005383299636521913,0.0004486083030434927,0.08578145425854235,0.9316860525483306
SmallCap,Q5,CAPM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,0.0004675094189476453,3.895911824563711e-05,0.007518311848397368,0.9940053201903878
SmallCap,Q5,FF3,Method2_LatentQuality minus Method1_ObservedQuality,0.0020024111227133073,0.00016686759355944228,0.03743882525675446,0.9701553072466635
SmallCap,Q5,FF3,Method3_ConservativeQuality minus Method1_ObservedQuality,0.004508145983338624,0.00037567883194488533,0.0778512268684325,0.937988479666523
SmallCap,Q5,FF3,Method4_ProbabilisticQuality minus Method1_ObservedQuality,0.0004061404649099154,3.384503874249295e-05,0.007010691307520464,0.9944101018203064
SmallCap,Q5,FF3+MOM,Method2_LatentQuality minus Method1_ObservedQuality,0.0016619722938355092,0.0001384976911529591,0.03319208652123866,0.973539403927449
SmallCap,Q5,FF3+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,0.006200202674679647,0.000516683556223304,0.12220217846683608,0.9028056059196274
SmallCap,Q5,FF3+MOM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.0002982527206537161,-2.4854393387809676e-05,-0.00586860557558588,0.9953207370916723
SmallCap,Q5,FF5,Method2_LatentQuality minus Method1_ObservedQuality,0.00581045431747107,0.0004842045264559225,0.12687837348156164,0.8991063386048985
SmallCap,Q5,FF5,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0055486874733707975,0.0004623906227808998,0.11112711654537681,0.9115764600974889
SmallCap,Q5,FF5,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.0004528652227810681,-3.773876856508901e-05,-0.008931947576859599,0.99287829815493
SmallCap,Q5,FF5+MOM,Method2_LatentQuality minus Method1_ObservedQuality,0.0062575188189017555,0.0005214599015751463,0.1565319582873393,0.8757005110679437
SmallCap,Q5,FF5+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,0.007325241895740547,0.0006104368246450456,0.18112043371575118,0.8563738523632263
SmallCap,Q5,FF5+MOM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,-0.0009091196024187537,-7.575996686822947e-05,-0.021837459214771142,0.9825895787745786
LargeCap,Q5,CAPM,Method2_LatentQuality minus Method1_ObservedQuality,-0.00811695245578034,-0.0006764127046483617,-0.4719888712399623,0.6372099875318609
LargeCap,Q5,CAPM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0016670506415639719,-0.00013892088679699766,-0.09928282285417891,0.920966909520051
LargeCap,Q5,CAPM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,0.0009633397296209406,8.027831080174505e-05,0.05996607061697411,0.9522146869650674
LargeCap,Q5,FF3,Method2_LatentQuality minus Method1_ObservedQuality,-0.007870084212094064,-0.0006558403510078387,-0.48771490119202476,0.6260406545682251
LargeCap,Q5,FF3,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0017879924186120638,-0.00014899936821767198,-0.11283325659794798,0.910223944022919
LargeCap,Q5,FF3,Method4_ProbabilisticQuality minus Method1_ObservedQuality,0.0010424893535652263,8.687411279710219e-05,0.0691590010730621,0.9449004178637581
LargeCap,Q5,FF3+MOM,Method2_LatentQuality minus Method1_ObservedQuality,-0.004388794571685742,-0.0003657328809738118,-0.22860149016688047,0.8193056453392482
LargeCap,Q5,FF3+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.001349752648906119,-0.00011247938740884325,-0.07180761317766933,0.9427940233205716
LargeCap,Q5,FF3+MOM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,0.00048776910420195163,4.0647425350162636e-05,0.026750629527718464,0.9786731312197383
LargeCap,Q5,FF5,Method2_LatentQuality minus Method1_ObservedQuality,-0.007432799204649745,-0.0006193999337208121,-0.47350855359055893,0.6361327035915001
LargeCap,Q5,FF5,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.0017381149439408272,-0.00014484291199506893,-0.11223058985369122,0.9107021015228378
LargeCap,Q5,FF5,Method4_ProbabilisticQuality minus Method1_ObservedQuality,0.0007093646958247629,5.9113724652063576e-05,0.048075849354797556,0.961682016078691
LargeCap,Q5,FF5+MOM,Method2_LatentQuality minus Method1_ObservedQuality,-0.004380673255165918,-0.0003650561045971598,-0.24186698141374413,0.8090194386333576
LargeCap,Q5,FF5+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,-0.001593081470536828,-0.00013275678921140233,-0.08892773653315922,0.9291882470991428
LargeCap,Q5,FF5+MOM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,0.00026923729429650933,2.2436441191375778e-05,0.01535129990540053,0.987760326455507
