Method,Portfolio,mean_excess_ann,volatility_ann,sharpe_ratio,max_drawdown
Method1_Raw,Q1,0.06494022671148666,0.170223654429003,0.3814994274992021,-0.36922853880227186
Method1_Raw,Q2,0.04414470470595782,0.1684221952511375,0.26210740597539905,-0.42574393425728024
Method1_Raw,Q3,0.06337755382581979,0.12996785720499013,0.48764021496375337,-0.3512452427920938
Method1_Raw,Q4,0.08262604723205322,0.13734887555156636,0.6015778935229218,-0.3151427360704918
Method1_Raw,Q5,0.08866479750018795,0.12688393978777437,0.6987866048964776,-0.25202728470065144
Method2_PostMean,Q1,0.07430614097274604,0.17009925382572905,0.4368398996557301,-0.3622078361516202
Method2_PostMean,Q2,0.035014288770427435,0.16690675111112732,0.20978353803744434,-0.4547330499348737
Method2_PostMean,Q3,0.08032502750087031,0.13662135090909414,0.5879390517395587,-0.2901574958074917
Method2_PostMean,Q4,0.08109142641736619,0.13515248817763717,0.5999995080429742,-0.3197270132817227
Method2_PostMean,Q5,0.08530715257809017,0.12794579289848904,0.6667444911281456,-0.2414717946234219
Method3_ProbQ5,Q1,0.08092386214782282,0.1353355042966233,0.5979499804460544,-0.23660864253364136
Method3_ProbQ5,Q2,0.042813890763662765,0.16262585016680026,0.2632662071850809,-0.3879228758132176
Method3_ProbQ5,Q3,0.04578532809502939,0.14302061873762073,0.3201309608303759,-0.407439022711726
Method3_ProbQ5,Q4,0.08662214038501809,0.14294790652112696,0.6059699823041185,-0.353850090857114
Method3_ProbQ5,Q5,0.08834940002610722,0.12657045270659043,0.6980254722712779,-0.24962981187986125
