Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2014,AMBEA.ST,Ambea AB (publ),Healthcare Providers & Services,Health Care,599.06,52.72,524.3,0.0,0.96,87.22,3036.53,327.02
2015,AMBEA.ST,Ambea AB (publ),Healthcare Providers & Services,Health Care,756.67,197.8,1520.66,929.35,5.23,166.4,3627.39,276.31
2016,AMBEA.ST,Ambea AB (publ),Healthcare Providers & Services,Health Care,1106.69,301.57,927.46,150.78,51.21,159.32,5137.99,206.21
2017,AMBEA.ST,Ambea AB (publ),Healthcare Providers & Services,Health Care,1005.65,87.06,2244.45,1392.8999999999999,73.05,201.13,5570.6,331.17
2018,AMBEA.ST,Ambea AB (publ),Healthcare Providers & Services,Health Care,969.03,60.5,2296.2,1406.2199999999998,90.75,205.91,5682.43,503.82
2019,AMBEA.ST,Ambea AB (publ),Healthcare Providers & Services,Health Care,1444.0,48.76,4110.71,2089.11,49.7,235.35,12949.12,913.83
2020,AMBEA.ST,Ambea AB (publ),Healthcare Providers & Services,Health Care,1639.4,26.11,4375.2,1893.14,83.54,281.93,15368.55,1424.69
2021,AMBEA.ST,Ambea AB (publ),Healthcare Providers & Services,Health Care,1731.29,83.79,4215.7,1596.84,59.43,310.79,16245.12,1210.67
2022,AMBEA.ST,Ambea AB (publ),Healthcare Providers & Services,Health Care,1807.23,243.79,3079.82,431.1,35.77,320.97,16825.12,1368.21
2023,AMBEA.ST,Ambea AB (publ),Healthcare Providers & Services,Health Care,1795.06,6.04,3685.77,744.0,67.45,308.07,18014.04,1705.9
2024,AMBEA.ST,Ambea AB (publ),Healthcare Providers & Services,Health Care,1877.3,28.79,4413.61,1068.19,130.57,334.13,18994.07,2101.12
