Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2004,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,189.31,57.96,185.41,29.31,0.0,21.43,499.21,17.16
2005,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,291.55,128.6,236.21,0.0,0.0,0.0,646.71,50.65
2006,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,358.73,106.27,219.51,0.0,2.48,18.48,765.77,47.83
2007,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,306.42,92.98,258.66,0.85,6.56,22.84,723.28,91.47
2008,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,373.01,90.24,313.67,0.0,15.72,25.37,865.01,99.12
2009,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,294.78,84.02,222.6,0.0,4.17,16.05,736.98,53.9
2010,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,377.52,67.22,340.34,0.0,6.98,19.83,996.57,57.44
2011,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,416.58,133.05,340.79,0.0,8.28,22.73,1047.34,124.29
2012,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,500.25,113.29,437.67,0.0,9.1,25.01,1144.15,100.61
2013,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,570.65,108.17,559.75,0.0,10.93,24.77,1454.32,107.23
2014,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,594.18,69.39,604.6,0.0,8.65,26.07,1492.28,140.07
2015,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,801.39,107.64,912.89,0.0,9.61,36.22,1979.14,137.49
2016,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,719.77,105.71,904.06,0.0,15.05,34.84,1882.85,154.91
2017,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,903.72,173.31,1451.82,0.0,22.69,39.85,2627.07,142.35
2018,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,1177.86,377.66,1603.34,0.0,21.47,36.11,3000.77,266.89
2019,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,1008.93,275.67,1504.01,461.33,30.94,158.47,2971.45,384.33
2020,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,1512.0,672.47,2162.54,729.9,33.41,195.27,3986.76,592.6
2021,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,1498.44,395.56,1692.32,0.0,40.92,157.83,4210.83,437.96
2022,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,2360.69,564.76,2631.78,0.0,60.24,215.55,5834.9,678.4
2023,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,2665.91,671.51,2704.17,0.0,63.43,348.34,7245.69,482.71
2024,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,3195.32,692.94,3489.36,0.0,112.06,294.04,8819.0,712.92
