Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2014,B3.ST,B3 Consulting Group AB (publ),Software & IT Services,Information Technology,99.11,0.31,92.02,0.0,1.7,13.18,137.81,16.89
2015,B3.ST,B3 Consulting Group AB (publ),Software & IT Services,Information Technology,128.4,6.2,118.69,0.0,2.62,20.1,187.94,22.85
2016,B3.ST,B3 Consulting Group AB (publ),Software & IT Services,Information Technology,183.08,49.68,141.58,0.0,1.22,16.18,243.25,37.92
2017,B3.ST,B3 Consulting Group AB (publ),Software & IT Services,Information Technology,198.41,18.0,194.57,0.0,2.08,25.35,349.62,27.92
2018,B3.ST,B3 Consulting Group AB (publ),Software & IT Services,Information Technology,216.28,21.53,233.31,0.0,1.98,29.02,415.46,41.73
2019,B3.ST,B3 Consulting Group AB (publ),Software & IT Services,Information Technology,209.74,25.83,246.97,0.0,1.61,4.34,489.45,51.38
2020,B3.ST,B3 Consulting Group AB (publ),Software & IT Services,Information Technology,237.05,48.44,332.78,0.0,0.0,3.96,534.84,70.8
2021,B3.ST,B3 Consulting Group AB (publ),Software & IT Services,Information Technology,260.55,52.84,289.3,0.0,0.0,2.74,545.32,77.84
2022,B3.ST,B3 Consulting Group AB (publ),Software & IT Services,Information Technology,301.07,78.49,318.75,0.0,3.26,2.35,586.39,144.15
2023,B3.ST,B3 Consulting Group AB (publ),Software & IT Services,Information Technology,283.3,49.23,344.92,0.0,0.0,6.14,636.88,67.48
2024,B3.ST,B3 Consulting Group AB (publ),Software & IT Services,Information Technology,355.21,79.88,351.92,0.0,0.0,9.25,910.17,-14.85
