Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2007,BULTEN.ST,Bulten AB,Automobiles & Auto Parts,Consumer Discretionary,985.9,26.74,971.52,0.0,3.87,421.26,1776.1,-173.52
2008,BULTEN.ST,Bulten AB,Automobiles & Auto Parts,Consumer Discretionary,979.66,22.05,785.1,0.0,7.02,414.2,1628.8,-57.39
2009,BULTEN.ST,Bulten AB,Automobiles & Auto Parts,Consumer Discretionary,768.41,28.32,720.92,0.0,4.13,352.04,1276.21,-2.72
2010,BULTEN.ST,Bulten AB,Automobiles & Auto Parts,Consumer Discretionary,999.28,163.73,567.88,0.0,4.43,332.66,1626.94,59.21
2011,BULTEN.ST,Bulten AB,Automobiles & Auto Parts,Consumer Discretionary,1048.28,89.11,541.97,1.56,9.81,327.74,1649.34,124.03
2012,BULTEN.ST,Bulten AB,Automobiles & Auto Parts,Consumer Discretionary,980.15,44.34,468.25,0.0,0.0,346.52,1583.66,77.43
2013,BULTEN.ST,Bulten AB,Automobiles & Auto Parts,Consumer Discretionary,1211.81,94.81,697.89,35.44,6.6,419.3,1973.12,177.62
2014,BULTEN.ST,Bulten AB,Automobiles & Auto Parts,Consumer Discretionary,1209.63,244.9,472.06,1.44,8.63,314.77,1806.68,-54.93
2015,BULTEN.ST,Bulten AB,Automobiles & Auto Parts,Consumer Discretionary,1116.89,42.39,556.35,52.33,7.22,572.99,2035.04,135.1
2016,BULTEN.ST,Bulten AB,Automobiles & Auto Parts,Consumer Discretionary,1040.21,102.99,506.59,0.0,5.41,541.02,1867.33,344.37
2017,BULTEN.ST,Bulten AB,Automobiles & Auto Parts,Consumer Discretionary,1331.86,48.03,627.41,0.0,6.0,628.41,2179.41,56.16
2018,BULTEN.ST,Bulten AB,Automobiles & Auto Parts,Consumer Discretionary,1385.72,17.57,607.96,0.0,31.23,685.05,2281.56,117.06
2019,BULTEN.ST,Bulten AB,Automobiles & Auto Parts,Consumer Discretionary,1346.48,60.01,594.48,0.0,10.31,740.75,2541.07,192.63
2020,BULTEN.ST,Bulten AB,Automobiles & Auto Parts,Consumer Discretionary,1792.89,246.43,1023.32,86.67,16.71,754.96,3206.74,457.5
2021,BULTEN.ST,Bulten AB,Automobiles & Auto Parts,Consumer Discretionary,1922.25,235.78,1062.94,215.32,21.43,795.99,3331.06,48.11
2022,BULTEN.ST,Bulten AB,Automobiles & Auto Parts,Consumer Discretionary,2435.99,424.51,1554.03,420.75,55.53,915.85,4100.15,283.14
2023,BULTEN.ST,Bulten AB,Automobiles & Auto Parts,Consumer Discretionary,2633.7,342.3,1794.05,400.69,46.31,1054.08,4884.82,351.33
2024,BULTEN.ST,Bulten AB,Automobiles & Auto Parts,Consumer Discretionary,2738.85,359.83,1413.63,2.06,39.07,1211.1,5242.26,324.42
