Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2005,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,5.45,0.92,4.13,1.3,0.0,2.26,8.82,-0.31
2006,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,24.78,19.02,4.9,2.33,0.0,1.65,34.19,0.51
2007,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,37.7,27.08,6.61,3.0,0.0,3.14,55.17,-0.89
2008,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,33.62,5.8,4.67,0.0,0.0,4.26,60.25,1.43
2009,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,32.96,14.33,5.78,0.7,0.0,6.5,78.98,17.91
2010,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,25.05,9.47,6.38,0.74,0.0,4.9,66.92,7.47
2011,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,21.05,7.46,4.91,0.76,0.0,3.42,63.65,8.27
2012,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,22.12,8.83,4.48,0.78,0.0,1.88,50.59,9.14
2013,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,24.3,9.6,6.16,0.83,0.0,1.21,53.78,7.82
2014,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,24.95,7.71,6.64,0.93,0.0,1.88,57.81,6.22
2015,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,34.27,12.75,13.91,2.24,0.0,6.44,74.31,15.36
2016,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,46.86,17.63,19.91,5.21,0.24,31.81,112.86,21.52
2017,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,52.6,15.9,27.04,5.33,0.35,33.89,125.19,12.03
2018,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,59.77,12.49,22.82,0.78,0.0,36.95,145.56,32.59
2019,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,201.24,127.63,71.46,1.34,8.27,49.58,309.62,75.56
2020,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,243.91,140.52,69.12,0.61,16.56,62.85,381.41,99.84
2021,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,335.12,205.87,98.71,0.81,30.09,58.28,473.03,151.49
2022,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,489.73,290.04,190.62,1.42,75.79,103.77,695.56,239.26
2023,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,773.91,497.3,187.23,1.59,68.24,129.89,1033.6,222.83
2024,CHEMM.CO,Chemometec A/S,Healthcare Equipment & Supplies,Health Care,750.48,453.77,150.97,2.04,30.59,141.04,1036.82,198.98
