Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2009,EPISb.ST,Episurf Medical AB,Healthcare Equipment & Supplies,Health Care,0.39,0.24,0.36,0.0,0.0,0.0,0.42,-0.23
2010,EPISb.ST,Episurf Medical AB,Healthcare Equipment & Supplies,Health Care,6.62,6.09,1.33,0.0,0.0,0.0,7.04,-3.75
2011,EPISb.ST,Episurf Medical AB,Healthcare Equipment & Supplies,Health Care,35.12,34.37,1.77,0.0,0.0,0.0,36.62,-7.85
2012,EPISb.ST,Episurf Medical AB,Healthcare Equipment & Supplies,Health Care,21.63,19.75,3.01,0.0,0.0,0.1,23.89,-12.93
2013,EPISb.ST,Episurf Medical AB,Healthcare Equipment & Supplies,Health Care,67.11,64.91,4.53,0.0,0.03,0.49,72.02,-18.63
2014,EPISb.ST,Episurf Medical AB,Healthcare Equipment & Supplies,Health Care,35.38,33.06,4.21,0.0,0.0,0.41,41.44,-29.08
2015,EPISb.ST,Episurf Medical AB,Healthcare Equipment & Supplies,Health Care,111.7,108.8,8.65,0.0,0.0,0.44,123.7,-36.37
2016,EPISb.ST,Episurf Medical AB,Healthcare Equipment & Supplies,Health Care,44.9,40.11,11.0,0.0,0.0,0.36,57.19,-55.08
2017,EPISb.ST,Episurf Medical AB,Healthcare Equipment & Supplies,Health Care,77.08,71.33,7.7,0.0,0.0,0.25,93.35,-59.44
2018,EPISb.ST,Episurf Medical AB,Healthcare Equipment & Supplies,Health Care,32.79,27.62,9.66,2.73,0.0,0.1,53.48,-48.98
2019,EPISb.ST,Episurf Medical AB,Healthcare Equipment & Supplies,Health Care,28.32,23.72,11.91,0.0,0.0,0.09,54.01,-55.09
2020,EPISb.ST,Episurf Medical AB,Healthcare Equipment & Supplies,Health Care,167.39,161.85,14.51,0.0,0.0,0.0,193.59,-55.37
2021,EPISb.ST,Episurf Medical AB,Healthcare Equipment & Supplies,Health Care,238.11,231.78,13.83,0.0,0.0,0.1,263.64,-59.83
2022,EPISb.ST,Episurf Medical AB,Healthcare Equipment & Supplies,Health Care,151.54,146.18,13.84,0.0,0.0,0.09,185.62,-66.04
2023,EPISb.ST,Episurf Medical AB,Healthcare Equipment & Supplies,Health Care,65.44,58.29,17.52,0.0,0.0,0.0,105.01,-84.4
2024,EPISb.ST,Episurf Medical AB,Healthcare Equipment & Supplies,Health Care,61.38,51.92,14.29,0.0,0.0,0.0,100.55,-72.61
