Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2015,ONCIN.OL,Oncoinvent ASA,Biotechnology & Medical Research,Health Care,82.03,73.99,12.07,0.0,0.0,0.36,82.39,-62.9
2016,ONCIN.OL,Oncoinvent ASA,Biotechnology & Medical Research,Health Care,174.13,161.82,21.27,0.0,0.0,0.41,174.54,-124.31
2017,ONCIN.OL,Oncoinvent ASA,Biotechnology & Medical Research,Health Care,383.78,370.35,33.99,0.0,0.0,0.56,384.34,-168.11
2018,ONCIN.OL,Oncoinvent ASA,Biotechnology & Medical Research,Health Care,378.25,360.41,41.55,0.0,0.0,0.58,378.83,-186.71
2019,ONCIN.OL,Oncoinvent ASA,Biotechnology & Medical Research,Health Care,269.4,253.59,50.62,0.0,0.0,0.97,270.38,-186.68
2020,ONCIN.OL,Oncoinvent ASA,Biotechnology & Medical Research,Health Care,735.87,721.64,66.6,0.0,0.0,2.33,738.2,-234.29
2021,ONCIN.OL,Oncoinvent ASA,Biotechnology & Medical Research,Health Care,449.05,436.65,64.87,0.0,0.0,1.19,450.24,-303.34
2022,ONCIN.OL,Oncoinvent ASA,Biotechnology & Medical Research,Health Care,166.66,150.8,77.93,0.0,0.0,0.04,166.71,-288.23
2023,ONCIN.OL,Oncoinvent ASA,Biotechnology & Medical Research,Health Care,173.9,156.42,46.86,0.0,0.0,0.43,174.34,-225.1
2024,ONCIN.OL,Oncoinvent ASA,Biotechnology & Medical Research,Health Care,154.54,140.16,32.28,0.0,0.0,1.25,155.8,-153.24
