Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,MarketCap,PROF
1997,ACTI.ST,Active Biotech AB publ,Biotechnology & Medical Research,Health Care,423.21,310.52,98.7,14.77,50.62,508.32,21.9,583.09,-0.04122816943910076
1998,ACTI.ST,Active Biotech AB publ,Biotechnology & Medical Research,Health Care,488.87,358.22,255.89,127.72,16.4,1282.41,3.54,1109.03,-0.010824682141607379
1999,ACTI.ST,Active Biotech AB publ,Biotechnology & Medical Research,Health Care,252.4,139.59,348.55,255.6,4.47,1002.73,0.0,1625.08,0.015348099687852149
2000,ACTI.ST,Active Biotech AB publ,Biotechnology & Medical Research,Health Care,269.54,172.88,350.08,261.2,3.84,601.85,0.0,1083.53,0.006546481681482146
2001,ACTI.ST,Active Biotech AB publ,Biotechnology & Medical Research,Health Care,89.04,66.62,304.19,256.47,1.42,581.17,0.0,931.37,-0.04597622038302041
2002,ACTI.ST,Active Biotech AB publ,Biotechnology & Medical Research,Health Care,3.16,0.16,262.96,233.91,1.99,303.48,0.0,201.54,-0.09239488598919197
2003,ACTI.ST,Active Biotech AB publ,Biotechnology & Medical Research,Health Care,0.29,0.0,295.66,249.48,1.34,268.46,0.0,1907.99,-0.1759293749534383
2004,ACTI.ST,Active Biotech AB publ,Biotechnology & Medical Research,Health Care,63.98,0.0,234.55,206.18,24.32,95.12,0.0,1124.8,0.11869217830109327
2005,ACTI.ST,Active Biotech AB publ,Biotechnology & Medical Research,Health Care,7.9,0.0,170.22,146.37,34.67,150.14,0.0,2739.12,-0.3371519914746237
2006,ACTI.ST,Active Biotech AB publ,Biotechnology & Medical Research,Health Care,57.74,0.0,166.14,144.2,33.46,54.96,0.0,2825.49,0.042576419213973864
2007,ACTI.ST,Active Biotech AB publ,Biotechnology & Medical Research,Health Care,10.47,0.0,186.15,164.46,20.51,159.43,0.0,2337.04,-0.19902151414413846
2008,ACTI.ST,Active Biotech AB publ,Biotechnology & Medical Research,Health Care,45.72,0.0,203.61,177.39,23.17,145.49,0.0,1412.53,-0.025225101381538457
2009,ACTI.ST,Active Biotech AB publ,Biotechnology & Medical Research,Health Care,8.87,0.0,189.57,174.51,11.79,152.63,0.0,5221.41,-0.11780121863329623
2010,ACTI.ST,Active Biotech AB publ,Biotechnology & Medical Research,Health Care,9.54,0.0,201.82,182.46,10.24,157.7,0.0,9676.68,-0.12720355104629036
2011,ACTI.ST,Active Biotech AB publ,Biotechnology & Medical Research,Health Care,202.62,0.0,289.78,275.15,8.09,435.58,0.0,1321.7,0.4130125350107902
2012,ACTI.ST,Active Biotech AB publ,Biotechnology & Medical Research,Health Care,195.87,0.0,336.14,322.52,10.03,290.98,0.0,3245.04,0.5918619836414873
2013,ACTI.ST,Active Biotech AB publ,Biotechnology & Medical Research,Health Care,104.67,0.0,293.31,277.99,12.31,382.08,0.0,4907.55,0.20163316582914576
2014,ACTI.ST,Active Biotech AB publ,Biotechnology & Medical Research,Health Care,9.55,0.0,219.41,203.82,10.75,388.49,0.0,1620.13,-0.04321861566578291
2015,ACTI.ST,Active Biotech AB publ,Biotechnology & Medical Research,Health Care,15.56,0.0,185.68,168.49,6.57,189.01,0.0,1298.51,-0.04338394793926246
2016,ACTI.ST,Active Biotech AB publ,Biotechnology & Medical Research,Health Care,18.7,0.0,72.83,57.2,7.0,173.12,0.0,959.52,-0.022701016635859498
2017,ACTI.ST,Active Biotech AB publ,Biotechnology & Medical Research,Health Care,19.61,0.0,67.32,47.79,6.91,77.73,0.0,168.58,-0.08786826193232979
2018,ACTI.ST,Active Biotech AB publ,Biotechnology & Medical Research,Health Care,18.78,0.0,46.72,36.82,6.53,85.79,0.0,425.9,0.027392469984846745
2019,ACTI.ST,Active Biotech AB publ,Biotechnology & Medical Research,Health Care,7.84,0.0,37.88,26.5,1.87,50.43,0.0,306.41,-0.10727741423755707
2020,ACTI.ST,Active Biotech AB publ,Biotechnology & Medical Research,Health Care,6.88,0.0,39.95,26.15,0.16999999999999998,23.09,0.0,429.94,-0.30705933304460825
2021,ACTI.ST,Active Biotech AB publ,Biotechnology & Medical Research,Health Care,0.0,0.0,49.89,34.61,0.06,45.47,0.0,268.43,-0.33736529579942826
2022,ACTI.ST,Active Biotech AB publ,Biotechnology & Medical Research,Health Care,0.0,0.0,55.0,40.69,0.71,32.48,0.0,239.85,-0.46243842364532034
2023,ACTI.ST,Active Biotech AB publ,Biotechnology & Medical Research,Health Care,0.0,0.0,46.26,32.39,0.48,30.87,0.0,166.13,-0.4648526077097505
2024,ACTI.ST,Active Biotech AB publ,Biotechnology & Medical Research,Health Care,0.0,0.0,40.52,27.13,0.36,33.66,0.0,121.41,-0.40849673202614395
