Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,MarketCap,PROF
2004,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,26297.12,22716.57,2729.0,0.0,0.0,2414.98,0.0,11010.83,0.3526116158311867
2005,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,24258.85,20878.2,2482.37,0.0,0.0,2398.87,0.0,10275.37,0.3744596414144985
2006,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,25067.73,21545.3,2735.7999999999997,0.0,0.0,2203.46,0.0,14065.04,0.3569976309985208
2007,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,25299.5,21771.83,2744.99,0.0,1.73,1809.83,0.0,11494.62,0.4315046164556884
2008,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,27081.82,23446.74,2883.2700000000004,0.0,2.57,2008.76,0.0,7814.82,0.3729863199187547
2009,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,26647.11,22971.59,2924.95,0.0,2.47,2132.01,0.0,8893.74,0.35088953616540286
2010,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,28771.93,24847.49,3122.41,0.0,3.36,2578.67,0.0,11449.26,0.30972167822947444
2011,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,30052.3,25804.64,3386.56,0.0,3.45,2808.77,0.0,11545.55,0.3053471804384125
2012,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,31202.08,26999.52,3510.7300000000005,0.0,23.2,2908.79,23.97,11003.91,0.22798660647308366
2013,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,33864.31,29234.39,3840.22,0.0,19.86,3551.17,32.04,15957.01,0.21484646448296316
2014,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,35350.69,30463.84,3994.91,0.0,16.53,3861.8,34.51,23460.45,0.22467668127022805
2015,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,39436.47,33800.23,4413.37,0.0,13.39,4740.93,1.05,32243.6,0.25505801374109505
2016,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,42572.7,36480.65,4759.54,0.0,12.77,3904.23,0.95,28500.27,0.337946010171105
2017,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,44512.93,38061.810000000005,5210.68,0.0,10.65,4268.76,212.14,33202.0,0.27445156107031954
2018,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,45030.08,38305.3,5397.8099999999995,0.0,12.17,4200.1,218.59,31068.82,0.2975542525047014
2019,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,47217.82,39826.19,6468.5,0.0,110.74000000000001,3769.4,214.72,41010.61,0.20390701083300639
2020,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,54956.89,46208.170000000006,7649.49,0.0,135.10000000000002,4522.43,242.25,42032.42,0.20234937078670426
2021,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,58018.77,49053.020000000004,7905.41,0.0,134.3,4824.63,218.24,53244.65,0.1836335261468158
2022,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,69810.93,59981.67,8464.83,0.0,183.36999999999998,6220.82,274.85,58354.19,0.18182266032603178
2023,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,80727.87,69207.55,8617.09,0.0,382.19,6923.52,310.08,59598.66,0.3485180269851792
2024,AXFO.ST,Axfood AB,Food & Drug Retailing,Consumer Staples,85485.76,73046.87000000001,9815.04,0.0,462.74,7251.16,344.41,52166.93,0.2845224255717457
