Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,MarketCap,PROF
2009,BWLPG.OL,BW LPG Ltd,Oil & Gas Related Equipment and Services,Energy,185.69,144.56,83.81,0.0,1.06,-198.25,0.0,,0.2206305170239597
2010,BWLPG.OL,BW LPG Ltd,Oil & Gas Related Equipment and Services,Energy,511.67,550.83,155.0,0.0,0.04,-424.99,0.0,,0.45695192828066544
2011,BWLPG.OL,BW LPG Ltd,Oil & Gas Related Equipment and Services,Energy,1323.28,588.14,863.0999999999999,0.0,0.04,132.57,52.5,,-0.6916301939806556
2012,BWLPG.OL,BW LPG Ltd,Oil & Gas Related Equipment and Services,Energy,2197.19,895.14,1079.26,0.0,0.26,-26.06,50.65,,9.049613664091103
2013,BWLPG.OL,BW LPG Ltd,Oil & Gas Related Equipment and Services,Energy,2640.55,943.47,1251.3,0.0,0.94,5853.97,59.03,7869.96,0.07523084728564185
2014,BWLPG.OL,BW LPG Ltd,Oil & Gas Related Equipment and Services,Energy,4712.66,1312.8,1715.3500000000001,0.0,7.82,8005.46,71.42,6963.51,0.2075912976297778
2015,BWLPG.OL,BW LPG Ltd,Oil & Gas Related Equipment and Services,Energy,6235.32,1183.98,2281.51,0.0,14.22,10263.27,85.65,9944.22,0.2662702968039177
2016,BWLPG.OL,BW LPG Ltd,Oil & Gas Related Equipment and Services,Energy,4252.39,838.03,2500.11,0.0,23.38,9589.95,60.83,5154.14,0.09231067333417614
2017,BWLPG.OL,BW LPG Ltd,Oil & Gas Related Equipment and Services,Energy,4064.7,1292.09,2834.05,0.0,15.92,8783.59,27.02,5470.99,-0.008780322815332935
2018,BWLPG.OL,BW LPG Ltd,Oil & Gas Related Equipment and Services,Energy,4247.38,1797.91,2446.3900000000003,0.0,15.87,8493.08,4.16,3631.36,-0.0015051946279027158
2019,BWLPG.OL,BW LPG Ltd,Oil & Gas Related Equipment and Services,Energy,7189.82,2374.86,2436.5,0.0,520.19,10334.92,0.0,10236.94,0.17980497188173677
2020,BWLPG.OL,BW LPG Ltd,Oil & Gas Related Equipment and Services,Energy,7639.1,2455.86,2703.01,0.0,436.47999999999996,10735.84,0.0,8148.78,0.19036703229556323
2021,BWLPG.OL,BW LPG Ltd,Oil & Gas Related Equipment and Services,Energy,10669.05,6698.72,2546.92,0.0,354.91999999999996,12083.34,121.86,6853.75,0.0875438337757676
2022,BWLPG.OL,BW LPG Ltd,Oil & Gas Related Equipment and Services,Energy,14969.56,9516.83,2893.71,0.0,310.42,14466.81,1174.19,10110.28,0.14376318649702702
2023,BWLPG.OL,BW LPG Ltd,Oil & Gas Related Equipment and Services,Energy,31098.44,21697.8,4089.2799999999997,0.0,311.69,14895.69,1180.2,19831.48,0.31100424299992097
2024,BWLPG.OL,BW LPG Ltd,Oil & Gas Related Equipment and Services,Energy,38288.14,29811.08,3860.67,0.0,243.79999999999998,20515.44,1505.53,19689.77,0.1985648225305242
