Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,MarketCap,PROF
2004,CTH1V.HE,Componenta Oyj,Metals & Mining,Materials,2644.08,2454.14,130.53,0.0,0.0,399.54,62.61,419.81,0.12855133614627295
2005,CTH1V.HE,Componenta Oyj,Metals & Mining,Materials,2748.82,2619.06,132.16,0.0,0.0,388.04,0.8,457.43,-0.0061722045057087185
2006,CTH1V.HE,Componenta Oyj,Metals & Mining,Materials,2912.7,2677.02,139.97,11.26,0.0,452.36,310.07,708.08,0.14030140471912153
2007,CTH1V.HE,Componenta Oyj,Metals & Mining,Materials,5084.5,4672.74,196.27,18.43,0.0,723.89,73.74,726.18,0.29326880884620715
2008,CTH1V.HE,Componenta Oyj,Metals & Mining,Materials,5611.69,5096.97,196.83,21.41,0.0,624.23,66.02,504.75,0.49156102861282047
2009,CTH1V.HE,Componenta Oyj,Metals & Mining,Materials,2614.67,2663.54,109.09,16.58,0.0,509.24,53.91,596.54,-0.2510521175530496
2010,CTH1V.HE,Componenta Oyj,Metals & Mining,Materials,3614.15,3383.67,128.85,14.41,0.0,550.6,56.85,817.11,0.19102806815375753
2011,CTH1V.HE,Componenta Oyj,Metals & Mining,Materials,4491.4,4178.93,157.4,18.7,0.0,261.5,56.48,456.26,0.5464809107491015
2012,CTH1V.HE,Componenta Oyj,Metals & Mining,Materials,4071.7,3925.96,133.78,23.92,0.0,547.55,64.59,316.56,0.05861404253928804
2013,CTH1V.HE,Componenta Oyj,Metals & Mining,Materials,3986.29,3773.12,143.68,20.3,0.0,647.87,61.7,397.8,0.12654142649773814
2014,CTH1V.HE,Componenta Oyj,Metals & Mining,Materials,4138.19,3928.44,191.37,23.4,0.0,931.91,72.31,628.63,0.04160442930831844
2015,CTH1V.HE,Componenta Oyj,Metals & Mining,Materials,1879.27,1890.01,200.36,8.05,0.0,106.56,72.96,639.64,-1.1310717468805707
2016,CTH1V.HE,Componenta Oyj,Metals & Mining,Materials,1290.13,1411.8,191.34,1.86,0.0,-1177.69,0.0,287.88,0.26420365291375475
2017,CTH1V.HE,Componenta Oyj,Metals & Mining,Materials,1142.02,1157.88,32.66,0.0,0.0,180.17,0.0,251.31,-0.26930121551867753
2018,CTH1V.HE,Componenta Oyj,Metals & Mining,Materials,377.34,364.86,21.12,0.0,0.0,190.23,0.0,263.1,-0.0454187036744995
2019,CTH1V.HE,Componenta Oyj,Metals & Mining,Materials,499.14,483.38,32.49,0.0,0.0,156.47,0.0,261.51,-0.10692145459193463
2020,CTH1V.HE,Componenta Oyj,Metals & Mining,Materials,751.05,715.39,62.01,0.0,5.11,250.08,0.0,314.64,-0.1257997440818939
2021,CTH1V.HE,Componenta Oyj,Metals & Mining,Materials,886.65,839.54,50.26,0.0,1.53,234.85,0.0,318.45,-0.019927613370236255
2022,CTH1V.HE,Componenta Oyj,Metals & Mining,Materials,1101.1,1032.88,55.82,0.0,7.08,250.57,0.0,238.28,0.0212315919703069
2023,CTH1V.HE,Componenta Oyj,Metals & Mining,Materials,1161.38,1109.75,17.29,0.0,12.73,285.78,0.0,255.3,0.07561760795017185
2024,CTH1V.HE,Componenta Oyj,Metals & Mining,Materials,1128.79,1078.03,61.49,0.0,14.41,303.95,0.0,315.44,-0.08271097219937494
