Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,MarketCap,PROF
2007,EAST9.ST,Eastnine AB (publ),Real Estate Operations,Real Estate,0.0,0.0,7.93,0.0,0.0,3382.16,0.0,3050.31,-0.0023446554864347043
2008,EAST9.ST,Eastnine AB (publ),Real Estate Operations,Real Estate,0.0,0.0,29.48,0.0,0.0,2674.11,0.0,1296.55,-0.011024228621859235
2009,EAST9.ST,Eastnine AB (publ),Real Estate Operations,Real Estate,0.0,0.0,51.82,0.0,0.0,3164.43,0.0,1924.43,-0.016375776996173087
2010,EAST9.ST,Eastnine AB (publ),Real Estate Operations,Real Estate,0.0,0.0,202.82999999999998,0.0,0.0,4092.0,0.0,2562.78,-0.0495674486803519
2011,EAST9.ST,Eastnine AB (publ),Real Estate Operations,Real Estate,0.0,0.0,56.300000000000004,0.0,0.0,2624.13,0.0,1625.46,-0.021454729758053147
2012,EAST9.ST,Eastnine AB (publ),Real Estate Operations,Real Estate,0.0,0.0,94.27,0.0,0.0,2205.77,0.0,1413.97,-0.04273791011755532
2013,EAST9.ST,Eastnine AB (publ),Real Estate Operations,Real Estate,0.0,0.0,16.52,0.0,0.0,2579.7,0.0,1843.6,-0.00640384540838082
2014,EAST9.ST,Eastnine AB (publ),Real Estate Operations,Real Estate,0.0,0.0,17.13,0.0,0.0,2361.98,0.0,1219.78,-0.007252389944030008
2015,EAST9.ST,Eastnine AB (publ),Real Estate Operations,Real Estate,0.0,0.0,17.15,0.0,0.0,2434.19,0.0,1512.49,-0.007045464815811419
2016,EAST9.ST,Eastnine AB (publ),Real Estate Operations,Real Estate,0.0,0.0,26.53,0.0,0.0,2247.85,0.0,1782.63,-0.011802388949440577
2017,EAST9.ST,Eastnine AB (publ),Real Estate Operations,Real Estate,0.0,0.0,32.85,0.0,0.0,2387.02,0.0,2030.02,-0.013761929099881862
2018,EAST9.ST,Eastnine AB (publ),Real Estate Operations,Real Estate,46.62,6.06,30.42,0.0,5.91,2385.96,0.0,2028.03,0.0017728712970879617
2019,EAST9.ST,Eastnine AB (publ),Real Estate Operations,Real Estate,131.41,13.8,38.45,0.0,21.9,2639.17,0.0,2882.07,0.021696215097928514
2020,EAST9.ST,Eastnine AB (publ),Real Estate Operations,Real Estate,205.74,18.11,38.129999999999995,0.0,39.71,3247.01,0.0,2919.88,0.033812646095946725
2021,EAST9.ST,Eastnine AB (publ),Real Estate Operations,Real Estate,218.78,23.31,39.629999999999995,0.0,56.91,3764.26,0.0,3452.31,0.026281393952596262
2022,EAST9.ST,Eastnine AB (publ),Real Estate Operations,Real Estate,305.83,28.38,43.25,0.0,94.62,5016.81,0.0,2543.61,0.027822460886499582
2023,EAST9.ST,Eastnine AB (publ),Real Estate Operations,Real Estate,412.56,28.92,42.64,0.0,154.98,4475.98,0.0,3873.71,0.04155961376056194
2024,EAST9.ST,Eastnine AB (publ),Real Estate Operations,Real Estate,482.48,34.51,50.86,0.0,171.91,5145.18,0.0,4726.38,0.043769119836429435
