Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,MarketCap,PROF
2004,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,11346.12,4001.27,5549.2300000000005,108.78,292.02,7278.15,255.37,11217.16,0.21402744002803467
2005,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,10710.93,4532.5,5225.32,52.86,241.88,10677.47,99.01,17262.43,0.0709034861104925
2006,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,12213.89,5544.67,4926.09,48.26,189.03,10754.69,38.66,23577.04,0.14845807835380112
2007,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,12564.26,5663.69,4649.51,60.08,320.44,8193.48,15.86,23035.55,0.24249208827993485
2008,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,12229.76,5372.86,4732.12,69.18,431.54,8479.09,15.53,18243.28,0.20747484878664388
2009,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,12483.4,5029.49,5156.04,67.2,364.8,7457.8,6.64,20788.07,0.2679732170129306
2010,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,11709.98,4804.2,4802.59,0.0,313.72,6462.35,24.14,21072.53,0.275876475566909
2011,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,11921.99,5013.47,4655.82,22.6,309.35,6474.07,27.08,20798.34,0.30240034455442505
2012,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,11609.71,4899.79,4511.15,17.19,208.52,6180.87,20.55,20523.86,0.323706505929287
2013,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,12083.03,4840.55,5082.62,17.18,212.39,7173.27,15.84,26578.69,0.27328139366347165
2014,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,12829.05,5064.93,5284.71,16.71,222.29,7936.15,5.42,34198.16,0.28631995940349314
2015,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,14038.65,5447.3,5842.65,14.31,214.67,8883.86,4.8,55887.39,0.28669563241253454
2016,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,15192.65,5818.11,6264.870000000001,14.86,208.05,8814.97,4.54,46995.68,0.3306850380576698
2017,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,16676.85,6490.11,6713.1,16.79,204.33,10235.0,0.98,53904.1,0.3210342341427003
2018,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,17585.06,6763.26,7037.860000000001,9.6,222.75,11159.01,4.95,59817.09,0.31984976657028513
2019,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,18149.08,6823.5,7492.950000000001,15.75,222.49,11312.75,6.89,81098.82,0.32031849069405044
2020,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,20316.21,7653.16,8322.28,25.74,185.52,12390.18,15.71,78658.6,0.3370165300514512
2021,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,20302.02,7759.46,8257.38,96.54,130.07,11991.75,63.07,90665.72,0.3526929477171789
2022,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,21494.67,8284.96,8536.3,135.26,138.28,13068.64,56.62,86771.92,0.3558321892290134
2023,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,24873.85,9330.12,10158.3,176.81,314.84,14433.18,36.91,78365.96,0.36263768919198136
2024,ELISA.HE,Elisa Oyj,Telecommunications Services,Communication Services,25464.37,9108.61,10759.76,212.64,446.2,15126.42,85.9,82305.2,0.3525063895579371
