Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,MarketCap,PROF
2004,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,885.76,758.16,0.0,0.0,4.13,180.61,0.0,498.71,0.6836277061070817
2005,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,982.73,824.82,0.0,0.0,5.15,235.1,0.0,1041.41,0.6497660569970224
2006,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,1069.69,914.14,0.0,0.0,7.85,290.06,0.0,856.62,0.5092049920706063
2007,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,1240.7,1065.7,0.0,0.0,12.46,311.28,0.0,565.15,0.5221665381649961
2008,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,1156.94,1007.04,0.0,0.0,14.37,344.99,0.0,201.68,0.3928519667236734
2009,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,942.11,814.66,0.0,0.0,5.79,337.57,0.0,475.76,0.3603993245845307
2010,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,1182.28,1010.95,0.0,0.0,4.76,422.91,0.0,763.45,0.39386630725213384
2011,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,1333.78,1127.26,0.0,0.0,7.5,481.15,0.0,610.43,0.4136340018705185
2012,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,1117.72,936.65,89.13000000000001,0.0,6.3,515.58,0.0,751.17,0.16610419333566087
2013,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,1141.57,965.33,96.39,0.0,4.8,598.03,0.0,983.92,0.1254953764861293
2014,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,1222.68,1038.84,100.27000000000001,0.0,3.73,640.53,0.0,875.59,0.12464677688788993
2015,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,1614.86,1401.65,111.86999999999999,0.0,3.82,752.48,0.0,1167.97,0.1295981288539228
2016,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,2008.1,1707.62,142.38,0.0,5.89,775.72,0.0,1634.43,0.1962177074202032
2017,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,2233.01,1909.58,146.22,0.0,0.97,907.59,0.0,1594.03,0.19418459877257382
2018,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,2577.16,2203.51,166.69,0.0,3.75,994.4,0.0,1255.93,0.20435438455349925
2019,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,2194.32,1904.9,149.83,0.0,2.79,1022.05,0.0,1210.99,0.13384863754219467
2020,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,2182.06,1943.59,138.16,0.0,4.09,1202.92,0.0,1550.64,0.07998869417750143
2021,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,3273.21,2806.18,216.48,0.0,3.01,1265.59,0.0,2420.11,0.19559256947352638
2022,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,3484.18,2988.2,240.38,0.0,1.9,1378.95,0.94,1643.45,0.18385523483755953
2023,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,4064.71,3477.5,301.58000000000004,0.0,3.98,1633.98,3.02,2790.75,0.17205253512522906
2024,KABEb.ST,KABE Group AB,Automobiles & Auto Parts,Consumer Discretionary,3860.52,3343.89,306.12,0.0,3.05,1809.45,2.06,2775.86,0.11452324304033656
