Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,MarketCap,PROF
2008,LOGIa.ST,Logistea AB,Real Estate Operations,Real Estate,0.0,95.34,79.91999999999999,0.0,0.0,84.43,0.0,52.93,-2.0758024398910337
2009,LOGIa.ST,Logistea AB,Real Estate Operations,Real Estate,0.0,125.11,98.06,0.0,0.0,97.76,0.0,163.17,-2.2828355155482813
2010,LOGIa.ST,Logistea AB,Real Estate Operations,Real Estate,0.0,134.23,121.84,0.0,0.0,119.79,0.0,90.53,-2.1376575674096334
2011,LOGIa.ST,Logistea AB,Real Estate Operations,Real Estate,0.0,112.24,122.31,0.0,0.0,110.18,0.0,38.16,-2.128789253948085
2012,LOGIa.ST,Logistea AB,Real Estate Operations,Real Estate,0.0,90.05000000000001,102.4,0.0,0.0,94.62,0.0,31.89,-2.0339251743817375
2013,LOGIa.ST,Logistea AB,Real Estate Operations,Real Estate,0.0,94.30000000000001,133.82,0.0,0.0,78.22,0.0,48.97,-2.916389670161084
2014,LOGIa.ST,Logistea AB,Real Estate Operations,Real Estate,0.0,124.4,141.47000000000003,0.0,0.0,86.13,0.0,54.23,-3.086845466155811
2015,LOGIa.ST,Logistea AB,Real Estate Operations,Real Estate,0.0,147.66,170.54000000000002,0.0,0.0,97.45,0.0,56.58,-3.265264238070806
2016,LOGIa.ST,Logistea AB,Real Estate Operations,Real Estate,0.0,184.5,206.96,0.0,0.0,100.26,0.0,60.96,-3.9044484340714143
2017,LOGIa.ST,Logistea AB,Real Estate Operations,Real Estate,0.0,193.75,229.03,0.0,0.0,91.06,0.0,31.81,-4.642872831100373
2018,LOGIa.ST,Logistea AB,Real Estate Operations,Real Estate,0.0,151.16,230.46,0.0,0.0,73.78,0.0,16.0,-5.172404445649227
2019,LOGIa.ST,Logistea AB,Real Estate Operations,Real Estate,248.57,134.14,183.27,0.0,2.91,122.43,0.0,20.5,-0.5860491709548313
2020,LOGIa.ST,Logistea AB,Real Estate Operations,Real Estate,185.48,86.42999999999999,158.95999999999998,0.0,0.7,491.03,0.0,245.46,-0.12343441337596478
2021,LOGIa.ST,Logistea AB,Real Estate Operations,Real Estate,93.21,28.06,24.05,0.0,0.0,1022.02,0.0,3170.57,0.04021447721179624
2022,LOGIa.ST,Logistea AB,Real Estate Operations,Real Estate,244.19,67.46,36.11,0.0,6.65,1754.52,0.0,1361.52,0.07635706632013314
2023,LOGIa.ST,Logistea AB,Real Estate Operations,Real Estate,355.31,94.55,35.83,0.0,2.99,2702.16,0.0,2654.15,0.08213429256594725
2024,LOGIa.ST,Logistea AB,Real Estate Operations,Real Estate,718.0,113.9,82.38,0.0,49.84,7017.78,0.0,7874.01,0.06724063735255309
