Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,MarketCap,PROF
2004,MEKO.ST,Meko AB,Specialty Retailers,Consumer Discretionary,1971.97,1041.72,735.21,0.0,11.85,758.77,21.12,2489.31,0.23489210016797238
2005,MEKO.ST,Meko AB,Specialty Retailers,Consumer Discretionary,2015.45,1076.29,782.52,0.0,11.65,773.22,19.31,2384.76,0.18294575599661855
2006,MEKO.ST,Meko AB,Specialty Retailers,Consumer Discretionary,2131.73,1109.46,822.99,0.0,6.7,849.62,18.39,3000.4,0.22186380341240305
2007,MEKO.ST,Meko AB,Specialty Retailers,Consumer Discretionary,2210.21,1121.57,872.82,0.0,7.8,822.5,15.14,3790.25,0.24834057590372957
2008,MEKO.ST,Meko AB,Specialty Retailers,Consumer Discretionary,2301.65,1126.45,963.0799999999999,0.0,6.84,740.73,16.01,1921.45,0.2712688638105559
2009,MEKO.ST,Meko AB,Specialty Retailers,Consumer Discretionary,2638.54,1259.19,1116.81,0.0,4.12,709.59,14.56,3871.33,0.35685976662293717
2010,MEKO.ST,Meko AB,Specialty Retailers,Consumer Discretionary,2894.83,1349.58,1133.74,0.0,2.52,828.61,16.49,5972.72,0.48395456159034433
2011,MEKO.ST,Meko AB,Specialty Retailers,Consumer Discretionary,3659.48,1611.66,1584.88,0.0,18.14,1335.4,14.75,6406.54,0.3294448764952041
2012,MEKO.ST,Meko AB,Specialty Retailers,Consumer Discretionary,4548.05,2127.06,2082.36,0.0,43.83,1971.44,11.13,6346.31,0.14869588463459052
2013,MEKO.ST,Meko AB,Specialty Retailers,Consumer Discretionary,5180.46,2375.43,2493.65,0.0,46.93,2099.79,11.31,6699.43,0.12526644877078305
2014,MEKO.ST,Meko AB,Specialty Retailers,Consumer Discretionary,4833.58,2146.73,2208.27,0.0,37.66,1980.26,13.42,7019.97,0.2211588620039324
2015,MEKO.ST,Meko AB,Specialty Retailers,Consumer Discretionary,5377.14,2417.99,2501.17,0.0,31.55,2242.79,12.56,6500.16,0.18907486642871416
2016,MEKO.ST,Meko AB,Specialty Retailers,Consumer Discretionary,5681.6,2637.53,2720.01,0.0,27.49,2190.62,13.28,5838.89,0.13456599664231586
2017,MEKO.ST,Meko AB,Specialty Retailers,Consumer Discretionary,5664.82,2569.99,2723.96,0.0,28.08,2364.53,16.01,5361.76,0.1439967402354087
2018,MEKO.ST,Meko AB,Specialty Retailers,Consumer Discretionary,7284.79,3653.16,3411.56,0.0,49.63,3735.59,24.4,5037.51,0.045329907792308
2019,MEKO.ST,Meko AB,Specialty Retailers,Consumer Discretionary,11019.97,6081.36,4444.459999999999,0.0,140.52,4034.76,30.01,4922.32,0.08699877237826507
2020,MEKO.ST,Meko AB,Specialty Retailers,Consumer Discretionary,11781.3,6466.36,4799.110000000001,0.0,136.12,4727.1,71.01,5366.73,0.07913741035532719
2021,MEKO.ST,Meko AB,Specialty Retailers,Consumer Discretionary,12336.17,6723.81,4956.92,0.0,115.25,5040.92,53.59,8635.08,0.10603375005643322
2022,MEKO.ST,Meko AB,Specialty Retailers,Consumer Discretionary,13365.68,7358.87,5579.25,0.0,144.42,5460.28,117.66,5979.4,0.050760675087935775
2023,MEKO.ST,Meko AB,Specialty Retailers,Consumer Discretionary,16682.82,9455.13,6822.619999999999,0.0,284.65,6078.85,137.93,6213.73,0.019370156254524293
2024,MEKO.ST,Meko AB,Specialty Retailers,Consumer Discretionary,18352.74,10434.39,7398.65,0.0,294.93,6633.27,171.69,7760.63,0.03303031906139089
