Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,MarketCap,PROF
2004,MGN.OL,Magnora ASA,Renewable Energy,Energy,0.98,0.0,11.57,0.0,0.15,187.73,0.0,346.46,-0.0572098226175891
2005,MGN.OL,Magnora ASA,Renewable Energy,Energy,147.86,0.0,172.57,0.0,0.82,835.55,48.66,1613.9,-0.02887323147216157
2006,MGN.OL,Magnora ASA,Renewable Energy,Energy,140.3,0.0,340.83,0.0,0.0,2231.71,48.68,2799.4,-0.08793671257986571
2007,MGN.OL,Magnora ASA,Renewable Energy,Energy,481.24,0.0,1073.71,0.0,0.0,3107.24,35.5,8280.05,-0.18852020848049794
2008,MGN.OL,Magnora ASA,Renewable Energy,Energy,680.38,0.0,1441.49,0.0,0.0,4865.14,268.02,825.99,-0.14827318844532414
2009,MGN.OL,Magnora ASA,Renewable Energy,Energy,1223.71,0.0,1477.66,0.0,425.59000000000003,5645.93,219.97,3041.88,-0.11584582076066759
2010,MGN.OL,Magnora ASA,Renewable Energy,Energy,433.72,0.0,922.1600000000001,0.0,212.01999999999998,4704.54,4.24,1947.58,-0.14875615339854487
2011,MGN.OL,Magnora ASA,Renewable Energy,Energy,560.81,0.0,972.0400000000001,0.0,1629.21,732.13,4.78,149.66,-2.768913435833413
2012,MGN.OL,Magnora ASA,Renewable Energy,Energy,615.21,0.0,677.4200000000001,0.0,12.8,513.46,11.13,604.78,-0.14298785718370544
2013,MGN.OL,Magnora ASA,Renewable Energy,Energy,603.05,0.0,543.6899999999999,0.0,2.94,746.15,19.41,748.49,0.07369768535451175
2014,MGN.OL,Magnora ASA,Renewable Energy,Energy,645.71,0.0,549.87,0.0,3.7800000000000002,766.63,64.26,598.8,0.11079685638291474
2015,MGN.OL,Magnora ASA,Renewable Energy,Energy,228.18,0.0,224.16000000000003,0.0,1.61,380.11,60.11,517.96,0.005474535459542913
2016,MGN.OL,Magnora ASA,Renewable Energy,Energy,117.1,0.0,224.4,0.0,0.0,209.7,9.2,508.98,-0.4901781635449978
2017,MGN.OL,Magnora ASA,Renewable Energy,Energy,54.3,0.0,68.3,0.0,0.1,183.7,0.3,434.13,-0.0766304347826087
2018,MGN.OL,Magnora ASA,Renewable Energy,Energy,70.4,0.0,15.4,0.0,0.0,135.8,0.0,227.46,0.4050073637702504
2019,MGN.OL,Magnora ASA,Renewable Energy,Energy,41.6,0.0,13.7,0.0,0.0,105.6,0.0,282.83,0.26420454545454547
2020,MGN.OL,Magnora ASA,Renewable Energy,Energy,27.1,0.0,13.2,0.0,4.8999999999999995,118.1,0.0,1123.78,0.07620660457239631
2021,MGN.OL,Magnora ASA,Renewable Energy,Energy,13.8,0.0,53.699999999999996,0.0,17.4,171.8,0.0,835.95,-0.3335273573923166
2022,MGN.OL,Magnora ASA,Renewable Energy,Energy,91.1,0.0,83.3,0.0,10.2,385.5,46.3,1104.88,-0.005558128763316355
2023,MGN.OL,Magnora ASA,Renewable Energy,Energy,12.1,0.0,100.6,5.4,13.5,538.3,14.0,1719.86,-0.17490494296577946
2024,MGN.OL,Magnora ASA,Renewable Energy,Energy,2.3,0.0,122.8,0.0,13.5,400.5,1.7,1825.45,-0.33316757831924415
