Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,MarketCap,PROF
2013,MULTI.OL,Multiconsult ASA,Construction & Engineering,Industrials,1802.57,0.0,1574.95,13.0,0.14,425.87,0.0,,0.5646793622466948
2014,MULTI.OL,Multiconsult ASA,Construction & Engineering,Industrials,1986.51,0.0,1740.04,13.0,0.15,419.91,0.0,,0.6175609059084091
2015,MULTI.OL,Multiconsult ASA,Construction & Engineering,Industrials,2247.67,0.0,2072.59,16.9,0.51,350.18,0.0,2834.91,0.5467759438003313
2016,MULTI.OL,Multiconsult ASA,Construction & Engineering,Industrials,2604.62,0.0,2315.05,17.6,1.48,507.52,0.0,2743.04,0.6023210907944507
2017,MULTI.OL,Multiconsult ASA,Construction & Engineering,Industrials,2977.64,0.0,2859.69,11.9,7.85,582.07,0.0,1995.81,0.2095967838919716
2018,MULTI.OL,Multiconsult ASA,Construction & Engineering,Industrials,3334.85,0.0,3235.84,7.6,12.15,593.21,0.0,1634.41,0.1592353466731843
2019,MULTI.OL,Multiconsult ASA,Construction & Engineering,Industrials,3435.84,0.0,3329.5,11.5,51.21,581.41,0.0,1941.87,0.11460071206205628
2020,MULTI.OL,Multiconsult ASA,Construction & Engineering,Industrials,3660.94,0.0,3259.89,7.3,47.97,773.62,0.0,3479.18,0.4658359401256435
2021,MULTI.OL,Multiconsult ASA,Construction & Engineering,Industrials,3803.74,0.0,3454.87,7.6,41.900000000000006,850.12,0.0,4279.16,0.3700301133957557
2022,MULTI.OL,Multiconsult ASA,Construction & Engineering,Industrials,4189.23,0.0,3786.1000000000004,10.7,47.32,992.45,0.0,3827.29,0.3692982014207255
2023,MULTI.OL,Multiconsult ASA,Construction & Engineering,Industrials,4802.48,0.0,4381.45,7.7,64.04,1034.85,45.42,3431.69,0.3375915280439145
2024,MULTI.OL,Multiconsult ASA,Construction & Engineering,Industrials,5383.6,0.0,4867.15,1.9,77.66,1236.56,42.31,5507.31,0.3445932737494823
