Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,MarketCap,PROF
2004,ORK.OL,Orkla ASA,Food & Tobacco,Consumer Staples,31489.0,12329.0,18241.0,213.0,0.0,31246.0,448.0,42248.15,0.03571653940808986
2005,ORK.OL,Orkla ASA,Food & Tobacco,Consumer Staples,46000.0,23840.0,20861.0,0.0,0.0,37177.0,746.0,58215.99,0.03425361917569812
2006,ORK.OL,Orkla ASA,Food & Tobacco,Consumer Staples,49143.0,24800.0,22543.0,0.0,0.0,47773.0,336.0,73525.03,0.03741503668752209
2007,ORK.OL,Orkla ASA,Food & Tobacco,Consumer Staples,60081.0,30811.0,27646.0,468.0,0.0,52663.0,2601.0,109084.36,0.03785466126230457
2008,ORK.OL,Orkla ASA,Food & Tobacco,Consumer Staples,56848.0,28945.0,26723.0,0.0,0.0,47383.0,2686.0,46764.91,0.023567476881902975
2009,ORK.OL,Orkla ASA,Food & Tobacco,Consumer Staples,48851.0,23851.0,24507.0,337.0,0.0,48555.0,370.0,58494.73,0.0169647419519673
2010,ORK.OL,Orkla ASA,Food & Tobacco,Consumer Staples,28480.0,14458.0,11983.0,0.0,0.0,46566.0,365.0,58340.39,0.04344676226801048
2011,ORK.OL,Orkla ASA,Food & Tobacco,Consumer Staples,29640.0,15289.0,11844.0,0.0,0.0,33436.0,280.0,45941.77,0.07435638865820382
2012,ORK.OL,Orkla ASA,Food & Tobacco,Consumer Staples,23277.0,11941.0,9601.0,0.0,0.0,30181.0,258.0,49418.15,0.05699924439042019
2013,ORK.OL,Orkla ASA,Food & Tobacco,Consumer Staples,27200.0,13803.0,11254.0,0.0,0.0,30479.0,301.0,48215.81,0.06962313190383365
2014,ORK.OL,Orkla ASA,Food & Tobacco,Consumer Staples,29202.0,14406.0,11956.0,0.0,0.0,31059.0,245.0,52118.32,0.09072323025811398
2015,ORK.OL,Orkla ASA,Food & Tobacco,Consumer Staples,32610.0,16345.0,14157.0,0.0,283.0,33329.0,417.0,71427.06,0.05408048361287264
2016,ORK.OL,Orkla ASA,Food & Tobacco,Consumer Staples,37758.0,0.0,33460.0,0.0,0.0,33474.0,402.0,79680.4,0.12687448341008384
2017,ORK.OL,Orkla ASA,Food & Tobacco,Consumer Staples,39324.0,19718.0,15208.0,0.0,239.0,34408.0,430.0,88697.94,0.11938113554164992
2018,ORK.OL,Orkla ASA,Food & Tobacco,Consumer Staples,40629.0,20348.0,15712.0,0.0,183.0,33629.0,451.0,69328.06,0.12869718309859154
2019,ORK.OL,Orkla ASA,Food & Tobacco,Consumer Staples,43381.0,21696.0,16831.0,0.0,210.0,34452.0,460.0,89087.3,0.13302016498625113
2020,ORK.OL,Orkla ASA,Food & Tobacco,Consumer Staples,46962.0,23430.0,18215.0,0.0,182.0,37242.0,462.0,87124.49,0.1361924464247825
2021,ORK.OL,Orkla ASA,Food & Tobacco,Consumer Staples,50208.0,25171.0,19125.0,0.0,196.0,38441.0,910.0,88486.44,0.14525679144113238
2022,ORK.OL,Orkla ASA,Food & Tobacco,Consumer Staples,57955.0,28868.0,22112.0,0.0,405.0,41686.0,1470.0,71041.51,0.1522383909537492
2023,ORK.OL,Orkla ASA,Food & Tobacco,Consumer Staples,67215.0,34798.0,26078.0,0.0,1036.0,45267.0,1481.0,78952.82,0.11343800804312484
2024,ORK.OL,Orkla ASA,Food & Tobacco,Consumer Staples,69960.0,35167.0,27533.0,0.0,1092.0,48044.0,3328.0,98490.74,0.12006540527914039
